Row Label,County,No,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Yes
SI VIEW,KI,31,272,7,170,0,132
COOPER,KI,70,473,15,278,0,193
MEADOWBROOK,KI,43,300,6,173,0,124
N-B 05-3296,KI,76,682,10,392,0,306
MIDDLE FORK,KI,56,383,15,214,0,143
RATTLESNAKE,KI,55,427,13,220,0,152
N-B 05-0859,KI,75,487,10,291,0,206
N-B 05-0858,KI,53,469,6,222,0,163
TWIN PEAKS,KI,135,661,18,376,0,223
MOUNT SI,KI,26,274,14,166,0,126
SNO PASS,KI,17,141,3,90,0,70
N-B 05-3406,KI,26,309,6,136,0,104
WOLF,KI,88,690,26,308,0,194
SEAN,KI,86,690,29,367,0,252
RIVERBEND,KI,77,762,28,345,0,240
LYNX,KI,80,531,14,276,0,182
N-B 05-2683,KI,63,706,16,351,0,272
N-B 05-3611,KI,89,664,12,316,0,215
N-B 05-3407,KI,110,628,14,381,0,257
GRIZZLY,KI,100,625,25,337,0,212
ALPINE,KI,88,559,16,320,1,215
