Row Label,County,Mary Yu
210,CH,211
1149,CH,29
133,CH,191
132,CH,22
131,CH,30
136,CH,4
135,CH,305
134,CH,294
490,CH,516
540,CH,285
163,CH,16
1151,CH,2
1150,CH,6
710,CH,226
120,CH,151
121,CH,152
122,CH,82
123,CH,23
124,CH,31
125,CH,326
126,CH,44
127,CH,63
128,CH,35
129,CH,123
410,CH,257
530,CH,385
590,CH,315
310,CH,129
190,CH,21
115,CH,17
114,CH,219
116,CH,76
111,CH,50
110,CH,165
113,CH,37
112,CH,16
520,CH,482
420,CH,293
580,CH,229
440,CH,427
100,CH,6
510,CH,198
430,CH,352
450,CH,359
330,CH,216
175,CH,376
174,CH,213
173,CH,14
172,CH,10
171,CH,8
730,CH,359
182,CH,242
183,CH,131
181,CH,271
560,CH,351
460,CH,332
164,CH,98
165,CH,73
161,CH,21
162,CH,23
220,CH,246
720,CH,306
151,CH,2
150,CH,24
153,CH,438
152,CH,3
155,CH,128
154,CH,368
157,CH,293
156,CH,33
159,CH,6
158,CH,146
320,CH,181
146,CH,57
147,CH,288
144,CH,16
145,CH,18
142,CH,29
143,CH,3
140,CH,100
141,CH,7
610,CH,223
148,CH,141
149,CH,150
480,CH,358
Total,CH,13502
