Row Label,County,Mary Yu
Yellowhawk 58,WL,24
Touchet 5 56,WL,4
CP 3 63,WL,330
Spruce 24,WL,150
Birch 05,WL,166
Baumeister 04,WL,272
Jefferson 13,WL,373
Ice Harbor 34,WL,291
Alder 02,WL,125
Eureka 4 43,WL,2
Waitsburg 65,WL,344
Lincoln 49,WL,43
CP 1 61,WL,364
Watertown 29,WL,166
Frenchtown 4 45,WL,36
Ritz 53,WL,384
CP 2 62,WL,267
Frenchtown 5 44,WL,139
Alderbrook 01,WL,155
Baker 33,WL,63
Edison 08,WL,209
Pine 21,WL,135
Mill Creek 50,WL,165
Sharpstein 23,WL,169
Gose 47,WL,81
CP 5 67,WL,298
Henderson 11,WL,181
Burbank 38,WL,393
Garfield 09,WL,230
Washington 60,WL,103
Garrison 46,WL,161
Berney 35,WL,182
Isaacs 12,WL,133
Paine 20,WL,99
Pleasant 22,WL,361
Wallula 59,WL,20
Monroe 18,WL,420
Ash 03,WL,277
Dixie 41,WL,171
Touchet 4 55,WL,223
CP 6 68,WL,53
Blalock 36,WL,316
Stadium 25,WL,167
Clyde 39,WL,21
CP 4 66,WL,405
Pros Point 52,WL,622
Wainwright 28,WL,330
Moore 51,WL,163
Eureka 5 42,WL,45
Derry 40,WL,110
College 07,WL,192
Prescott 64,WL,66
Green Park 10,WL,134
Twin Grove 57,WL,158
Tausick 26,WL,174
Marcus 17,WL,474
Braden 37,WL,318
McNary 54,WL,176
Maple 16,WL,380
Total,WL,12357
Abbott 31,WL,221
Clark 06,WL,123
