Row Label,County,Mary E. Fairhurst
CLARKSTON #2,AS,179
SWALLOWS NEST,AS,320
WEST CLARKSTON #1,AS,215
WEST CLARKSTON #2,AS,214
WEST CLARKSTON #3,AS,254
ASOTIN #1,AS,155
ASOTIN #2,AS,165
SOUTH CLARKSTON #1,AS,193
SOUTH CLARKSTON #2,AS,243
W ASOTIN,AS,128
CLARKSTON #6,AS,193
CLARKSTON #7,AS,121
RURAL ASOTIN,AS,112
CLARKSTON #4,AS,189
Total,AS,5362
ANATONE,AS,97
CLARKSTON #3,AS,156
CLARKSTON HTS #4,AS,230
CLARKSTON #8,AS,171
CLARKSTON HTS #3,AS,93
CLARKSTON HTS #2,AS,405
CLARKSTON HTS #1,AS,231
CLARKSTON #5,AS,119
CLARKSTON HTS #7,AS,287
CLARKSTON HTS #6,AS,358
CLARKSTON HTS #5,AS,394
CLARKSTON #1,AS,140
