Row Label,County,Mary E. Fairhurst
210,CH,210
1149,CH,29
133,CH,197
132,CH,22
131,CH,30
136,CH,4
135,CH,309
134,CH,294
490,CH,513
540,CH,292
163,CH,16
1151,CH,2
1150,CH,6
710,CH,228
120,CH,149
121,CH,148
122,CH,80
123,CH,22
124,CH,32
125,CH,323
126,CH,44
127,CH,66
128,CH,33
129,CH,125
410,CH,252
530,CH,385
590,CH,307
310,CH,125
190,CH,23
115,CH,16
114,CH,215
116,CH,78
111,CH,51
110,CH,165
113,CH,37
112,CH,17
520,CH,473
420,CH,286
580,CH,223
440,CH,414
100,CH,6
510,CH,188
430,CH,356
450,CH,351
330,CH,214
175,CH,370
174,CH,214
173,CH,14
172,CH,10
171,CH,7
730,CH,353
182,CH,239
183,CH,126
181,CH,269
560,CH,350
460,CH,338
164,CH,103
165,CH,71
161,CH,21
162,CH,24
220,CH,239
720,CH,300
151,CH,2
150,CH,26
153,CH,441
152,CH,3
155,CH,129
154,CH,366
157,CH,292
156,CH,34
159,CH,6
158,CH,147
320,CH,182
146,CH,57
147,CH,291
144,CH,15
145,CH,18
142,CH,29
143,CH,3
140,CH,96
141,CH,7
610,CH,219
148,CH,139
149,CH,146
480,CH,356
Total,CH,13408
