Row Label,County,Mary E. Fairhurst
31-900,PI,202
29-680,PI,276
31-902,PI,422
31-903,PI,4
31-904,PI,52
31-905,PI,270
31-906,PI,165
31-907,PI,249
31-908,PI,214
31-909,PI,243
29-640,PI,310
29-641,PI,319
29-642,PI,339
29-643,PI,31
29-648,PI,7
29-649,PI,98
25-239,PI,385
25-238,PI,217
31-901,PI,40
25-235,PI,13
25-237,PI,1
25-236,PI,309
25-230,PI,101
28-588,PI,357
28-589,PI,363
28-586,PI,342
28-587,PI,243
28-584,PI,253
28-585,PI,400
28-582,PI,148
28-583,PI,223
28-580,PI,56
28-581,PI,220
25-280,PI,399
25-281,PI,269
25-282,PI,387
02-149,PI,410
25-284,PI,202
25-285,PI,496
25-286,PI,372
25-287,PI,4
25-288,PI,396
25-289,PI,0
02-140,PI,388
02-141,PI,366
02-146,PI,271
02-147,PI,269
02-144,PI,324
02-145,PI,362
27-439,PI,329
27-438,PI,330
27-435,PI,386
27-434,PI,364
27-437,PI,347
27-436,PI,367
27-431,PI,160
27-430,PI,389
27-433,PI,369
27-432,PI,371
26-339,PI,72
26-338,PI,326
26-333,PI,400
26-332,PI,362
26-331,PI,111
26-330,PI,273
26-337,PI,420
26-336,PI,461
26-335,PI,341
26-334,PI,384
28-515,PI,443
28-517,PI,467
28-516,PI,432
28-519,PI,447
28-518,PI,447
31-869,PI,145
31-865,PI,88
31-861,PI,81
26-348,PI,414
26-349,PI,401
26-346,PI,344
26-347,PI,336
26-344,PI,54
26-345,PI,388
26-342,PI,441
26-343,PI,375
26-340,PI,462
26-341,PI,384
25-271,PI,371
25-270,PI,391
25-273,PI,250
25-272,PI,374
25-275,PI,0
25-274,PI,483
25-277,PI,380
25-276,PI,15
25-279,PI,319
25-278,PI,135
29-682,PI,319
29-683,PI,330
31-923,PI,179
29-619,PI,304
29-618,PI,262
29-617,PI,300
29-616,PI,302
29-615,PI,355
29-614,PI,346
29-613,PI,339
29-612,PI,164
29-611,PI,65
29-610,PI,302
28-559,PI,352
28-558,PI,335
28-551,PI,511
28-550,PI,315
28-553,PI,448
28-552,PI,458
28-555,PI,486
28-554,PI,425
28-557,PI,337
28-556,PI,350
02-115,PI,293
02-114,PI,180
02-117,PI,363
02-116,PI,369
02-111,PI,287
25-291,PI,87
02-113,PI,252
02-112,PI,200
02-143,PI,256
25-290,PI,34
02-119,PI,219
02-118,PI,236
31-823,PI,203
31-822,PI,244
31-827,PI,80
31-826,PI,324
31-825,PI,264
31-824,PI,0
31-829,PI,264
31-828,PI,283
26-302,PI,557
26-303,PI,502
26-301,PI,155
26-304,PI,574
26-305,PI,533
31-892,PI,199
31-893,PI,0
31-890,PI,176
27-471,PI,14
31-891,PI,99
27-475,PI,322
27-477,PI,349
27-476,PI,252
31-896,PI,4
31-897,PI,139
31-894,PI,39
31-895,PI,229
31-856,PI,227
31-857,PI,155
31-854,PI,146
31-855,PI,185
31-853,PI,55
31-919,PI,262
31-917,PI,370
31-916,PI,246
31-915,PI,51
31-914,PI,210
31-913,PI,109
31-912,PI,205
31-911,PI,153
31-910,PI,239
29-653,PI,306
29-652,PI,33
29-651,PI,364
29-650,PI,316
29-657,PI,6
29-656,PI,295
29-655,PI,140
29-654,PI,354
29-659,PI,188
29-658,PI,296
25-208,PI,451
25-209,PI,434
25-201,PI,459
25-202,PI,355
25-203,PI,425
25-204,PI,364
25-205,PI,419
25-206,PI,264
28-590,PI,11
29-626,PI,8
29-627,PI,0
29-624,PI,0
29-625,PI,6
29-622,PI,242
29-623,PI,71
29-620,PI,182
29-621,PI,1
02-159,PI,204
02-158,PI,295
02-151,PI,114
02-150,PI,299
02-153,PI,275
02-152,PI,353
02-155,PI,351
02-154,PI,270
02-157,PI,425
02-156,PI,435
27-408,PI,438
27-409,PI,422
27-401,PI,208
27-404,PI,145
27-405,PI,431
27-406,PI,524
27-407,PI,406
28-520,PI,457
28-521,PI,482
28-522,PI,470
28-523,PI,464
28-524,PI,486
28-525,PI,518
28-526,PI,329
28-527,PI,546
28-528,PI,457
28-529,PI,364
31-818,PI,81
31-819,PI,138
31-813,PI,158
31-810,PI,167
31-816,PI,272
31-817,PI,345
31-814,PI,40
31-815,PI,226
26-351,PI,390
26-350,PI,413
26-352,PI,386
31-926,PI,9
31-927,PI,234
31-924,PI,171
31-925,PI,86
25-248,PI,439
25-249,PI,397
31-920,PI,217
31-921,PI,227
25-244,PI,458
25-245,PI,2
25-246,PI,33
25-247,PI,351
25-240,PI,159
25-241,PI,206
25-242,PI,418
25-243,PI,322
02-110,PI,200
29-668,PI,248
29-669,PI,332
29-662,PI,0
29-663,PI,308
29-660,PI,387
29-661,PI,266
29-667,PI,347
29-664,PI,320
28-565,PI,329
28-566,PI,353
28-567,PI,379
28-560,PI,477
28-561,PI,271
28-562,PI,225
28-563,PI,126
28-568,PI,382
02-148,PI,358
02-120,PI,292
02-121,PI,362
02-122,PI,377
02-123,PI,357
02-124,PI,297
02-125,PI,272
02-126,PI,360
02-127,PI,215
02-128,PI,382
02-129,PI,226
02-142,PI,254
26-315,PI,451
26-317,PI,417
26-316,PI,478
26-319,PI,377
26-318,PI,346
27-448,PI,10
27-449,PI,375
27-444,PI,323
27-445,PI,305
27-446,PI,311
27-447,PI,341
27-440,PI,373
27-441,PI,305
27-442,PI,256
27-443,PI,268
31-845,PI,241
31-844,PI,186
31-847,PI,134
31-846,PI,114
31-841,PI,147
31-840,PI,127
31-843,PI,195
31-842,PI,241
31-849,PI,108
31-848,PI,44
25-217,PI,445
25-216,PI,270
25-215,PI,397
25-213,PI,468
25-212,PI,417
25-211,PI,380
25-210,PI,508
25-219,PI,423
25-218,PI,407
29-671,PI,295
29-670,PI,355
29-675,PI,346
29-677,PI,326
29-676,PI,321
29-635,PI,83
31-883,PI,354
29-637,PI,285
29-636,PI,377
29-633,PI,30
29-639,PI,291
29-638,PI,162
31-882,PI,264
28-538,PI,379
28-537,PI,453
28-536,PI,434
28-535,PI,483
28-531,PI,390
28-530,PI,204
30-713,PI,4
31-809,PI,282
31-808,PI,284
31-801,PI,191
31-803,PI,316
31-802,PI,284
31-805,PI,308
31-804,PI,283
31-807,PI,3
31-806,PI,349
25-293,PI,353
27-417,PI,454
27-416,PI,438
27-415,PI,455
27-414,PI,440
27-413,PI,409
27-412,PI,379
27-411,PI,488
27-410,PI,436
31-898,PI,307
31-899,PI,175
27-419,PI,404
27-418,PI,382
25-292,PI,389
25-259,PI,385
25-258,PI,389
25-253,PI,240
25-252,PI,337
25-251,PI,340
25-250,PI,160
25-257,PI,336
25-256,PI,354
25-255,PI,242
25-254,PI,221
Total,PI,143672
29-679,PI,270
29-678,PI,260
25-228,PI,378
25-226,PI,278
25-227,PI,207
29-673,PI,361
29-672,PI,198
25-222,PI,300
29-674,PI,112
25-220,PI,2
25-221,PI,380
30-708,PI,246
28-573,PI,244
28-572,PI,352
28-571,PI,6
28-570,PI,5
28-577,PI,15
28-576,PI,373
28-575,PI,2
28-574,PI,83
28-579,PI,62
28-578,PI,78
02-139,PI,325
02-138,PI,428
02-137,PI,171
02-136,PI,59
02-135,PI,367
02-134,PI,400
02-133,PI,101
02-131,PI,416
02-130,PI,193
27-428,PI,368
27-429,PI,386
27-426,PI,383
27-427,PI,371
27-424,PI,402
27-425,PI,365
27-422,PI,536
27-423,PI,461
27-420,PI,484
27-421,PI,353
26-328,PI,340
26-329,PI,433
26-324,PI,441
26-325,PI,380
26-326,PI,457
26-327,PI,422
26-320,PI,403
26-321,PI,519
26-322,PI,471
26-323,PI,462
28-506,PI,456
28-507,PI,374
28-504,PI,428
28-505,PI,471
28-502,PI,452
28-503,PI,474
28-501,PI,449
28-508,PI,205
28-509,PI,0
27-459,PI,218
27-458,PI,223
27-453,PI,247
27-452,PI,321
27-451,PI,280
27-450,PI,390
27-457,PI,322
27-456,PI,257
27-455,PI,293
27-454,PI,352
31-873,PI,64
31-874,PI,0
31-875,PI,347
31-876,PI,22
31-877,PI,136
31-879,PI,73
25-283,PI,229
25-262,PI,359
25-263,PI,323
25-260,PI,389
25-261,PI,285
25-266,PI,390
25-267,PI,185
25-264,PI,410
25-265,PI,399
25-268,PI,202
25-269,PI,256
29-600,PI,0
29-601,PI,271
29-602,PI,234
29-603,PI,312
29-604,PI,304
29-605,PI,247
29-606,PI,334
29-607,PI,393
29-608,PI,267
29-609,PI,223
31-881,PI,183
28-548,PI,348
28-549,PI,382
31-880,PI,109
28-542,PI,394
28-543,PI,360
28-540,PI,538
28-541,PI,392
28-546,PI,398
28-547,PI,526
28-545,PI,426
02-106,PI,380
30-709,PI,270
02-105,PI,132
02-101,PI,123
31-885,PI,119
30-701,PI,13
30-707,PI,163
30-706,PI,265
30-705,PI,182
31-884,PI,317
31-834,PI,225
31-835,PI,443
31-836,PI,278
31-837,PI,231
31-830,PI,128
31-887,PI,230
31-833,PI,290
31-886,PI,264
31-838,PI,212
31-839,PI,23
27-462,PI,394
27-463,PI,299
27-460,PI,364
27-461,PI,420
27-466,PI,342
27-467,PI,328
27-464,PI,332
27-465,PI,289
31-888,PI,238
27-468,PI,311
