Row Label,County,Mary E. Fairhurst
MARYSVILLE 17,SN,203
WAGNER,SN,227
LUNDS GULCH,SN,83
STRAUS,SN,284
EVERETT  73,SN,216
LYNNWOOD  6,SN,184
EVERETT  71,SN,100
MENZEL,SN,159
EVERETT  77,SN,152
EVERETT  76,SN,166
RIDGEWAY,SN,131
EVERETT  74,SN,122
EVERETT  79,SN,204
EVERETT  78,SN,100
NILE,SN,0
RHODY RIDGE,SN,143
LARIMER,SN,199
ARNOT,SN,142
CHATHAM,SN,40
KINGMAN,SN,321
MANN,SN,188
FIR,SN,197
MARYSVILLE 44,SN,298
MUKILTEO 18,SN,294
MUKILTEO 19,SN,167
MARYSVILLE 41,SN,151
MARYSVILLE 40,SN,166
MARYSVILLE 43,SN,201
MARYSVILLE 42,SN,182
SILVER FIRS,SN,277
PORT SUSAN,SN,297
MUKILTEO 10,SN,175
MUKILTEO 11,SN,215
MUKILTEO 16,SN,300
MUKILTEO 17,SN,297
MUKILTEO 14,SN,278
MUKILTEO 15,SN,83
MILL CREEK 18,SN,175
MILL CREEK 19,SN,294
MILL CREEK 14,SN,5
MILL CREEK 15,SN,218
MILL CREEK 16,SN,162
MILL CREEK 17,SN,227
NORDEN,SN,171
MILL CREEK 11,SN,157
MILL CREEK 12,SN,177
STAFFORD,SN,137
MC RAE,SN,156
SOFIE,SN,129
MARYSVILLE 30,SN,250
MARYSVILLE 31,SN,316
MARYSVILLE 32,SN,142
MARYSVILLE 33,SN,2
MARYSVILLE 34,SN,190
MARYSVILLE 35,SN,204
MAY CREEK,SN,225
MARYSVILLE 37,SN,139
MARYSVILLE 38,SN,149
MARYSVILLE 39,SN,185
ROBE,SN,130
THREE LAKES,SN,162
LOOP,SN,202
VIEW,SN,233
LOST LAKE,SN,137
LAKE STEVENS  4,SN,171
LAKE STEVENS  5,SN,190
WAXON,SN,290
LAKE STEVENS  7,SN,254
LAKE STEVENS  1,SN,286
LAKE STEVENS  2,SN,210
LAKE STEVENS  3,SN,278
PRIEST POINT,SN,124
LAKE STEVENS  8,SN,219
LAKE STEVENS  9,SN,165
BOTHELL 45,SN,114
MONROE  1,SN,245
MONROE  3,SN,233
EVERETT  90,SN,67
STANWOOD 2,SN,204
SOUTH SNOHOMISH,SN,158
STANWOOD 5,SN,256
STANWOOD 4,SN,283
LYNNWOOD 23,SN,213
CAVALRY,SN,202
LYNNWOOD 21,SN,202
SULTAN RIVER,SN,193
STANWOOD 7,SN,120
LYNNWOOD 25,SN,237
LYNNWOOD 24,SN,169
WATERS,SN,258
MONROE  6,SN,202
EVERETT   4,SN,198
MARYSVILLE 22,SN,278
EVERETT  70,SN,2
EVERETT  75,SN,118
KENWOOD,SN,204
ELFIN,SN,117
KENNARD,SN,183
ROBINHOOD,SN,167
EDMONDS 14,SN,174
SPADA,SN,5
HAINES,SN,215
HILTONS LAKE,SN,219
TUCKER,SN,217
EVERETT  39,SN,187
EVERETT  38,SN,50
BEVERLY,SN,197
EVERETT  36,SN,171
KNOX,SN,15
MARINER,SN,189
EVERETT  33,SN,260
