Row Label,County,Mary E. Fairhurst
Yelm 1,TH,195
Griffin,TH,197
Kaiser,TH,115
Smith Prairie,TH,260
Olympia 01,TH,204
Lacey 29,TH,249
Scott Lake South,TH,182
Tri Lakes,TH,125
Woodland,TH,199
Plumb,TH,243
Montgomery,TH,125
Olympia 10,TH,236
Summerset,TH,347
Olympia 12,TH,126
Olympia 13,TH,215
Pleasant Hill,TH,243
Olympia 15,TH,163
Smith Lake,TH,221
Olympia 17,TH,161
Olympia 18,TH,196
Rocky Prairie,TH,142
Tumwater 05,TH,149
Scatter Creek,TH,165
Lacey 06,TH,84
Henderson,TH,300
Mullen,TH,260
Marvin,TH,263
Rochester 4,TH,165
Rochester 5,TH,222
Rochester 2,TH,201
Rochester 3,TH,217
French,TH,244
Rochester 1,TH,276
Tumwater 11,TH,295
Evergreen Ballroom,TH,284
Littlerock,TH,338
Lacey 10,TH,272
Skookumchuck,TH,219
Delphi,TH,210
Tolmie,TH,88
St Clair,TH,215
Olympia 58,TH,216
Tenino 01,TH,134
James,TH,181
Tumwater 10,TH,285
Lacey 14,TH,81
Olympia 07,TH,134
Olympia 06,TH,347
Olympia 05,TH,196
Olympia 04,TH,212
Olympia 03,TH,220
Olympia 02,TH,209
Plainview,TH,344
Lacey 27,TH,185
Delridge,TH,64
Military,TH,85
Lacey 16,TH,201
Lacey 39,TH,340
Olympia 09,TH,374
Sweet Briar,TH,307
Rainier 01,TH,154
Puget,TH,276
Olympia 11,TH,196
Vail,TH,260
Stedman,TH,135
Tumwater 13,TH,88
Zenkner Valley,TH,55
Trailblazer,TH,87
Libby,TH,181
Lackamas,TH,90
Broadway,TH,298
Johnson Point,TH,268
Sleater Kinney,TH,199
Medicine Creek,TH,110
Lacey 42,TH,73
Olympia 16,TH,45
Tumwater 12,TH,216
Prine,TH,43
Long Lake,TH,57
Lacey 33,TH,112
Olympia 53,TH,198
Lacey 31,TH,164
Lacey 30,TH,292
Greenridge,TH,146
Lacey 36,TH,134
Rich,TH,162
Olympia 19,TH,181
Butler Cove,TH,213
Lacey 34,TH,129
Mud Bay,TH,207
Olympia 14,TH,205
Mclane,TH,162
Tumwater 15,TH,247
Lawrence Lake,TH,266
Lacey 45,TH,106
Olympia 38,TH,58
Tilley,TH,264
Yelm 3,TH,251
Hunter Point,TH,139
Skokomish,TH,178
Schneiders Prairie,TH,173
Grand Mound,TH,103
Alpine,TH,363
Hays,TH,166
Luhr Beach,TH,247
Berry Valley,TH,181
Freedom,TH,287
Morris,TH,233
Lacey 07,TH,168
Lacey 04,TH,101
Lacey 05,TH,132
Lacey 02,TH,150
Lacey 03,TH,177
Deschutes,TH,232
Olympia 50,TH,168
Tumwater 28,TH,293
Tumwater 29,TH,0
Friendly Grove,TH,122
Olympia 51,TH,44
Fair Oaks,TH,153
Woodard Creek,TH,188
Pines,TH,176
Scott Lake North,TH,99
Mushroom Corner,TH,229
Tumwater 14,TH,104
Yelm 2,TH,217
Deerbrush,TH,257
Henness,TH,321
Lacey 09,TH,110
Kinwood,TH,193
Rainier 02,TH,123
Summit Lake,TH,186
Lacey 19,TH,139
Lacey 18,TH,228
Simmons 9,TH,5
Lacey 11,TH,217
Simmons 4,TH,11
Lacey 13,TH,107
Lacey 01,TH,91
Lacey 15,TH,193
Gull Harbor,TH,148
Simmons 3,TH,9
Simmons 2,TH,4
Spurgeon Creek,TH,99
Black River,TH,319
Forest,TH,313
Olympia 24,TH,205
Quince,TH,4
Meadows,TH,174
Pattison,TH,225
Olympia 54,TH,143
Olympia 55,TH,116
Olympia 56,TH,198
Olympia 57,TH,102
Tykle Cove,TH,218
Mcallister Creek,TH,193
Olympia 52,TH,122
Mcintosh,TH,368
Tenino 02,TH,138
Olympia 39,TH,214
Steamboat Island,TH,193
Olympia 20,TH,108
Lacey 08,TH,122
Lacey 41,TH,188
Delta,TH,0
Ames,TH,190
Jones Beach,TH,128
Pleasant Glade,TH,140
Lacey 35,TH,77
Evergreen Shores,TH,184
Hewitt Lake,TH,283
Tumwater 08,TH,245
Olympia 60,TH,136
Tumwater 06,TH,357
Tumwater 07,TH,174
Tumwater 04,TH,142
Beach Crest,TH,178
Tumwater 02,TH,214
Tumwater 03,TH,247
Roosevelt,TH,254
Tumwater 01,TH,160
University North,TH,93
Olympia 49,TH,226
Olympia 48,TH,258
Bush Prairie,TH,53
Olympia 43,TH,241
Olympia 42,TH,132
Olympia 41,TH,199
Olympia 40,TH,180
Olympia 47,TH,247
Olympia 46,TH,208
Olympia 45,TH,133
Olympia 44,TH,111
Holmes,TH,198
Cooper Point,TH,220
Ruth Prairie,TH,105
Hawks Ridge,TH,104
Weir Prairie,TH,209
Wilderness,TH,302
Lacey 32,TH,225
Camelot,TH,149
University South,TH,125
Lacey 24,TH,290
Gallagher Cove,TH,337
Lacey 17,TH,202
Total,TH,52512
College,TH,38
Bigelow,TH,201
Lacey 37,TH,67
Olympia 08,TH,210
Beaver Creek,TH,389
Oyster Bay,TH,235
Eaton Creek,TH,137
Lacey 28,TH,121
Olympia 25,TH,163
Four Corners,TH,324
South Bay,TH,265
Indian Summer,TH,258
Longmire,TH,154
Tumwater 24,TH,151
Olympia 59,TH,191
Clear Lake,TH,344
Airport,TH,19
Thompson,TH,150
Bucoda,TH,98
Glen Terra,TH,74
Frye Cove,TH,242
Cougar Mountain,TH,52
Mckinley,TH,76
Olympia 37,TH,140
Gibson Valley,TH,26
Olympia 35,TH,398
Black Lake,TH,283
Scheller,TH,98
Olympia 30,TH,192
Olympia 31,TH,174
Sunwood Lakes,TH,339
Lydia Hawk,TH,377
Lacey 23,TH,86
Olympia 32,TH,272
Michigan Hill,TH,102
Tumwater 09,TH,147
Yelm 4,TH,235
Lacey 48,TH,145
Zangle,TH,196
Fish Trap,TH,173
East Olympia,TH,213
Munn Lake,TH,129
Sunset Beach,TH,274
Olympia 27,TH,103
Lacey 43,TH,256
Lacey 40,TH,266
Fristoe,TH,158
Lacey 46,TH,460
Lacey 47,TH,358
Lacey 44,TH,98
Hicks,TH,35
Salmon Creek,TH,136
Lacey 49,TH,121
Wards,TH,102
South Union,TH,280
Boston Harbor,TH,280
Olympia 29,TH,237
Olympia 28,TH,219
Trails End,TH,400
Hartwood,TH,376
Waddell Creek,TH,177
Fleetwood,TH,291
Olympia 26,TH,177
Olympia 21,TH,309
Bald Hills,TH,61
Olympia 23,TH,245
Violet Prairie,TH,245
Lacey 20,TH,83
Hawk Acres,TH,136
Tumwater 27,TH,222
Lacey 21,TH,108
Lakeside,TH,123
Lacey 22,TH,141
Olympia 36,TH,87
Glenwood,TH,81
Chambers,TH,361
Nisqually,TH,185
