Row Label,County,Eddie Yoon,Charles W. Johnson
Washtucna City #1,AD,24,59
Batum,AD,9,45
Othello Rural #1,AD,19,52
Hatton Rural,AD,5,19
Ralston,AD,6,22
Othello Rural #6,AD,39,108
Othello Rural #4,AD,36,90
Othello Rural #5,AD,30,57
Ritzville Rural NW,AD,14,87
Fairview,AD,3,21
Benge,AD,4,9
Ritzville Rural SE,AD,22,74
Ritzville Ward #5,AD,25,70
Ritzville Ward #4,AD,22,78
Ritzville Ward #1,AD,18,65
Ritzville Ward #3,AD,32,88
Ritzville Ward #2,AD,20,54
Schrag,AD,7,22
Othello Rural #2,AD,15,74
Othello Rural #3,AD,37,140
Othello City #2,AD,38,131
Othello City #3,AD,47,108
Othello City #1,AD,6,13
Othello City #6,AD,17,73
Othello City #4,AD,43,124
Othello City #5,AD,36,116
Cunningham(*),AD,0,0
Hatton City(*),AD,0,0
Lind #1,AD,38,102
Washtucna Rural,AD,6,34
Lind Rural,AD,15,36
Total,AD,635,1991
