Row Label,County,Eddie Yoon,Charles W. Johnson
Montesano 601,GY,137,357
Chehalis 066(*),GY,0,0
Riviera 050,GY,11,22
McCleary Rural 060,GY,88,210
Hoquiam 421,GY,60,182
Satsop 052,GY,28,110
Aberdeen 132,GY,0,0
Lois Lane 082,GY,24,68
Montesano 603,GY,0,0
Ocosta 092,GY,0,0
Cutoff032,GY,19,50
Johns River 094,GY,64,153
Melbourne 072,GY,77,167
Bush 058,GY,108,319
Aberdeen 121,GY,126,285
Geissler 036,GY,9,27
Coats Landing 034,GY,53,148
Hoquiam 441,GY,73,210
Grayland 096,GY,57,177
Hoquiam 461,GY,71,161
Blockhouse 068,GY,64,168
Boundary 044,GY,11,30
Westport 901,GY,119,316
Elma 302,GY,90,270
Oakville 701,GY,25,96
Black Creek 046,GY,119,250
Aberdeen 111,GY,138,304
Cohasset 098,GY,44,101
Aberdeen Lake 038(*),GY,0,0
Burrows 014,GY,3,8
Quinault 004,GY,29,95
Porter 062,GY,43,106
Delezenne 070,GY,70,195
Pacific Beach 008,GY,53,105
Aberdeen 131,GY,156,369
Elma 301,GY,38,139
Axford 020,GY,16,90
Brady 048,GY,87,239
Dekay 022,GY,16,40
Ocean City 012,GY,62,154
Moclips 010,GY,6,12
Sierra 086(*),GY,0,0
Cosmopolis 201,GY,122,297
Cedar Creek 064,GY,27,60
Ocean Shores 801,GY,162,322
Ocean Shores 802,GY,191,476
Ocean Shores 803,GY,164,393
Aberdeen 141,GY,103,286
Calder 056,GY,38,155
Lund 088,GY,22,26
Taholah 002,GY,47,116
Aberdeen 142,GY,91,218
Devonshire 074,GY,46,154
Reynvaan 040,GY,30,66
Hoquiam 411,GY,81,189
Aberdeen 161,GY,135,281
Wilderness 016,GY,27,59
Hoquiam 451,GY,79,162
Hoquiam 431,GY,106,178
Blue Slough 084,GY,42,109
Wynoochee 042(*),GY,0,0
Hoquiam Rural 024,GY,50,190
Wishkah 030,GY,46,155
North Wishkah 028(*),GY,0,0
Stover 026,GY,13,32
Vesta 076,GY,12,36
Artic 078,GY,9,41
Humptulips 018,GY,6,32
Montesano 602,GY,136,378
Aberdeen 151,GY,66,185
Central Park 080,GY,120,310
Newskah 090,GY,4,7
McCleary 501,GY,105,201
Neilton 006,GY,13,45
Total,GY,4294,10899
