Row Label,County,Eddie Yoon,Charles W. Johnson
CAMANO 08,IS,102,267
CAMANO 09,IS,126,397
S WHIDBEY 09,IS,153,468
S WHIDBEY 08,IS,129,409
N WHIDBEY 04,IS,178,486
N WHIDBEY 05,IS,82,226
N WHIDBEY 06,IS,81,223
N WHIDBEY 07,IS,98,303
S WHIDBEY 03,IS,179,506
S WHIDBEY 02,IS,174,446
S WHIDBEY 01,IS,201,481
CAMANO 03,IS,151,383
S WHIDBEY 07,IS,126,477
S WHIDBEY 06,IS,136,437
S WHIDBEY 05,IS,173,508
S WHIDBEY 04,IS,146,432
N WHIDBEY 01,IS,155,410
N WHIDBEY 03,IS,136,278
CAMANO 01,IS,111,301
C WHIDBEY 03,IS,146,477
C WHIDBEY 02,IS,184,444
C WHIDBEY 01,IS,94,271
COUPEVILLE,IS,165,450
C WHIDBEY 05,IS,165,418
C WHIDBEY 04,IS,204,431
N WHIDBEY 02,IS,134,398
N WHIDBEY 08,IS,90,259
N WHIDBEY 09,IS,84,245
CAMANO 02,IS,139,411
N WHIDBEY 11,IS,22,65
N WHIDBEY 10,IS,46,102
S WHIDBEY 10,IS,162,421
CAMANO 04,IS,154,551
CAMANO 05,IS,124,462
CAMANO 06,IS,159,398
CAMANO 11,IS,141,390
CAMANO 10,IS,97,324
CAMANO 07,IS,127,366
OAK HARBOR 08,IS,114,327
OAK HARBOR 09,IS,50,75
OAK HARBOR 01,IS,147,345
OAK HARBOR 02,IS,127,249
OAK HARBOR 03,IS,136,346
OAK HARBOR 04,IS,145,351
OAK HARBOR 05,IS,156,350
OAK HARBOR 06,IS,148,291
OAK HARBOR 07,IS,146,372
LANGLEY,IS,107,363
Total,IS,6350,17390
