Row Label,County,Eddie Yoon,Charles W. Johnson
Salzer,LE,36,88
Napavine #2,LE,0,0
Packwood,LE,25,49
Napavine #5,LE,0,0
Napavine #6,LE,0,0
Napavine #1,LE,101,267
Union,LE,50,145
Paradise,LE,14,37
Napavine #4,LE,0,0
Urquhart,LE,25,136
Mossyrock,LE,23,91
Independence,LE,16,48
Sommerville,LE,10,43
Stillwater West,LE,32,118
Veness,LE,74,199
Stearns Creek,LE,32,83
Elk Crk,LE,24,72
Stillwater East,LE,25,56
Agate,LE,44,113
Skookumchuck,LE,66,223
Silver Creek,LE,62,206
Meskill,LE,15,32
Onalaska,LE,114,409
Jackson,LE,86,266
Napavine #3(*),LE,0,0
Toledo,LE,40,106
Mauermann,LE,11,59
Chehalis #9,LE,3,10
Chehalis #8,LE,59,140
Harmony,LE,78,208
Chehalis #1,LE,52,162
Chehalis #3,LE,38,125
Chehalis #2,LE,43,115
Chehalis #5,LE,44,98
Chehalis #4,LE,51,110
Chehalis #7,LE,11,37
Chehalis #6,LE,74,190
Centralia #2,LE,91,227
Centralia #3,LE,39,92
Centralia #1,LE,41,86
Centralia #6,LE,81,190
Centralia #7,LE,18,100
Centralia #4,LE,82,117
Centralia #5,LE,36,104
Centralia #8,LE,39,133
Centralia #9,LE,82,236
Mineral,LE,32,131
Salkum,LE,44,174
Randle West,LE,71,141
Ethel,LE,96,290
Fair,LE,0,0
Mellen(*),LE,0,0
Crego,LE,164,441
Parcuvia,LE,53,157
Evaline West,LE,44,112
Pe Ell,LE,43,107
Newaukum,LE,49,180
Forest,LE,63,228
Dryad,LE,21,68
Temple,LE,85,180
Cowlitz,LE,100,351
Drews Prairie,LE,37,108
Greenwood(*),LE,0,0
Seminary Hill,LE,41,131
Klickitat,LE,49,128
Verndale,LE,67,205
Cinebar,LE,76,184
Whealdon,LE,68,133
Sears,LE,60,143
Adna ,LE,109,340
Big Bottom,LE,85,241
Fords Prairie,LE,71,224
Jackson North,LE,0,0
Boistfort,LE,22,60
Claquato,LE,80,195
Curtis,LE,19,78
Vader,LE,30,100
Logan,LE,55,213
Alpha,LE,106,286
Berwick,LE,102,303
Evaline East,LE,28,86
Lincoln Creek,LE,49,181
Randle East,LE,87,190
Salmon Creek,LE,133,340
Emery,LE,39,121
Emery North(*),LE,0,0
Winlock,LE,68,170
Prescott,LE,137,430
Total,LE,4747,13522
Kelly,LE,0,0
Roswell,LE,2,8
Centralia #10,LE,31,89
Centralia #11,LE,91,212
Centralia #12,LE,104,268
Centralia #13,LE,88,285
Morton,LE,57,167
