Row Label,County,Eddie Yoon,Charles W. Johnson
JENNINGS LOOP,OK,5,18
MOCCASIN LAKE,OK,23,57
TONASKET CREEK,OK,9,21
FINLEY CANYON,OK,22,48
TUNK CREEK,OK,22,49
NORTH TONASKET,OK,17,46
FLETCHER,OK,13,26
GREENACRES,OK,9,22
OMAK #21,OK,10,14
BUCKHORN MTN,OK,15,31
GLOVER,OK,6,42
OMAK #22,OK,14,28
OMAK #23,OK,6,16
OMAK #24,OK,15,19
WEST CHEWUCH,OK,20,41
OKANOGAN #13,OK,3,18
METHOW,OK,15,50
ELMWAY,OK,10,21
BREWSTER FLAT,OK,13,28
TEAL LAKE,OK,4,23
TONASKET RURAL,OK,7,22
NORTH STAR,OK,5,9
NESPELEM CITY,OK,4,20
VALLEY,OK,4,38
OMAK RIVER,OK,6,38
BREWSTER #6,OK,9,10
OWHI,OK,8,18
AENEAS CREEK,OK,8,35
OMAK #19,OK,7,19
PINE CONE,OK,4,25
ASTON,OK,2,28
BREWSTER #2,OK,18,36
BREWSTER #3,OK,11,19
BREWSTER RURAL,OK,11,33
BREWSTER #1,OK,4,19
WHISKY MTN,OK,3,9
BREWSTER #4,OK,6,11
LIME BELT,OK,5,16
ELLISFORDE,OK,12,52
ALMA,OK,7,30
OROVILLE #8,OK,6,19
AENEAS LAKE,OK,16,32
OMAK #13,OK,17,20
SUNSET LAKES,OK,3,9
OMAK #6,OK,5,28
PALMER LAKE,OK,7,30
CARLTON,OK,18,27
OMAK #5,OK,14,28
OMAK #2,OK,11,27
MAZAMA,OK,23,64
FIKER,OK,5,33
OMAK #1,OK,4,19
PATEROS #2,OK,6,33
PATEROS #1,OK,10,28
OKANOGAN #6,OK,7,39
OMAK #8,OK,5,18
BLACK CANYON,OK,8,35
CANAL,OK,8,24
OKANOGAN #3,OK,4,14
OKANOGAN #1,OK,5,22
COLUMBIA,OK,9,16
OKANOGAN #7,OK,8,10
TWISP RURAL,OK,14,53
BONAPARTE,OK,6,18
GUSTY RIDGE,OK,5,23
OROVILLE #7,OK,9,19
ROSS CANYON,OK,8,33
OKANOGAN #9,OK,10,25
OROVILLE #4,OK,15,20
KIPLING,OK,6,27
LONGANECKER,OK,9,19
NORTH OMAK,OK,12,17
OMAK MTN,OK,4,15
AVIATION,OK,12,18
RAT LAKE,OK,4,25
WINTHROP #2,OK,12,38
OMAK #7,OK,9,28
OMAK #10,OK,8,31
TWIN LAKES,OK,12,72
OMAK #4,OK,6,26
MOLSON,OK,23,36
YARNELL,OK,8,18
WHITESTONE,OK,4,24
CHEWILIKEN,OK,12,13
COULEE DAM #4,OK,10,30
OMAK #3,OK,9,9
HAVILLAH,OK,17,44
OMAK #20,OK,14,27
PINE CREEK,OK,8,15
EDELWEISS,OK,28,51
BUFFALO LAKE,OK,14,8
POORMAN CREEK,OK,28,58
CHESAW,OK,14,27
PATEROS RURAL,OK,14,28
CAYUSE MTN,OK,6,16
SOURDOUGH,OK,19,40
HIGHWAY,OK,8,13
DAVIS LAKE,OK,17,47
LEECHER MTN,OK,12,48
SOUTH OROVILLE,OK,19,34
BEEMAN,OK,6,55
MYERS CREEK,OK,5,18
BLUE LAKE,OK,24,27
POGUE,OK,22,42
MONSE #3,OK,11,16
TORODA,OK,13,47
MONSE #1,OK,8,41
BOUNDARY,OK,14,29
OMAK #9,OK,13,43
TONASKET #6,OK,6,18
SAN POIL,OK,20,48
LAKE ANDREWS,OK,6,31
ENGH,OK,15,40
OKANOGAN #2,OK,18,29
ANTOINE CREEK,OK,19,14
BRIDGE CREEK,OK,16,34
RIVERSIDE RURAL,OK,13,54
SPRING COULEE,OK,8,48
SPECTACLE LAKE,OK,15,23
AIRPORT,OK,20,35
DULEY LAKE,OK,6,20
OROVILLE #9,OK,6,18
FLATS,OK,11,15
WINTHROP #1,OK,22,66
OROVILLE #5,OK,11,30
OROVILLE #6,OK,3,23
CROSSROADS,OK,4,24
OROVILLE #1,OK,11,29
OROVILLE #2,OK,9,15
OROVILLE #3,OK,6,17
LIBBY CREEK,OK,21,57
OKANOGAN RURAL,OK,12,23
OKANOGAN #4,OK,16,29
WEST RIVER,OK,8,22
BALKY HILL,OK,8,37
COPPLE,OK,9,37
OKANOGAN #5,OK,5,32
MISSION,OK,7,18
NESPELEM RURAL,OK,10,18
