Row Label,County,Eddie Yoon,Charles W. Johnson
North Cove,PA,73,181
Frances-Lebam(*),PA,0,0
North River,PA,11,16
South Bend 1 R,PA,14,27
Ocean Park 2,PA,133,264
South Bend 2R,PA,2,5
Ocean Park 1,PA,49,126
Nemah,PA,7,31
Pioneer,PA,61,139
Willapa,PA,85,233
Pioneer 2,PA,43,114
Raymond W1p2,PA,32,67
Raymond W1p3,PA,31,80
Raymond W3 R,PA,9,33
Raymond W2 R,PA,9,24
Menlo-Firdale,PA,73,176
Klipsan,PA,68,203
Eklund Park,PA,12,41
Baleville,PA,14,47
Smith Creek,PA,12,43
South Bend 3R,PA,2,2
Raymond W2,PA,38,90
Bay Center,PA,34,98
Raymond W1p1,PA,7,15
Ilwaco 2 Rural,PA,19,40
Chinook,PA,49,144
Naselle,PA,90,273
Ilwaco City,PA,72,184
Seaview 2,PA,7,17
Seaview 1,PA,78,166
South Fork,PA,18,74
Nahcotta,PA,178,434
Long Beach,PA,126,291
South Bend 2,PA,24,46
Raymond W3,PA,58,133
Oysterville,PA,89,226
Total,PA,1728,4361
South Bend 1,PA,47,102
Ilwaco 1 Rural(*),PA,0,0
South Bend 3,PA,23,86
