Row Label,County,Eddie Yoon,Charles W. Johnson
VAN FLEET,SK,72,215
GEAR,SK,82,263
BIRDSVIEW,SK,81,270
BURLINGTON 7,SK,53,146
BOW,SK,117,307
ROCKPORT,SK,80,225
ROSARIO,SK,105,371
MOUNT VERNON 16,SK,107,315
EDISON,SK,44,145
MOUNT VERNON 14,SK,120,302
MOUNT VERNON 12,SK,39,105
RIDGEWAY,SK,56,181
MOUNT VERNON 10,SK,59,120
SAMISH,SK,51,191
MOUNT VERNON 19,SK,100,289
BAY VIEW,SK,75,195
BURLINGTON 2,SK,56,136
STARBIRD,SK,68,225
BURLINGTON 1,SK,40,129
BURLINGTON 6,SK,40,135
TERRACE,SK,126,378
BURLINGTON 4,SK,74,185
BURLINGTON 5,SK,93,231
MANSFORD,SK,20,31
MAPES,SK,34,87
FIR,SK,32,107
LYMAN,SK,16,59
GAGES,SK,26,52
NOOKACHAMPS,SK,60,134
SAUK,SK,89,235
VEDERE,SK,39,167
HAMILTON,SK,12,31
BLANCHARD(*),SK,0,0
POINT WILLIAMS,SK,62,203
SKYRIDGE,SK,65,208
CONCRETE,SK,35,94
ALDER,SK,59,123
CLEAR LAKE,SK,97,232
FRUITDALE,SK,32,124
SWINOMISH,SK,109,262
SEDRO WOOLLEY  6,SK,73,249
MINKLER,SK,65,156
ANACORTES 20,SK,160,380
TINGLEY,SK,42,137
ANACORTES 22,SK,142,333
ANACORTES 24,SK,199,557
BIG LAKE,SK,114,309
COLLINS,SK,34,162
AVON,SK,73,222
MARCH POINT,SK,5,15
MOUNT VERNON 30,SK,107,288
FIDALGO,SK,125,290
MOUNT VERNON  4,SK,141,319
MOUNT VERNON  5,SK,27,64
MOUNT VERNON  6,SK,74,181
MOUNT VERNON  7,SK,95,257
WHITNEY,SK,33,101
MOUNT VERNON  2,SK,41,107
MOUNT VERNON  3,SK,89,212
LAKE SIXTEEN,SK,50,121
MOUNT VERNON  8,SK,154,435
MOUNT VERNON  9,SK,51,121
DEWEY,SK,133,428
BELFAST,SK,41,144
MOUNT VERNON 15,SK,68,137
MCMURRAY EAST,SK,15,58
LAKE CAVANAUGH,SK,24,75
SHELTER BAY,SK,94,276
MOUNT VERNON 27,SK,24,89
MOUNT VERNON 22,SK,143,417
MOUNT VERNON 21,SK,137,391
LOOKOUT,SK,113,275
MOUNT VERNON 11,SK,64,240
ANACORTES  9,SK,98,259
COUNTRY CLUB,SK,36,112
ANACORTES 21,SK,188,499
MOUNT VERNON  1,SK,40,94
SEDRO WOOLLEY  2,SK,89,267
SEDRO WOOLLEY  3,SK,71,184
SEDRO WOOLLEY  1,SK,112,226
MCMURRAY WEST,SK,44,114
SEDRO WOOLLEY  7,SK,2,3
SEDRO WOOLLEY  4,SK,82,255
SEDRO WOOLLEY  5,SK,123,316
ANACORTES  1,SK,105,174
MCRAE,SK,108,366
ANACORTES  6,SK,91,226
ANACORTES  7,SK,161,478
ANACORTES  4,SK,78,155
VIEW TERRACE(*),SK,0,0
SNEE OOSH,SK,65,202
MONTBORNE,SK,126,314
STERLING,SK,38,62
FREDONIA,SK,21,49
CASCADE,SK,27,50
DIGBY,SK,7,27
HARMONY,SK,42,150
PADILLA,SK,11,61
DUNBAR,SK,17,47
LA CONNER,SK,95,226
CEDARDALE,SK,30,85
BURLINGTON 3,SK,38,47
ANACORTES 5(*),SK,0,0
PRAIRIE,SK,118,241
RIVERBEND,SK,5,10
HAMBURG,SK,28,116
ANACORTES 11,SK,128,336
ALLEN,SK,43,97
ANACORTES 17,SK,165,429
CONWAY,SK,34,103
LITTLE MOUNTAIN,SK,40,126
GUEMES,SK,94,211
ALGER,SK,50,179
DODGE VALLEY,SK,30,112
Total,SK,8070,22009
