Row Label,County,Eddie Yoon,Charles W. Johnson
216,WM,107,260
217,WM,81,194
214,WM,93,213
215,WM,104,266
212,WM,56,123
213,WM,136,312
210,WM,124,276
211,WM,114,245
106    ,WM,93,226
260    ,WM,83,201
218,WM,83,182
219,WM,104,217
133,WM,64,174
132,WM,78,198
131,WM,112,312
130,WM,70,149
137,WM,68,156
135,WM,99,231
139,WM,49,123
138,WM,103,250
179    ,WM,37,67
182    ,WM,152,313
604    ,WM,92,245
162    ,WM,77,207
606    ,WM,88,264
175    ,WM,102,241
249    ,WM,99,273
610    ,WM,124,329
401,WM,55,165
248    ,WM,58,172
220,WM,91,187
124    ,WM,48,155
145    ,WM,132,333
173    ,WM,82,223
265    ,WM,94,194
120,WM,74,247
121,WM,77,158
122,WM,61,182
123,WM,48,185
125,WM,88,235
127,WM,158,321
129,WM,76,262
166    ,WM,132,278
268(*),WM,0,0
201    ,WM,148,412
304    ,WM,55,104
172    ,WM,64,181
111    ,WM,96,257
607    ,WM,93,265
160    ,WM,108,246
701,WM,70,266
115,WM,86,269
114,WM,49,163
117,WM,87,189
116,WM,89,133
110,WM,89,241
113,WM,79,243
112,WM,43,118
205,WM,82,161
118,WM,108,280
163    ,WM,93,221
261    ,WM,78,231
209,WM,119,271
509    ,WM,66,201
161    ,WM,49,172
251    ,WM,80,247
156    ,WM,41,110
252    ,WM,24,33
301,WM,137,311
302,WM,156,302
303,WM,121,295
611    ,WM,80,186
245,WM,59,110
244,WM,128,222
108,WM,160,287
246,WM,75,174
241,WM,77,188
240,WM,113,269
243,WM,121,226
242,WM,92,151
102,WM,76,185
103,WM,100,255
101,WM,121,221
107,WM,122,321
104,WM,70,161
105,WM,42,146
247,WM,96,135
253    ,WM,109,151
169    ,WM,133,385
605,WM,69,158
141    ,WM,115,290
140    ,WM,144,367
250    ,WM,119,383
259    ,WM,72,148
601,WM,147,355
507    ,WM,79,232
174    ,WM,85,200
255    ,WM,78,138
180    ,WM,68,262
254    ,WM,89,200
603,WM,91,236
181    ,WM,123,311
609    ,WM,131,334
504,WM,42,156
505,WM,122,300
502,WM,84,218
503,WM,122,272
501,WM,110,225
168    ,WM,126,314
257    ,WM,67,119
263    ,WM,92,223
177    ,WM,73,170
178    ,WM,140,248
183    ,WM,5,11
229,WM,137,209
228,WM,104,180
227,WM,124,250
226,WM,64,110
225,WM,116,232
224,WM,41,87
223,WM,70,166
222,WM,138,363
221,WM,103,249
167    ,WM,16,44
126    ,WM,102,340
258    ,WM,94,247
256    ,WM,86,276
608    ,WM,74,261
158    ,WM,41,124
264    ,WM,88,300
267    (*),WM,0,0
262    ,WM,86,210
159    ,WM,39,65
176    ,WM,68,201
151,WM,104,332
150,WM,94,307
153,WM,68,234
152,WM,97,253
155,WM,66,181
157,WM,68,103
602,WM,127,284
164    ,WM,51,76
508    ,WM,96,291
238,WM,65,197
239,WM,139,271
144    ,WM,95,294
234,WM,113,284
235,WM,63,169
236,WM,55,98
237,WM,57,138
230,WM,61,154
231,WM,113,207
232,WM,98,252
233,WM,96,233
154    ,WM,69,190
146    ,WM,112,317
136    ,WM,110,231
165    ,WM,49,136
147,WM,102,259
203,WM,125,258
202,WM,69,196
142,WM,94,203
204,WM,52,116
207,WM,67,184
206,WM,128,238
119    ,WM,65,133
208,WM,170,354
148,WM,92,274
149,WM,76,203
170    ,WM,72,197
143    ,WM,52,184
402    ,WM,79,198
171    ,WM,92,292
506    ,WM,126,232
266    ,WM,107,283
134    ,WM,122,346
801,WM,75,178
Total,WM,15779,38626
