Row Label,County,Eddie Yoon,Charles W. Johnson
ENDICOTT 147,WT,23,66
LACROSSE IN,WT,30,75
PULLMAN CITY 131(*),WT,0,0
GARFIELD IN,WT,52,122
PULLMAN CITY 114,WT,15,11
PULLMAN 235,WT,94,279
FARMINGTON 103,WT,3,23
LAMONT IN,WT,8,10
PULLMAN 234,WT,23,50
PULLMAN CITY 133(*),WT,0,0
COLFAX CITY 139,WT,48,160
PULLMAN CITY 127,WT,13,20
MALDEN IN,WT,9,43
PULLMAN CITY 125,WT,8,11
PULLMAN CITY 124,WT,15,19
PULLMAN CITY 123,WT,75,163
PULLMAN CITY 122,WT,44,97
PULLMAN CITY 121,WT,47,104
PULLMAN CITY 120,WT,196,387
UNIONTOWN 109,WT,11,42
TEKOA 101,WT,12,33
PULLMAN CITY 129,WT,31,44
PULLMAN CITY 128,WT,28,34
COLFAX RURAL 137,WT,48,169
DUSTY 143,WT,19,21
ALBION 112,WT,30,56
COLFAX CITY 142,WT,53,207
PULLMAN CITY 126,WT,8,17
COLTON 108,WT,18,63
COLFAX CITY 141,WT,44,106
WILCOX 138,WT,29,81
HAY 144,WT,7,13
PULLMAN 228,WT,15,11
ALBION IN,WT,44,104
COLFAX RURAL 136,WT,43,83
COLTON IN,WT,43,105
ROSALIA IN,WT,61,127
TEKOA IN,WT,53,131
MALDEN 150,WT,2,6
HOOPER 145,WT,3,12
OAKESDALE IN,WT,38,114
ST JOHN IN,WT,38,130
LAMONT 148,WT,4,27
ROSALIA 151,WT,14,47
PULLMAN CITY 130(*),WT,0,0
ST JOHN 149,WT,48,126
PULLMAN CITY 135,WT,68,157
ENDICOTT IN,WT,31,71
COLFAX CITY 140,WT,45,137
PULLMAN CITY 134,WT,11,15
OAKESDALE 102,WT,30,53
PULLMAN CITY 118,WT,96,190
PULLMAN CITY 119,WT,89,159
PULLMAN 218,WT,96,239
PULLMAN CITY 132,WT,0,0
PULLMAN RURAL 110,WT,98,271
PULLMAN RURAL 111,WT,24,81
THORNTON 152,WT,9,41
LACROSSE 146,WT,21,36
PULLMAN CITY 116,WT,129,280
PULLMAN CITY 117,WT,52,102
PALOUSE 107,WT,87,194
PULLMAN CITY 115,WT,3,6
PALOUSE RURAL 106,WT,35,121
UNIONTOWN IN,WT,21,67
STEPTOE 104,WT,12,71
FARMINGTON IN,WT,20,38
PULLMAN CITY 113,WT,62,96
GARFIELD 105,WT,19,50
Total,WT,2533,6073
