Row Label,County,Debra L. Stephens,John (Zamboni) Scannell
W3 - P535,BE,69,32
215,BE,118,51
Ridge,BE,0,0
Kiona,BE,250,131
210,BE,116,51
Hedges,BE,134,60
Weidle,BE,32,9
Randy,BE,76,23
W2 - P641,BE,143,16
W2 - P640,BE,187,48
135,BE,163,47
165,BE,149,36
W1 - P685,BE,259,63
W1 - P686,BE,191,64
W1 - P680,BE,254,63
W1 - P681,BE,178,51
W1 - P682,BE,300,64
W1 - P683,BE,191,39
El Rancho,BE,318,79
Columbia(*),BE,0,0
Benton South,BE,145,71
W3 - P545,BE,96,37
French,BE,22,9
289,BE,315,61
288,BE,170,49
(none),BE,179,45
Carley(*),BE,0,0
281,BE,294,48
280,BE,258,46
283,BE,172,36
220,BE,93,53
285,BE,316,72
284,BE,178,35
287,BE,111,49
286,BE,159,27
235,BE,118,46
Apricot,BE,38,21
Benton East,BE,0,0
Candy,BE,2,3
455,BE,174,51
Reata,BE,166,44
W1 - P670,BE,169,54
W3-P511,BE,13,5
W1 - P675,BE,88,26
W1 - P674,BE,143,42
265,BE,131,73
W1 - P676,BE,275,56
Harrington,BE,238,74
W3 - P558,BE,260,82
W3 - P559,BE,231,83
W3 - P552,BE,194,53
W3 - P553,BE,164,62
W3 - P550,BE,211,51
W3 - P551,BE,164,67
W3 - P556,BE,234,106
W3 - P557,BE,221,65
WR 11,BE,189,56
W3 - P555,BE,162,44
WR 17,BE,154,37
130,BE,196,41
WR 16,BE,138,41
Onion(*),BE,0,0
Benton North,BE,217,96
292,BE,132,49
293,BE,108,33
290,BE,205,63
Badger,BE,150,45
Crow Butte,BE,18,6
195,BE,146,56
Washington,BE,64,30
311,BE,0,0
310,BE,227,46
Mills,BE,232,74
Rattlesnake,BE,45,4
315,BE,304,66
115,BE,151,34
271,BE,91,32
W1 - P660,BE,164,78
W1 - P667,BE,85,42
W1 - P664,BE,326,64
W1 - P665,BE,244,64
278,BE,211,70
279,BE,88,21
W1 - P668,BE,315,88
W1 - P669,BE,115,48
175,BE,329,73
Wheat,BE,0,0
Walnut Grove,BE,116,46
Kennewick Valley,BE,171,68
Yakima,BE,3,2
Hawthorne,BE,104,45
W3 - P560,BE,106,22
255,BE,141,80
Yellowstone,BE,95,43
Cook,BE,11,4
Celilo,BE,243,59
WR 10,BE,16,8
Black Rock(*),BE,0,0
Orchard,BE,12,2
300,BE,197,43
301,BE,184,54
Jewel,BE,27,10
305,BE,213,38
W1 - P657,BE,151,43
W1 - P656,BE,91,30
W1 - P655,BE,114,35
Shockley,BE,3,2
240,BE,246,77
W1 - P651,BE,47,12
W1 - P650,BE,216,79
Ivey,BE,110,67
105,BE,121,39
245,BE,117,62
Hanford 4,BE,0,0
Hanford 3,BE,0,0
Hanford 2,BE,0,0
Hanford 1,BE,0,0
Cascade,BE,166,47
Gage(*),BE,0,0
Roe,BE,10,4
WR 1,BE,101,37
W2 - P633,BE,209,47
Cone,BE,121,35
W3 - P540,BE,182,61
160,BE,251,51
Liberty(*),BE,0,0
291,BE,206,86
282,BE,306,68
W2 - P635,BE,225,75
Elk,BE,0,0
125,BE,151,25
450,BE,225,44
Salmon,BE,36,11
Umatilla,BE,75,36
W1 - P645,BE,46,14
W1 - P646,BE,70,17
190,BE,202,54
W2 - P625,BE,198,66
Bobbie,BE,0,0
W2 - P639,BE,124,37
W2 - P601,BE,89,38
W2 - P600,BE,105,26
Riverside,BE,207,55
W2 - P605,BE,135,50
Finley,BE,256,104
170,BE,119,67
W3 - P505,BE,125,59
Buena Vista,BE,268,104
W3 - P500,BE,35,18
Demoss,BE,12,3
Sunny,BE,53,11
316,BE,0,0
Pearson(*),BE,0,0
180,BE,96,37
W2 - P570,BE,168,49
186,BE,57,32
Dot,BE,77,50
W2 - P575,BE,76,32
185,BE,78,29
250,BE,179,56
Vineyard(*),BE,0,0
465,BE,202,49
Horse Heaven,BE,27,4
460,BE,158,49
McBee(*),BE,0,0
Enterprise,BE,151,30
W2 - P590,BE,136,47
W2 - P610,BE,129,30
W2 - P595,BE,139,53
Prosser North,BE,178,64
W2 - P615,BE,57,15
270,BE,214,56
W3 - P515,BE,99,44
W3 - P510,BE,91,33
225,BE,166,45
Miller(*),BE,0,0
W2 - P565,BE,77,34
Canyon,BE,199,47
295,BE,186,52
W2 - P560,BE,100,46
Roza,BE,0,0
Edgewater,BE,144,56
Griffin(*),BE,0,0
110,BE,172,39
151,BE,363,66
150,BE,234,58
Vista,BE,85,31
WR 4,BE,256,98
Legion,BE,163,75
Cherry,BE,200,77
Oak,BE,91,36
WR 9,BE,169,38
WR 8,BE,274,61
W1-P663,BE,154,56
Paterson,BE,9,7
WR 2,BE,111,43
WR 3,BE,91,39
W2 - P626,BE,93,48
W2 - P580,BE,129,33
W3 - P520,BE,66,30
WR 7,BE,230,55
Chandler,BE,20,12
W3 - P525,BE,121,37
W2 - P585,BE,101,30
W2-P574,BE,102,38
230,BE,120,41
WR12,BE,217,83
WR13,BE,156,48
WR14,BE,276,78
WR15,BE,154,69
WR 6,BE,256,81
320,BE,283,80
WR 5,BE,78,23
155,BE,268,71
W2 - P620,BE,118,50
White Bluffs,BE,268,78
200,BE,147,40
145,BE,262,65
205,BE,106,60
140,BE,160,43
275,BE,73,39
W2 - P630,BE,170,73
Expansion(*),BE,0,0
Goose Ridge,BE,41,21
W2 - P634,BE,290,53
Reese,BE,29,4
W2 - P636,BE,211,46
W2 - P637,BE,223,61
W2 - P638,BE,214,64
Susie,BE,14,10
W1 - P691,BE,31,9
W1 - P690,BE,276,54
W3 - P530,BE,93,55
South,BE,158,35
Ida,BE,0,0
120,BE,226,33
Tumble Weed,BE,35,16
Sacagawea(*),BE,0,0
470,BE,150,45
260,BE,146,42
W3-P516,BE,9,3
Red Mountain,BE,153,73
Total,BE,32742,10063
Clements,BE,39,15
