Row Label,County,Debra L. Stephens,John (Zamboni) Scannell
Memorial,CZ,173,71
Windemere,CZ,393,147
Olson,CZ,193,74
Modrow,CZ,223,120
Ostrander,CZ,285,144
Baltimore,CZ,278,91
Magnolia,CZ,469,127
Hudson,CZ,296,111
Lake,CZ,228,108
Kessler,CZ,353,117
St. Helens,CZ,126,60
Woodage,CZ,228,82
Arkansas,CZ,115,57
Elk Ridge(*),CZ,0,0
Woodland South,CZ,346,135
Tunstall,CZ,93,65
Brynion,CZ,207,92
Marigold,CZ,367,142
Crawford,CZ,254,111
Chinook,CZ,310,134
Ridgecrest,CZ,18,14
Cloverdale,CZ,229,83
Woodland North,CZ,387,166
Mill,CZ,316,168
Ponderosa,CZ,250,93
Owl Creek,CZ,339,159
Willow Grove,CZ,81,36
Robbins,CZ,410,116
Powell,CZ,278,93
Ocean Beach,CZ,279,96
Sparks,CZ,176,58
Beacon,CZ,338,169
Harris,CZ,241,118
Delameter,CZ,234,100
Ryderwood,CZ,136,45
Redpath,CZ,220,96
Nevada,CZ,250,97
Sandy Bend,CZ,256,127
Mint Valley,CZ,438,137
Burcham,CZ,492,145
Columbia Valley Gdns,CZ,205,83
Lexington,CZ,260,82
Rose Valley,CZ,169,118
Mt. Solo,CZ,84,32
Haussler,CZ,177,76
Silver Lake,CZ,443,195
Ammons,CZ,195,82
Kalama North,CZ,258,54
Yale,CZ,196,120
Bakers,CZ,10,9
Sacajawea,CZ,537,152
Alabama,CZ,161,94
Kalama South,CZ,274,131
Carrolls,CZ,272,136
Caples,CZ,129,36
Lone Oak,CZ,173,50
Lewis River,CZ,364,192
Industrial,CZ,0,0
Castle Rock,CZ,334,158
West Kelso,CZ,65,42
Stella,CZ,263,119
Toutle,CZ,310,153
Tower,CZ,381,175
Columbia Heights,CZ,166,64
Pacific,CZ,285,135
McGowan,CZ,51,42
Hillcrest,CZ,476,167
Boondox,CZ,10,4
View,CZ,171,92
Coal Creek,CZ,371,151
Laurel,CZ,354,110
Douglas(*),CZ,0,0
Total,CZ,17645,7254
