Row Label,County,Debra L. Stephens,John (Zamboni) Scannell
PRECINCT 107,DG,116,34
PRECINCT 106,DG,100,56
PRECINCT 105,DG,79,32
PRECINCT 104,DG,339,81
PRECINCT 103,DG,56,19
PRECINCT 102,DG,270,76
PRECINCT 101,DG,142,43
PRECINCT 109,DG,80,44
PRECINCT 108,DG,121,42
PRECINCT 305,DG,110,27
PRECINCT 304,DG,37,13
PRECINCT 307,DG,31,14
PRECINCT 306,DG,104,44
PRECINCT 208,DG,103,46
PRECINCT 209,DG,188,79
PRECINCT 303,DG,140,44
PRECINCT 302,DG,226,62
PRECINCT 204,DG,187,83
PRECINCT 205,DG,250,81
PRECINCT 206,DG,126,30
PRECINCT 207,DG,226,65
PRECINCT 309,DG,51,21
PRECINCT 201,DG,146,50
PRECINCT 202,DG,72,25
PRECINCT 203,DG,177,61
PRECINCT 311,DG,87,35
PRECINCT 310,DG,74,21
PRECINCT 316,DG,193,48
PRECINCT 308,DG,28,20
PRECINCT 314,DG,37,9
PRECINCT 315,DG,241,68
PRECINCT 114,DG,105,42
PRECINCT 110,DG,183,53
PRECINCT 111,DG,248,62
PRECINCT 112,DG,149,47
PRECINCT 113,DG,128,52
PRECINCT 318,DG,54,19
PRECINCT 312,DG,112,51
PRECINCT 313,DG,25,20
PRECINCT 215,DG,168,65
PRECINCT 214,DG,43,21
PRECINCT 213,DG,109,30
PRECINCT 212,DG,121,53
PRECINCT 211,DG,56,18
PRECINCT 210,DG,67,33
PRECINCT 317,DG,276,85
PRECINCT 301,DG,264,81
Total,DG,6245,2105
