Row Label,County,Debra L. Stephens,John (Zamboni) Scannell
601 Queets,JE,23,8
704 Port Townsend,JE,149,42
101 Gardiner,JE,121,25
501 Port Ludlow I,JE,396,106
200 Coyle,JE,130,60
708 Port Townsend,JE,399,122
302 Center I,JE,138,77
702 Port Townsend,JE,188,49
306 Irondale II,JE,266,125
300 Chimacum I,JE,203,69
102 Port Discovery,JE,106,62
105 Discovery Bay,JE,297,85
305 Irondale I,JE,200,87
710 Port Townsend,JE,246,50
500 Port Ludlow,JE,368,100
106 North Jacob,JE,204,96
503 Port Ludlow III,JE,266,53
301 Chimacum II,JE,111,60
706 Port Townsend,JE,451,156
401 Nordland,JE,312,100
502 Port Ludlow II,JE,231,79
505 Port Ludlow V,JE,268,82
709 Port Townsend,JE,369,97
303 Hadlock,JE,264,113
304 Kala Point,JE,358,91
107 South Jacob,JE,296,101
201 Quilcene,JE,287,119
308 Center II,JE,96,47
705 Port Townsend,JE,190,53
204 Brinnon,JE,340,148
707 Port Townsend,JE,408,109
104 Cape George,JE,316,94
103 Crocker,JE,101,47
600 Hoh,JE,27,7
703 Port Townsend,JE,236,48
700 Port Townsend,JE,284,103
504 Port Ludlow IV,JE,153,56
Total,JE,9145,3025
701 Port Townsend,JE,162,36
307 Four Corners,JE,185,63
