Row Label,County,Debra L. Stephens,John (Zamboni) Scannell
HARRINGTON IN,LI,81,28
LONG LAKE,LI,43,16
S REARDAN RURAL,LI,26,9
DAVENPORT RURAL,LI,60,11
IRBY,LI,17,2
KELLER,LI,38,11
LAMONA,LI,18,4
HAWK CREEK,LI,40,25
EDWALL,LI,34,12
MOHLER,LI,18,6
EGYPT,LI,67,27
WEST LARENE,LI,28,9
SPRAGUE RURAL,LI,64,21
WHEATLAND,LI,47,19
EAST LARENE,LI,54,13
GRAVELLE,LI,24,12
GRAND COULEE,LI,20,6
REARDAN IN,LI,146,34
PEACH,LI,87,20
ALMIRA RURAL,LI,16,5
N REARDAN RURAL,LI,28,6
HARR RURAL,LI,24,9
GOVAN,LI,15,3
LAKEVIEW,LI,80,17
ODESSA IN,LI,235,53
SPRAGUE IN,LI,77,37
RIVERVIEW,LI,92,42
ENOS,LI,7,2
LAYTON,LI,9,2
CANBY,LI,28,4
EARL,LI,18,5
WILBUR RURAL,LI,49,17
WAUKON,LI,31,10
WILBUR IN,LI,219,74
DOWNS,LI,11,7
SHERMAN,LI,38,8
MONDOVI,LI,43,20
ALMIRA IN,LI,65,18
SPRING CREEK,LI,53,15
SEVEN BAYS,LI,41,10
CRESTON RURAL,LI,35,10
CRESTON IN,LI,48,14
ODESSA RURAL,LI,51,13
WILSON CREEK,LI,16,6
Total,LI,2592,825
DAVENPORT IN,LI,345,128
BLUESTEM,LI,6,5
