Row Label,County,Debra L. Stephens,John (Zamboni) Scannell
JENNINGS LOOP,OK,17,5
MOCCASIN LAKE,OK,56,19
TONASKET CREEK,OK,27,4
FINLEY CANYON,OK,49,25
TUNK CREEK,OK,53,17
NORTH TONASKET,OK,51,13
FLETCHER,OK,34,5
GREENACRES,OK,22,7
OMAK #21,OK,18,5
BUCKHORN MTN,OK,26,24
GLOVER,OK,41,9
OMAK #22,OK,36,7
OMAK #23,OK,18,4
OMAK #24,OK,17,18
WEST CHEWUCH,OK,47,14
OKANOGAN #13,OK,18,5
METHOW,OK,44,21
ELMWAY,OK,23,9
BREWSTER FLAT,OK,33,9
TEAL LAKE,OK,24,8
TONASKET RURAL,OK,20,12
NORTH STAR,OK,12,4
NESPELEM CITY,OK,22,2
VALLEY,OK,30,13
OMAK RIVER,OK,31,15
BREWSTER #6,OK,15,4
OWHI,OK,24,2
AENEAS CREEK,OK,30,14
OMAK #19,OK,19,10
PINE CONE,OK,25,5
ASTON,OK,24,5
BREWSTER #2,OK,37,17
BREWSTER #3,OK,21,9
BREWSTER RURAL,OK,32,7
BREWSTER #1,OK,19,6
WHISKY MTN,OK,10,3
BREWSTER #4,OK,14,4
LIME BELT,OK,14,7
ELLISFORDE,OK,45,19
ALMA,OK,32,7
OROVILLE #8,OK,22,3
AENEAS LAKE,OK,35,24
OMAK #13,OK,22,13
SUNSET LAKES,OK,11,2
OMAK #6,OK,27,8
PALMER LAKE,OK,30,4
CARLTON,OK,30,17
OMAK #5,OK,28,14
OMAK #2,OK,26,15
MAZAMA,OK,72,15
FIKER,OK,28,10
OMAK #1,OK,15,8
PATEROS #3,OK,13,5
PATEROS #2,OK,27,9
PATEROS #1,OK,31,8
OMAK #8,OK,21,3
BLACK CANYON,OK,28,18
CANAL,OK,26,8
OKANOGAN #3,OK,13,5
OKANOGAN #1,OK,23,3
COLUMBIA,OK,19,6
TWISP RURAL,OK,53,15
BONAPARTE,OK,18,5
GUSTY RIDGE,OK,28,7
OROVILLE #7,OK,17,12
ROSS CANYON,OK,34,6
OKANOGAN #9,OK,28,10
OROVILLE #4,OK,27,8
KIPLING,OK,20,14
LONGANECKER,OK,22,6
NORTH OMAK,OK,24,4
OMAK MTN,OK,17,3
AVIATION,OK,25,5
RAT LAKE,OK,21,8
WINTHROP #2,OK,35,17
OMAK #7,OK,25,10
OMAK #10,OK,30,9
TWIN LAKES,OK,68,16
OMAK #4,OK,26,7
MOLSON,OK,48,14
YARNELL,OK,17,7
WHITESTONE,OK,23,6
CHEWILIKEN,OK,17,7
COULEE DAM #4,OK,31,9
OMAK #3,OK,14,5
HAVILLAH,OK,48,19
OMAK #20,OK,31,11
PINE CREEK,OK,19,6
EDELWEISS,OK,64,15
OKANOGAN #7(*),OK,0,0
BUFFALO LAKE,OK,19,4
POORMAN CREEK,OK,70,23
CHESAW,OK,26,16
PATEROS RURAL,OK,26,13
CAYUSE MTN,OK,15,8
SOURDOUGH,OK,39,18
HIGHWAY,OK,12,11
DAVIS LAKE,OK,52,16
LEECHER MTN,OK,47,13
SOUTH OROVILLE,OK,37,18
BEEMAN,OK,40,21
MYERS CREEK,OK,20,7
BLUE LAKE,OK,36,15
POGUE,OK,50,18
MONSE #3,OK,20,10
TORODA,OK,46,12
MONSE #1,OK,36,12
BOUNDARY,OK,34,10
OMAK #9,OK,48,10
TONASKET #6,OK,13,9
SAN POIL,OK,49,25
LAKE ANDREWS,OK,29,10
ENGH,OK,37,16
OKANOGAN #2,OK,32,19
ANTOINE CREEK,OK,16,16
BRIDGE CREEK,OK,42,10
