Row Label,County,Debra L. Stephens,John (Zamboni) Scannell
MARYSVILLE 17,SN,190,50
WAGNER,SN,217,70
LUNDS GULCH,SN,64,27
STRAUS,SN,257,92
EVERETT  73,SN,198,49
LYNNWOOD  6,SN,167,51
EVERETT  71,SN,86,45
MENZEL,SN,132,70
EVERETT  77,SN,160,37
EVERETT  76,SN,134,71
RIDGEWAY,SN,131,40
EVERETT  74,SN,106,38
EVERETT  79,SN,157,63
EVERETT  78,SN,87,32
NILE,SN,0,0
RHODY RIDGE,SN,140,32
LARIMER,SN,160,56
ARNOT,SN,144,44
CHATHAM,SN,34,19
KINGMAN,SN,333,59
MANN,SN,178,48
FIR,SN,179,66
MARYSVILLE 44,SN,252,83
MUKILTEO 18,SN,293,51
MUKILTEO 19,SN,191,29
MARYSVILLE 41,SN,117,57
MARYSVILLE 40,SN,144,50
MARYSVILLE 43,SN,183,71
MARYSVILLE 42,SN,155,59
SILVER FIRS,SN,254,64
PORT SUSAN,SN,282,93
MUKILTEO 10,SN,167,28
MUKILTEO 11,SN,176,68
MUKILTEO 16,SN,302,55
MUKILTEO 17,SN,285,78
MUKILTEO 14,SN,270,62
MUKILTEO 15,SN,65,26
MILL CREEK 18,SN,176,53
MILL CREEK 19,SN,259,81
MILL CREEK 14,SN,7,2
MILL CREEK 15,SN,232,40
MILL CREEK 16,SN,141,27
MILL CREEK 17,SN,226,49
NORDEN,SN,139,72
MILL CREEK 11,SN,166,35
MILL CREEK 12,SN,198,23
STAFFORD,SN,131,31
MC RAE,SN,132,55
SOFIE,SN,123,32
MARYSVILLE 30,SN,213,69
MARYSVILLE 31,SN,304,75
MARYSVILLE 32,SN,127,48
MARYSVILLE 33,SN,2,3
MARYSVILLE 34,SN,159,49
MARYSVILLE 35,SN,187,61
MAY CREEK,SN,177,75
MARYSVILLE 37,SN,127,40
MARYSVILLE 38,SN,132,58
MARYSVILLE 39,SN,183,38
ROBE,SN,120,37
THREE LAKES,SN,142,59
LOOP,SN,165,78
VIEW,SN,238,49
LOST LAKE,SN,139,34
LAKE STEVENS  4,SN,151,57
LAKE STEVENS  5,SN,153,66
WAXON,SN,287,61
LAKE STEVENS  7,SN,225,66
LAKE STEVENS  1,SN,241,94
LAKE STEVENS  2,SN,190,59
LAKE STEVENS  3,SN,262,72
PRIEST POINT,SN,121,36
LAKE STEVENS  8,SN,187,54
LAKE STEVENS  9,SN,146,54
BOTHELL 45,SN,109,26
MONROE  1,SN,238,70
MONROE  3,SN,181,75
EVERETT  90,SN,52,20
STANWOOD 2,SN,175,65
SOUTH SNOHOMISH,SN,140,58
STANWOOD 5,SN,226,72
STANWOOD 4,SN,260,62
LYNNWOOD 23,SN,194,41
CAVALRY,SN,213,47
LYNNWOOD 21,SN,182,68
SULTAN RIVER,SN,177,64
STANWOOD 7,SN,104,38
LYNNWOOD 25,SN,238,59
LYNNWOOD 24,SN,139,52
WATERS,SN,250,72
MONROE  6,SN,176,51
EVERETT   4,SN,197,51
MARYSVILLE 22,SN,266,73
EVERETT  75,SN,114,49
KENWOOD,SN,181,52
ELFIN,SN,106,38
KENNARD,SN,175,39
ROBINHOOD,SN,151,55
EDMONDS 14,SN,160,36
HAINES,SN,208,64
SPENCER(*),SN,0,0
HILTONS LAKE,SN,208,59
TUCKER,SN,218,49
EVERETT  39,SN,165,60
EVERETT  38,SN,42,21
BEVERLY,SN,183,57
EVERETT  36,SN,150,50
KNOX,SN,13,3
MARINER,SN,155,53
EVERETT  33,SN,256,63
EVERETT  32,SN,189,57
EVERETT  31,SN,125,50
EVERETT  30,SN,223,72
EDMONDS 39,SN,296,51
EVERETT  41,SN,160,37
EDMONDS 33,SN,186,47
EDMONDS 32,SN,210,46
EDMONDS 31,SN,223,62
EDMONDS 30,SN,181,45
EDMONDS 37,SN,224,39
EDMONDS 36,SN,223,43
PACIFIC,SN,51,13
EDMONDS 34,SN,231,45
TRONSON,SN,138,43
LAKE STEVENS 28,SN,185,57
LAKE STEVENS 26,SN,99,36
LAKE STEVENS 27,SN,120,18
LAKE STEVENS 24,SN,142,44
LAKE STEVENS 25,SN,56,18
LAKE STEVENS 22,SN,141,67
LAKE STEVENS 23,SN,137,50
LAKE STEVENS 20,SN,190,69
LAKE STEVENS 21,SN,248,65
ARLINGTON 18,SN,0,0
ARLINGTON 17,SN,4,3
ARLINGTON 16,SN,125,45
ARLINGTON 15,SN,66,30
ARLINGTON 14,SN,138,62
VINE,SN,166,58
ARLINGTON 12,SN,140,49
ARLINGTON 11,SN,112,22
ARLINGTON 10,SN,237,95
PELLERIN,SN,156,74
KOKANEE,SN,109,32
TIMBER,SN,0,0
EVERGREEN,SN,132,33
PIPELINE,SN,174,70
CREEK,SN,239,68
EVERETT  69,SN,187,37
LYNNWOOD  7,SN,230,57
WALNUT,SN,132,43
STANWOOD 1,SN,104,22
STANWOOD 3,SN,154,36
MONROE  2,SN,220,67
MONROE  5,SN,238,80
PINEWOOD,SN,195,47
MONROE  7,SN,195,55
STANWOOD 6,SN,126,44
MONROE  9,SN,204,64
MONROE  8,SN,124,31
CLOVER,SN,160,44
COHO,SN,80,28
OWEN,SN,163,54
MARYSVILLE 47,SN,182,55
FERN,SN,83,12
LYNNWOOD  5,SN,100,39
LYNNWOOD  4,SN,154,41
MUKILTEO 21,SN,143,20
MUKILTEO 20,SN,261,56
LYNNWOOD  1,SN,95,29
LYNNWOOD  3,SN,173,47
POND,SN,192,49
ATLAS,SN,257,51
LYNNWOOD  9,SN,233,47
LYNNWOOD  8,SN,146,38
SPADA(*),SN,0,0
BRIER 8,SN,151,43
MILL CREEK 21,SN,106,27
MILL CREEK 20,SN,182,25
MILL CREEK 22,SN,129,38
BRIER 3,SN,326,62
BRIER 2,SN,166,34
BRIER 1,SN,205,62
OVERLOOK,SN,264,57
BRIER 7,SN,165,47
BRIER 6,SN,155,29
BRIER 5,SN,281,48
BRIER 4,SN,226,55
MUKILTEO 12,SN,319,59
POPLAR,SN,114,27
FOUR CORNERS,SN,199,58
KACKMAN,SN,145,44
PILOT,SN,195,69
MUKILTEO  5,SN,312,60
MUKILTEO  4,SN,168,37
MUKILTEO  7,SN,186,30
MUKILTEO  6,SN,233,45
MUKILTEO  1,SN,272,71
MUKILTEO  3,SN,186,36
OHLDE,SN,187,58
MARYSVILLE 49,SN,155,45
MUKILTEO  9,SN,194,60
MUKILTEO  8,SN,157,44
COVE,SN,173,48
SILVER LAKE,SN,162,69
JORDAN TRAILS,SN,111,32
SOUTH LAKE STEVENS,SN,204,70
