Row Label,County,Debra L. Stephens,John (Zamboni) Scannell
216,WM,298,75
217,WM,211,67
214,WM,232,80
215,WM,300,70
212,WM,139,39
213,WM,363,86
210,WM,341,72
211,WM,287,72
106    ,WM,235,81
260    ,WM,242,44
218,WM,222,45
219,WM,246,76
133,WM,169,63
132,WM,216,68
131,WM,319,113
130,WM,162,54
137,WM,158,62
135,WM,252,77
139,WM,128,45
138,WM,272,94
179    ,WM,81,26
182    ,WM,336,126
604    ,WM,229,95
162    ,WM,234,48
606    ,WM,267,90
175    ,WM,256,86
249    ,WM,303,74
610    ,WM,334,116
401,WM,160,57
248    ,WM,179,55
220,WM,218,66
124    ,WM,152,54
145    ,WM,342,104
173    ,WM,259,58
265    ,WM,231,56
120,WM,244,80
121,WM,168,68
122,WM,185,57
123,WM,167,63
125,WM,214,96
127,WM,349,130
129,WM,262,74
268,WM,8,7
166    ,WM,320,93
201    ,WM,428,129
304    ,WM,104,53
172    ,WM,200,47
111    ,WM,246,101
607    ,WM,260,92
160    ,WM,289,73
701,WM,230,94
115,WM,265,99
114,WM,146,67
117,WM,188,83
116,WM,147,78
110,WM,227,106
113,WM,235,90
112,WM,126,47
205,WM,187,55
118,WM,278,110
163    ,WM,239,77
261    ,WM,260,52
209,WM,304,80
509    ,WM,204,61
161    ,WM,181,41
251    ,WM,288,51
156    ,WM,107,50
252    ,WM,38,18
301,WM,304,148
302,WM,339,123
303,WM,345,77
611    ,WM,184,80
245,WM,130,38
244,WM,283,74
108,WM,315,140
246,WM,189,53
241,WM,217,54
240,WM,300,92
243,WM,276,80
242,WM,183,59
102,WM,192,68
103,WM,260,99
101,WM,245,90
107,WM,327,116
104,WM,173,54
105,WM,133,58
247,WM,167,62
253    ,WM,196,61
169    ,WM,431,89
605,WM,166,57
141    ,WM,286,128
140    ,WM,350,149
250    ,WM,432,74
259    ,WM,187,29
601,WM,365,133
507    ,WM,233,86
174    ,WM,215,73
255    ,WM,179,36
180    ,WM,276,57
254    ,WM,234,58
603,WM,261,65
181    ,WM,345,97
609    ,WM,325,129
504,WM,152,43
505,WM,311,106
502,WM,234,67
503,WM,306,83
501,WM,273,60
168    ,WM,370,76
257    ,WM,156,31
263    ,WM,246,70
177    ,WM,196,49
178    ,WM,289,102
183    ,WM,11,5
229,WM,266,78
228,WM,229,68
227,WM,290,89
226,WM,148,35
225,WM,268,90
224,WM,101,35
223,WM,194,47
222,WM,429,90
221,WM,304,55
167    ,WM,34,25
126    ,WM,337,125
258    ,WM,286,56
256    ,WM,302,69
608    ,WM,258,81
158    ,WM,133,41
264    ,WM,336,47
262    ,WM,231,62
159    ,WM,81,17
176    ,WM,207,63
151,WM,320,111
150,WM,283,106
153,WM,220,87
152,WM,252,88
155,WM,186,57
157,WM,117,53
602,WM,302,109
164    ,WM,87,42
508    ,WM,291,103
238,WM,190,61
239,WM,317,89
144    ,WM,257,129
234,WM,308,99
235,WM,184,43
236,WM,127,26
237,WM,166,33
230,WM,169,52
231,WM,246,80
232,WM,294,67
233,WM,236,88
154    ,WM,181,76
146    ,WM,312,119
136    ,WM,233,112
165    ,WM,133,50
147,WM,269,95
203,WM,308,84
202,WM,228,39
142,WM,212,93
204,WM,132,40
207,WM,183,66
206,WM,282,91
119    ,WM,143,53
208,WM,394,142
148,WM,249,121
149,WM,220,64
170    ,WM,226,41
143    ,WM,176,74
402    ,WM,207,80
171    ,WM,310,65
506    ,WM,264,87
267    ,WM,32,7
266    ,WM,349,55
134    ,WM,355,114
801,WM,180,70
Total,WM,41618,13028
