Row Label,County,Russ Olsen,Brian G. Hess
Yelm 1,TH,110,117
Griffin,TH,169,75
Kaiser,TH,86,44
Smith Prairie,TH,169,141
Olympia 01,TH,170,53
Lacey 29,TH,147,137
Scott Lake South,TH,118,91
Tri Lakes,TH,101,51
Woodland,TH,173,76
Plumb,TH,148,152
Montgomery,TH,81,54
Olympia 10,TH,207,65
Delta(*),TH,0,0
Olympia 12,TH,89,42
Olympia 13,TH,204,52
Pleasant Hill,TH,179,123
Olympia 15,TH,135,59
Smith Lake,TH,178,98
Olympia 17,TH,115,55
Olympia 18,TH,173,58
Rocky Prairie,TH,99,90
Scatter Creek,TH,102,99
Lacey 06,TH,50,46
Henderson,TH,236,118
Mullen,TH,194,124
Marvin,TH,193,120
Rochester 4,TH,96,119
Rochester 5,TH,139,147
Rochester 2,TH,139,114
Rochester 3,TH,118,152
French,TH,223,54
Rochester 1,TH,161,158
Tumwater 11,TH,247,131
Evergreen Ballroom,TH,183,160
Littlerock,TH,236,193
Lacey 10,TH,240,56
Skookumchuck,TH,142,134
Delphi,TH,167,83
Tolmie,TH,63,43
Quince(*),TH,0,0
St Clair,TH,176,98
Olympia 58,TH,142,96
Tenino 01,TH,80,74
James,TH,103,125
Tumwater 10,TH,201,121
Lacey 14,TH,64,33
Olympia 07,TH,83,52
Olympia 06,TH,244,143
Olympia 05,TH,146,61
Olympia 04,TH,152,77
Olympia 03,TH,183,67
Olympia 02,TH,150,86
Plainview,TH,285,124
Lacey 27,TH,134,89
Delridge,TH,48,25
Military,TH,74,61
Lacey 16,TH,185,45
Lacey 39,TH,255,122
Olympia 09,TH,294,112
Sweet Briar,TH,239,112
Olympia 43,TH,212,76
Rainier 01,TH,94,109
Puget,TH,208,116
Olympia 11,TH,187,38
Vail,TH,167,148
Stedman,TH,129,72
Tumwater 13,TH,80,31
Zenkner Valley,TH,32,25
Trailblazer,TH,56,46
Libby,TH,143,87
Lackamas,TH,52,48
Broadway,TH,225,117
Johnson Point,TH,221,118
Sleater Kinney,TH,155,92
Medicine Creek,TH,71,55
Lacey 42,TH,49,32
Olympia 16,TH,32,14
Tumwater 12,TH,171,79
Prine,TH,27,26
Long Lake,TH,46,18
Lacey 33,TH,72,60
Olympia 53,TH,173,59
Lacey 31,TH,113,74
Lacey 30,TH,219,146
Greenridge,TH,101,67
Lacey 36,TH,75,84
Lacey 35,TH,50,42
Olympia 19,TH,146,61
Butler Cove,TH,174,70
Lacey 34,TH,94,47
Mud Bay,TH,155,96
Olympia 14,TH,164,59
Mclane,TH,122,69
Tumwater 15,TH,201,96
Lawrence Lake,TH,162,180
Lacey 45,TH,71,56
Olympia 38,TH,42,20
Tilley,TH,167,143
Yelm 3,TH,126,150
Hunter Point,TH,108,58
Skokomish,TH,122,110
Schneiders Prairie,TH,134,65
Grand Mound,TH,57,82
Alpine,TH,308,139
Hays,TH,130,64
Luhr Beach,TH,200,126
Berry Valley,TH,111,117
Freedom,TH,212,127
Morris,TH,146,156
Lacey 07,TH,129,78
Lacey 04,TH,69,56
Lacey 05,TH,102,63
Lacey 02,TH,102,70
Lacey 03,TH,147,83
Deschutes,TH,140,159
Olympia 50,TH,139,52
Tumwater 28,TH,199,141
Tumwater 29,TH,0,0
Friendly Grove,TH,92,73
Olympia 51,TH,38,21
Fair Oaks,TH,125,70
Woodard Creek,TH,156,77
Pines,TH,109,100
Scott Lake North,TH,76,54
Mushroom Corner,TH,144,112
Tumwater 14,TH,75,46
Yelm 2,TH,110,125
Deerbrush,TH,185,112
Henness,TH,194,236
Lacey 09,TH,63,54
Kinwood,TH,147,81
Rainier 02,TH,90,66
Summit Lake,TH,125,108
Lacey 19,TH,93,70
Lacey 18,TH,200,95
Simmons 9,TH,2,4
Lacey 11,TH,194,56
Simmons 4,TH,13,3
Lacey 13,TH,74,42
Lacey 01,TH,71,25
Lacey 15,TH,146,75
Gull Harbor,TH,122,57
Simmons 3,TH,5,4
Simmons 2,TH,4,2
Spurgeon Creek,TH,75,48
Black River,TH,230,169
Forest,TH,238,131
Olympia 24,TH,173,50
Meadows,TH,141,79
Pattison,TH,178,115
Olympia 54,TH,117,39
Olympia 55,TH,85,54
Olympia 56,TH,140,85
Olympia 57,TH,82,43
Tykle Cove,TH,194,58
Mcallister Creek,TH,117,100
Olympia 52,TH,113,21
Mcintosh,TH,263,202
Tenino 02,TH,89,88
Olympia 39,TH,180,65
Steamboat Island,TH,124,90
Olympia 20,TH,85,38
Lacey 08,TH,98,58
Lacey 41,TH,161,68
Beach Crest,TH,130,74
Ames,TH,180,52
Jones Beach,TH,112,44
Pleasant Glade,TH,110,50
Evergreen Shores,TH,148,82
Hewitt Lake,TH,240,84
Tumwater 08,TH,180,119
Olympia 60,TH,93,62
Tumwater 06,TH,287,135
Tumwater 07,TH,135,56
Tumwater 04,TH,99,68
Tumwater 05,TH,132,68
Tumwater 02,TH,163,67
Tumwater 03,TH,161,104
Roosevelt,TH,227,95
Tumwater 01,TH,117,66
University North,TH,65,43
Olympia 49,TH,197,67
Olympia 48,TH,198,115
Bush Prairie,TH,42,25
Summerset,TH,265,180
Olympia 42,TH,131,42
Olympia 41,TH,197,57
Olympia 40,TH,160,41
Olympia 47,TH,214,72
Olympia 46,TH,152,83
Olympia 45,TH,98,52
Olympia 44,TH,93,26
Holmes,TH,145,86
Cooper Point,TH,176,90
Ruth Prairie,TH,47,69
Hawks Ridge,TH,73,39
Weir Prairie,TH,166,107
Wilderness,TH,252,101
Lacey 32,TH,151,117
Camelot,TH,99,74
University South,TH,88,63
Lacey 24,TH,229,123
Gallagher Cove,TH,255,124
Lacey 17,TH,153,83
Total,TH,39559,23004
College,TH,21,15
Bigelow,TH,151,76
Lacey 37,TH,49,24
Olympia 08,TH,178,50
Beaver Creek,TH,256,235
Oyster Bay,TH,215,75
Eaton Creek,TH,102,79
Lacey 28,TH,116,54
Olympia 25,TH,146,46
Four Corners,TH,201,200
South Bay,TH,204,115
Indian Summer,TH,240,63
Longmire,TH,89,91
Tumwater 24,TH,112,72
Olympia 59,TH,146,72
Clear Lake,TH,211,199
Airport,TH,6,16
Thompson,TH,99,63
Bucoda,TH,63,52
Glen Terra,TH,59,21
Frye Cove,TH,188,100
Cougar Mountain,TH,25,37
Mckinley,TH,65,31
Olympia 37,TH,129,36
Gibson Valley,TH,9,30
Olympia 35,TH,349,111
Black Lake,TH,200,144
Scheller,TH,69,63
Olympia 30,TH,160,56
Olympia 31,TH,152,57
Sunwood Lakes,TH,251,156
Lydia Hawk,TH,287,160
Lacey 23,TH,71,41
Olympia 32,TH,199,119
Michigan Hill,TH,91,65
Tumwater 09,TH,123,57
Yelm 4,TH,143,142
Lacey 48,TH,95,75
Zangle,TH,169,70
Fish Trap,TH,151,61
East Olympia,TH,142,104
Munn Lake,TH,93,61
Sunset Beach,TH,224,77
Olympia 27,TH,80,34
Lacey 43,TH,144,140
Lacey 40,TH,190,120
Fristoe,TH,99,86
Lacey 46,TH,383,196
Lacey 47,TH,307,103
Lacey 44,TH,57,48
Hicks,TH,29,15
Salmon Creek,TH,96,68
Lacey 49,TH,107,46
Wards,TH,86,37
South Union,TH,211,129
Boston Harbor,TH,227,65
Olympia 29,TH,209,90
Olympia 28,TH,195,68
Trails End,TH,301,169
Hartwood,TH,327,145
Waddell Creek,TH,132,74
Fleetwood,TH,199,142
Olympia 26,TH,170,61
Olympia 21,TH,266,82
Bald Hills,TH,40,39
Olympia 23,TH,218,66
Violet Prairie,TH,142,160
Lacey 20,TH,66,39
Hawk Acres,TH,122,71
Tumwater 27,TH,170,90
Lacey 21,TH,79,54
Lakeside,TH,89,62
Lacey 22,TH,108,52
Olympia 36,TH,65,34
Glenwood,TH,62,40
Chambers,TH,241,175
Nisqually,TH,112,97
Rich(*),TH,0,0
