Row Label,PrecinctCode,County,Registered Voters,Steve B. Dixon
Total,-1,AD,NULL,2354
Ritzville Ward #1,111,AD,NULL,62
Ritzville Ward #2,112,AD,NULL,68
Ritzville Ward #3,113,AD,NULL,118
Ritzville Ward #4,114,AD,NULL,83
Ritzville Ward #5,115,AD,NULL,94
Ritzville Rural NW,121,AD,NULL,95
Ritzville Rural SE,122,AD,NULL,84
Batum,123,AD,NULL,50
Benge,211,AD,NULL,15
Washtucna City #1,212,AD,NULL,74
Washtucna Rural,221,AD,NULL,42
Ralston,222,AD,NULL,24
Lind #1,311,AD,NULL,127
Hatton City,313,AD,NULL,15
Lind Rural,321,AD,NULL,41
Fairview,322,AD,NULL,21
Schrag,323,AD,NULL,27
Hatton Rural,324,AD,NULL,26
Cunningham,325,AD,NULL,6
Othello City #1,411,AD,NULL,16
Othello City #2,412,AD,NULL,139
Othello City #3,413,AD,NULL,137
Othello City #4,414,AD,NULL,145
Othello City #5,415,AD,NULL,141
Othello City #6,416,AD,NULL,84
Othello Rural #1,511,AD,NULL,65
Othello Rural #2,512,AD,NULL,83
Othello Rural #3,513,AD,NULL,172
Othello Rural #4,514,AD,NULL,114
Othello Rural #5,515,AD,NULL,65
Othello Rural #6,516,AD,NULL,121
