Row Label,PrecinctCode,County,Registered Voters,Repealed,Maintained
Total,-1,AS,NULL,4065,3089
ANATONE,1,AS,NULL,80,57
RURAL ASOTIN,3,AS,NULL,93,71
W ASOTIN,4,AS,NULL,91,73
SWALLOWS NEST,5,AS,NULL,213,216
ASOTIN #1,101,AS,NULL,111,104
ASOTIN #2,102,AS,NULL,130,98
CLARKSTON #1,201,AS,NULL,109,67
CLARKSTON #2,202,AS,NULL,124,108
CLARKSTON #3,203,AS,NULL,121,99
CLARKSTON #4,204,AS,NULL,145,106
CLARKSTON #5,205,AS,NULL,93,64
CLARKSTON #6,206,AS,NULL,120,119
CLARKSTON #7,207,AS,NULL,102,65
CLARKSTON #8,208,AS,NULL,151,76
CLARKSTON HTS #1,301,AS,NULL,190,121
CLARKSTON HTS #2,302,AS,NULL,331,199
CLARKSTON HTS #3,303,AS,NULL,71,49
CLARKSTON HTS #4,304,AS,NULL,159,122
CLARKSTON HTS #5,305,AS,NULL,320,233
CLARKSTON HTS #6,306,AS,NULL,288,196
CLARKSTON HTS #7,307,AS,NULL,185,187
SOUTH CLARKSTON #1,401,AS,NULL,146,107
SOUTH CLARKSTON #2,402,AS,NULL,190,153
WEST CLARKSTON #1,501,AS,NULL,144,137
WEST CLARKSTON #2,502,AS,NULL,152,121
WEST CLARKSTON #3,503,AS,NULL,206,141
