Row Label,PrecinctCode,County,Registered Voters,Repealed,Maintained
Total,-1,CR,NULL,56700,58668
100,100,CR,NULL,254,370
102,102,CR,NULL,189,255
104,104,CR,NULL,246,334
106,106,CR,NULL,218,285
108,108,CR,NULL,240,299
110,110,CR,NULL,247,382
112,112,CR,NULL,28,23
113,113,CR,NULL,182,114
120,120,CR,NULL,287,363
130,130,CR,NULL,248,346
147,147,CR,NULL,242,228
150,150,CR,NULL,179,162
153,153,CR,NULL,186,201
160,160,CR,NULL,193,220
170,170,CR,NULL,231,240
175,175,CR,NULL,204,189
180,180,CR,NULL,243,196
190,190,CR,NULL,267,342
200,200,CR,NULL,262,315
220,220,CR,NULL,218,200
225,225,CR,NULL,318,434
240,240,CR,NULL,309,383
245,245,CR,NULL,268,330
250,250,CR,NULL,334,313
255,255,CR,NULL,261,263
257,257,CR,NULL,269,291
290,290,CR,NULL,282,266
294,294,CR,NULL,191,162
296,296,CR,NULL,214,176
298,298,CR,NULL,166,170
325,325,CR,NULL,217,207
327,327,CR,NULL,304,294
330,330,CR,NULL,275,279
335,335,CR,NULL,215,219
337,337,CR,NULL,248,269
338,338,CR,NULL,277,275
340,340,CR,NULL,261,282
350,350,CR,NULL,234,231
360,360,CR,NULL,271,305
370,370,CR,NULL,199,209
390,390,CR,NULL,336,319
395,395,CR,NULL,96,87
400,400,CR,NULL,161,159
410,410,CR,NULL,317,345
415,415,CR,NULL,217,180
420,420,CR,NULL,250,303
423,423,CR,NULL,204,212
424,424,CR,NULL,293,334
425,425,CR,NULL,171,253
426,426,CR,NULL,323,395
430,430,CR,NULL,203,203
432,432,CR,NULL,181,233
434,434,CR,NULL,189,224
435,435,CR,NULL,204,207
436,436,CR,NULL,155,170
440,440,CR,NULL,294,284
441,441,CR,NULL,250,307
444,444,CR,NULL,352,360
445,445,CR,NULL,334,372
446,446,CR,NULL,234,326
447,447,CR,NULL,275,443
448,448,CR,NULL,295,410
449,449,CR,NULL,352,389
450,450,CR,NULL,276,398
451,451,CR,NULL,263,285
452,452,CR,NULL,230,285
453,453,CR,NULL,228,294
455,455,CR,NULL,215,192
456,456,CR,NULL,350,403
460,460,CR,NULL,363,404
470,470,CR,NULL,332,406
480,480,CR,NULL,360,422
483,483,CR,NULL,385,390
485,485,CR,NULL,215,215
487,487,CR,NULL,141,135
490,490,CR,NULL,212,247
491,491,CR,NULL,14,32
500,500,CR,NULL,326,308
502,502,CR,NULL,268,257
503,503,CR,NULL,189,235
505,505,CR,NULL,358,339
510,510,CR,NULL,218,205
511,511,CR,NULL,18,15
515,515,CR,NULL,336,342
520,520,CR,NULL,179,161
521,521,CR,NULL,10,4
522,522,CR,NULL,123,99
523,523,CR,NULL,10,10
524,524,CR,NULL,47,33
525,525,CR,NULL,202,197
527,527,CR,NULL,253,260
528,528,CR,NULL,320,262
530,530,CR,NULL,147,122
535,535,CR,NULL,433,326
536,536,CR,NULL,192,154
537,537,CR,NULL,124,113
538,538,CR,NULL,149,143
540,540,CR,NULL,342,328
543,543,CR,NULL,299,289
545,545,CR,NULL,201,217
550,550,CR,NULL,371,347
553,553,CR,NULL,244,292
555,555,CR,NULL,333,330
560,560,CR,NULL,278,290
563,563,CR,NULL,312,306
565,565,CR,NULL,214,250
566,566,CR,NULL,203,169
570,570,CR,NULL,307,272
571,571,CR,NULL,281,254
572,572,CR,NULL,337,360
573,573,CR,NULL,324,370
574,574,CR,NULL,12,15
575,575,CR,NULL,87,84
576,576,CR,NULL,4,2
577,577,CR,NULL,389,360
578,578,CR,NULL,30,30
579,579,CR,NULL,11,13
580,580,CR,NULL,203,194
581,581,CR,NULL,151,131
