Row Label,PrecinctCode,County,Registered Voters,Repealed,Maintained
Total,-1,KS,NULL,6153,5594
CLE ELUM 1,1,KS,NULL,90,85
CLE ELUM 2,2,KS,NULL,63,39
CLE ELUM 3,3,KS,NULL,39,25
CLE ELUM 4,4,KS,NULL,147,93
DENMARK,5,KS,NULL,226,234
EAST SANDERS,6,KS,NULL,172,153
EASTON,7,KS,NULL,203,133
ELLENSBURG 1,8,KS,NULL,15,33
ELLENSBURG 2,9,KS,NULL,23,56
ELLENSBURG 4,11,KS,NULL,18,32
ELLENSBURG 5,12,KS,NULL,43,46
ELLENSBURG 6,13,KS,NULL,29,36
ELLENSBURG 7,14,KS,NULL,19,35
ELLENSBURG 8,15,KS,NULL,45,39
ELLENSBURG 9,16,KS,NULL,25,65
ELLENSBURG 10,17,KS,NULL,78,60
ELLENSBURG 11,18,KS,NULL,64,66
ELLENSBURG 12,19,KS,NULL,45,81
ELLENSBURG 13,20,KS,NULL,43,52
ELLENSBURG 14,21,KS,NULL,46,82
ELLENSBURG 15,22,KS,NULL,70,85
ELLENSBURG 16,23,KS,NULL,113,122
ELLENSBURG 17,24,KS,NULL,96,102
ELLENSBURG 18,25,KS,NULL,18,16
ELLENSBURG 19,26,KS,NULL,132,162
ELLENSBURG 20,27,KS,NULL,36,45
ELLENSBURG 21,28,KS,NULL,63,68
ELLENSBURG 22,29,KS,NULL,91,80
ELLENSBURG 23,30,KS,NULL,109,96
ELLENSBURG 24,31,KS,NULL,206,163
HYAK,32,KS,NULL,52,41
KITTITAS 1,33,KS,NULL,84,41
MANASTASH,34,KS,NULL,120,147
MOUNTAIN,35,KS,NULL,68,66
NORTH CENTRAL,36,KS,NULL,128,137
NORTH ELLENSBURG,37,KS,NULL,187,232
PARK,38,KS,NULL,168,170
PEOH POINT,39,KS,NULL,180,136
RIDGEWAY,40,KS,NULL,242,245
ROSLYN 1,41,KS,NULL,96,71
ROSLYN 2,42,KS,NULL,79,66
DRY CREEK,43,KS,NULL,240,151
WESTSIDE,44,KS,NULL,229,161
ROSLYN OUTLYING,45,KS,NULL,27,25
SANDERS,46,KS,NULL,78,58
SOUTH CLE ELUM,47,KS,NULL,100,70
SOUTH ELLENSBURG,48,KS,NULL,187,207
SWAUK,50,KS,NULL,128,67
TEANAWAY,51,KS,NULL,154,145
THORP,52,KS,NULL,172,123
VANTAGE,53,KS,NULL,13,13
FAIRVIEW,54,KS,NULL,102,107
NORTHEAST FAIRVIEW,55,KS,NULL,220,113
THRALL,56,KS,NULL,174,116
DAMMAN,58,KS,NULL,150,167
KACHESS,59,KS,NULL,60,47
KITTITAS 2,60,KS,NULL,95,53
ELLENSBURG 25,61,KS,NULL,174,171
RONALD,62,KS,NULL,79,64
