Row Label,PrecinctCode,County,Registered Voters,Repealed,Maintained
Total,-1,MA,NULL,10229,8942
PICKERING,113,MA,NULL,264,248
HARSTINE,114,MA,NULL,342,405
GRAPEVIEW,115,MA,NULL,358,311
MASON LAKE,116,MA,NULL,237,228
FAIR HARBOR,117,MA,NULL,223,191
ALLYN,118,MA,NULL,496,454
VICTOR,119,MA,NULL,222,189
BELFAIR,120,MA,NULL,266,192
TIGER LAKE,121,MA,NULL,173,135
DEWATTO,122,MA,NULL,346,265
TAHUYA,123,MA,NULL,303,244
SAND HILL,124,MA,NULL,319,253
TRAIL&#39;S END,125,MA,NULL,325,275
TWANOH,126,MA,NULL,185,162
BORDEAUX,205,MA,NULL,48,33
KAMILCHE POINT,207,MA,NULL,122,169
UNION,227,MA,NULL,431,407
SKOKOMISH,228,MA,NULL,55,54
HOOD CANAL,229,MA,NULL,356,279
CUSHMAN,230,MA,NULL,357,265
EELLS,231,MA,NULL,88,115
MATLOCK,232,MA,NULL,283,231
DAYTON,233,MA,NULL,248,180
KAMILCHE,234,MA,NULL,125,112
ISABELLA,235,MA,NULL,190,147
AIRPORT,236,MA,NULL,355,341
JOHN&#39;S PRAIRIE,237,MA,NULL,238,162
LIMERICK,238,MA,NULL,425,330
OLYMPIC VIEW,301,MA,NULL,311,281
DOWNTOWN,302,MA,NULL,215,212
ANGLESIDE,303,MA,NULL,299,232
HILLCREST,304,MA,NULL,176,176
FAWN LAKE,306,MA,NULL,330,278
ARCADIA,308,MA,NULL,308,329
MILL CREEK,309,MA,NULL,334,330
AGATE,310,MA,NULL,286,227
OAKLAND BAY,311,MA,NULL,241,196
TIMBERLAKE,312,MA,NULL,341,291
CALLANAN,339,MA,NULL,8,13
