Row Label,PrecinctCode,County,Registered Voters,Repealed,Maintained
Total,-1,PA,NULL,4275,3264
Baleville,1,PA,NULL,42,31
Bay Center,2,PA,NULL,89,75
Chinook,3,PA,NULL,128,107
Eklund Park,4,PA,NULL,39,33
Frances-Lebam,6,PA,NULL,97,75
Ilwaco 1 Rural(*),7,PA,NULL,0,0
Ilwaco 2 Rural,8,PA,NULL,44,26
Klipsan,9,PA,NULL,178,140
Menlo-Firdale,11,PA,NULL,203,143
Nahcotta,12,PA,NULL,418,303
Naselle,13,PA,NULL,260,209
Nemah,15,PA,NULL,24,14
North Cove,16,PA,NULL,184,125
Pioneer 2,17,PA,NULL,111,93
North River,18,PA,NULL,13,22
Ocean Park 1,19,PA,NULL,117,78
Ocean Park 2,20,PA,NULL,285,200
Oysterville,21,PA,NULL,206,187
Pioneer,22,PA,NULL,131,97
Raymond W2 R,23,PA,NULL,33,22
Raymond W3 R,24,PA,NULL,25,16
Seaview 1,25,PA,NULL,134,151
Seaview 2,26,PA,NULL,19,10
Smith Creek,27,PA,NULL,38,33
South Bend 1 R,28,PA,NULL,26,25
South Bend 3R(*),29,PA,NULL,0,0
South Bend 2R,30,PA,NULL,6,5
South Fork,32,PA,NULL,78,47
Willapa,34,PA,NULL,245,152
Ilwaco City,101,PA,NULL,155,168
Long Beach,103,PA,NULL,285,208
Raymond W1p1,105,PA,NULL,17,11
Raymond W1p2,106,PA,NULL,80,50
Raymond W1p3,107,PA,NULL,100,39
Raymond W2,108,PA,NULL,97,58
Raymond W3,110,PA,NULL,132,108
South Bend 1,113,PA,NULL,99,84
South Bend 2,115,PA,NULL,48,48
South Bend 3,117,PA,NULL,83,69
