Row Label,PrecinctCode,County,Registered Voters,Repealed,Maintained
Total,-1,PI,NULL,101007,100126
02-101,2101,PI,NULL,97,71
02-105,2105,PI,NULL,97,107
02-106,2106,PI,NULL,302,259
02-110,2110,PI,NULL,158,134
02-111,2111,PI,NULL,217,184
02-112,2112,PI,NULL,177,114
02-113,2113,PI,NULL,194,138
02-114,2114,PI,NULL,149,123
02-115,2115,PI,NULL,217,178
02-116,2116,PI,NULL,261,266
02-117,2117,PI,NULL,278,219
02-118,2118,PI,NULL,157,150
02-119,2119,PI,NULL,161,122
02-120,2120,PI,NULL,211,176
02-121,2121,PI,NULL,282,216
02-122,2122,PI,NULL,239,236
02-123,2123,PI,NULL,288,231
02-124,2124,PI,NULL,213,186
02-125,2125,PI,NULL,198,186
02-126,2126,PI,NULL,267,239
02-127,2127,PI,NULL,134,139
02-128,2128,PI,NULL,248,240
02-129,2129,PI,NULL,160,128
02-130,2130,PI,NULL,132,120
02-131,2131,PI,NULL,318,237
02-133,2133,PI,NULL,68,64
02-134,2134,PI,NULL,302,244
02-135,2135,PI,NULL,310,269
02-136,2136,PI,NULL,66,33
02-137,2137,PI,NULL,158,123
02-138,2138,PI,NULL,331,291
02-139,2139,PI,NULL,276,202
02-140,2140,PI,NULL,316,235
02-141,2141,PI,NULL,307,234
02-142,2142,PI,NULL,232,196
02-143,2143,PI,NULL,226,169
02-144,2144,PI,NULL,271,195
02-145,2145,PI,NULL,326,201
02-146,2146,PI,NULL,239,165
02-147,2147,PI,NULL,222,186
02-148,2148,PI,NULL,332,228
02-149,2149,PI,NULL,337,244
02-150,2150,PI,NULL,237,214
02-151,2151,PI,NULL,108,70
02-152,2152,PI,NULL,330,245
02-153,2153,PI,NULL,249,202
02-154,2154,PI,NULL,249,192
02-155,2155,PI,NULL,282,256
02-156,2156,PI,NULL,357,299
02-157,2157,PI,NULL,347,282
02-158,2158,PI,NULL,246,200
02-159,2159,PI,NULL,192,128
25-201,25201,PI,NULL,348,286
25-202,25202,PI,NULL,269,228
25-203,25203,PI,NULL,292,294
25-204,25204,PI,NULL,261,233
25-205,25205,PI,NULL,276,264
25-206,25206,PI,NULL,176,169
25-208,25208,PI,NULL,356,319
25-209,25209,PI,NULL,288,316
25-210,25210,PI,NULL,322,408
25-211,25211,PI,NULL,276,236
25-212,25212,PI,NULL,282,292
25-213,25213,PI,NULL,308,347
25-215,25215,PI,NULL,292,245
25-216,25216,PI,NULL,162,210
25-217,25217,PI,NULL,302,315
25-218,25218,PI,NULL,265,320
25-219,25219,PI,NULL,301,346
25-220(*),25220,PI,NULL,0,0
25-221,25221,PI,NULL,261,268
25-222,25222,PI,NULL,210,171
25-226,25226,PI,NULL,193,174
25-227,25227,PI,NULL,150,134
25-228,25228,PI,NULL,258,225
25-230,25230,PI,NULL,73,66
25-235,25235,PI,NULL,13,4
25-236,25236,PI,NULL,238,159
25-237(*),25237,PI,NULL,0,0
25-238,25238,PI,NULL,177,108
25-239,25239,PI,NULL,281,298
25-240,25240,PI,NULL,140,83
25-241,25241,PI,NULL,156,100
25-242,25242,PI,NULL,284,333
25-243,25243,PI,NULL,248,204
25-244,25244,PI,NULL,351,328
25-245(*),25245,PI,NULL,0,0
25-246,25246,PI,NULL,29,21
25-247,25247,PI,NULL,268,200
25-248,25248,PI,NULL,380,286
25-249,25249,PI,NULL,275,288
25-250,25250,PI,NULL,108,123
25-251,25251,PI,NULL,269,234
25-252,25252,PI,NULL,255,216
25-253,25253,PI,NULL,202,157
25-254,25254,PI,NULL,153,133
25-255,25255,PI,NULL,186,151
25-256,25256,PI,NULL,267,221
25-257,25257,PI,NULL,245,241
25-258,25258,PI,NULL,302,284
25-259,25259,PI,NULL,295,256
25-260,25260,PI,NULL,277,298
25-261,25261,PI,NULL,229,175
25-262,25262,PI,NULL,289,257
25-263,25263,PI,NULL,268,209
25-264,25264,PI,NULL,329,253
25-265,25265,PI,NULL,333,215
25-266,25266,PI,NULL,294,315
25-267,25267,PI,NULL,127,145
25-268,25268,PI,NULL,156,132
25-269,25269,PI,NULL,202,163
25-270,25270,PI,NULL,269,292
