Row Label,PrecinctCode,County,Registered Voters,Repealed,Maintained
Total,-1,SK,NULL,17872,18230
ALDER,101,SK,NULL,144,78
ALGER,102,SK,NULL,149,120
ALLEN,103,SK,NULL,91,94
DUNBAR,104,SK,NULL,46,36
AVON,105,SK,NULL,167,180
SAUK,107,SK,NULL,212,180
BAY VIEW,108,SK,NULL,152,196
BELFAST,109,SK,NULL,113,106
BIG LAKE,110,SK,NULL,248,277
BIRDSVIEW,111,SK,NULL,252,167
BOW,113,SK,NULL,242,282
CASCADE,114,SK,NULL,47,33
CEDARDALE,115,SK,NULL,82,52
CLEAR LAKE,116,SK,NULL,231,171
COUNTRY CLUB,117,SK,NULL,89,79
CONWAY,118,SK,NULL,82,89
DEWEY,119,SK,NULL,309,391
DIGBY,120,SK,NULL,21,15
DODGE VALLEY,121,SK,NULL,79,89
EDISON,122,SK,NULL,125,129
FIR,124,SK,NULL,75,97
FRUITDALE,125,SK,NULL,115,74
GEAR,126,SK,NULL,226,200
GUEMES,127,SK,NULL,128,222
HAMBURG,128,SK,NULL,66,103
HARMONY,129,SK,NULL,113,140
LAKE SIXTEEN,130,SK,NULL,86,107
LOOKOUT,132,SK,NULL,246,228
MANSFORD,133,SK,NULL,38,30
MAPES,134,SK,NULL,58,82
MARCH POINT,135,SK,NULL,19,9
MCMURRAY WEST,136,SK,NULL,109,81
MCRAE,137,SK,NULL,319,281
MCMURRAY EAST,138,SK,NULL,43,50
MINKLER,139,SK,NULL,167,108
MONTBORNE,140,SK,NULL,245,272
NOOKACHAMPS,141,SK,NULL,133,95
SKYRIDGE,144,SK,NULL,171,197
PRAIRIE,145,SK,NULL,221,186
POINT WILLIAMS,146,SK,NULL,143,172
RIDGEWAY,147,SK,NULL,133,138
ROCKPORT,148,SK,NULL,189,146
SHELTER BAY,149,SK,NULL,222,249
SNEE OOSH,150,SK,NULL,127,210
STERLING,151,SK,NULL,69,48
SWINOMISH,153,SK,NULL,199,223
TINGLEY,154,SK,NULL,133,91
VAN FLEET,155,SK,NULL,184,157
VEDERE,156,SK,NULL,126,142
WHITNEY,157,SK,NULL,67,85
ROSARIO,158,SK,NULL,280,314
TERRACE,159,SK,NULL,308,307
STARBIRD,160,SK,NULL,195,162
FIDALGO,164,SK,NULL,236,288
GAGES,165,SK,NULL,49,44
SAMISH,166,SK,NULL,154,131
COLLINS,167,SK,NULL,115,129
BLANCHARD(*),168,SK,NULL,0,0
VIEW TERRACE(*),170,SK,NULL,0,0
LAKE CAVANAUGH,171,SK,NULL,69,59
LITTLE MOUNTAIN,172,SK,NULL,86,111
RIVERBEND,173,SK,NULL,12,6
PADILLA,174,SK,NULL,48,53
FREDONIA,176,SK,NULL,36,38
ANACORTES  1,201,SK,NULL,162,184
ANACORTES  4,204,SK,NULL,125,140
ANACORTES 5,205,SK,NULL,5,6
ANACORTES  6,206,SK,NULL,165,217
ANACORTES  7,207,SK,NULL,337,423
ANACORTES  9,209,SK,NULL,197,237
ANACORTES 11,211,SK,NULL,269,272
ANACORTES 17,217,SK,NULL,311,391
ANACORTES 20,220,SK,NULL,319,342
ANACORTES 21,221,SK,NULL,346,502
ANACORTES 22,222,SK,NULL,273,310
ANACORTES 24,224,SK,NULL,441,489
MOUNT VERNON  1,301,SK,NULL,80,75
MOUNT VERNON  2,302,SK,NULL,95,80
MOUNT VERNON  3,303,SK,NULL,163,187
MOUNT VERNON  4,304,SK,NULL,302,237
MOUNT VERNON  5,305,SK,NULL,57,49
MOUNT VERNON  6,306,SK,NULL,131,170
MOUNT VERNON  7,307,SK,NULL,158,251
MOUNT VERNON  8,308,SK,NULL,357,302
MOUNT VERNON  9,309,SK,NULL,84,114
MOUNT VERNON 10,310,SK,NULL,108,104
MOUNT VERNON 11,311,SK,NULL,167,193
MOUNT VERNON 12,312,SK,NULL,101,78
MOUNT VERNON 14,314,SK,NULL,251,236
MOUNT VERNON 15,315,SK,NULL,128,119
MOUNT VERNON 16,316,SK,NULL,236,301
MOUNT VERNON 19,319,SK,NULL,221,232
MOUNT VERNON 21,321,SK,NULL,349,281
MOUNT VERNON 22,322,SK,NULL,299,410
MOUNT VERNON 27,327,SK,NULL,69,53
MOUNT VERNON 30,330,SK,NULL,250,201
SEDRO WOOLLEY  1,401,SK,NULL,207,185
SEDRO WOOLLEY  2,402,SK,NULL,229,192
SEDRO WOOLLEY  3,403,SK,NULL,151,134
SEDRO WOOLLEY  4,404,SK,NULL,205,181
SEDRO WOOLLEY  5,405,SK,NULL,293,234
SEDRO WOOLLEY  6,406,SK,NULL,202,166
SEDRO WOOLLEY  7,407,SK,NULL,3,3
BURLINGTON 1,501,SK,NULL,99,91
BURLINGTON 2,502,SK,NULL,106,107
BURLINGTON 3,503,SK,NULL,44,46
BURLINGTON 4,504,SK,NULL,154,142
BURLINGTON 5,505,SK,NULL,206,174
BURLINGTON 6,506,SK,NULL,116,90
BURLINGTON 7,507,SK,NULL,117,102
CONCRETE,601,SK,NULL,99,53
HAMILTON,701,SK,NULL,34,24
LA CONNER,801,SK,NULL,169,199
LYMAN,855,SK,NULL,57,45
