Row Label,PrecinctCode,County,Registered Voters,Repealed,Maintained
Total,-1,CM,NULL,11550,13680
PORT ANGELES 101,101,CM,NULL,148,195
PORT ANGELES 102,102,CM,NULL,229,286
PORT ANGELES 103,103,CM,NULL,247,307
PORT ANGELES 104,104,CM,NULL,170,215
PORT ANGELES 105,105,CM,NULL,222,287
PORT ANGELES 106,106,CM,NULL,190,235
PORT ANGELES 107,107,CM,NULL,243,334
PORT ANGELES 108,108,CM,NULL,129,149
PORT ANGELES 109,109,CM,NULL,320,337
PORT ANGELES 110,110,CM,NULL,50,83
PORT ANGELES 111,111,CM,NULL,285,311
PORT ANGELES 112,112,CM,NULL,147,184
PORT ANGELES 113,113,CM,NULL,181,176
AGNEW 201,201,CM,NULL,194,191
BEAVER 204,204,CM,NULL,165,155
BELLEVIEW 205,205,CM,NULL,241,232
BELL HILL 207,207,CM,NULL,199,288
BLACK DIAMOND 208,208,CM,NULL,114,173
BLUE MOUNTAIN 209,209,CM,NULL,201,265
BLUFFS 210,210,CM,NULL,144,125
BLYN 211,211,CM,NULL,175,239
BOGACHIEL 212,212,CM,NULL,86,80
CARLSBORG 214,214,CM,NULL,170,189
CLALLAM BAY 215,215,CM,NULL,104,136
CLARK 216,216,CM,NULL,103,71
CLINE 217,217,CM,NULL,191,288
COYOTE 218,218,CM,NULL,217,306
DEER PARK 220,220,CM,NULL,235,279
DIAMOND POINT 221,221,CM,NULL,241,241
DUNGENESS EAST 222,222,CM,NULL,238,335
DUNGENESS WEST 223,223,CM,NULL,106,158
DRY CREEK 224,224,CM,NULL,192,210
EAGLE 226,226,CM,NULL,175,195
ELK 229,229,CM,NULL,51,71
ELWHA 230,230,CM,NULL,69,74
FAIRVIEW 232,232,CM,NULL,237,263
FRESHWATER BAY 233,233,CM,NULL,276,336
HAPPY VALLEY 237,237,CM,NULL,143,129
JAMESTOWN 240,240,CM,NULL,131,196
JOYCE 241,241,CM,NULL,300,262
LOST MOUNTAIN 245,245,CM,NULL,124,190
MILLER PENINSULA 246,246,CM,NULL,110,171
MACLEAY 247,247,CM,NULL,192,258
MADISON CREEK 248,248,CM,NULL,84,88
MONTERRA 249,249,CM,NULL,183,280
MOUNT ANGELES 250,250,CM,NULL,106,183
MOUNT PLEASANT 251,251,CM,NULL,191,238
NEAH BAY 252,252,CM,NULL,116,84
OBRIEN 253,253,CM,NULL,167,229
OLYMPIC 254,254,CM,NULL,147,194
PORT WILLIAMS 258,258,CM,NULL,128,137
PRAIRIE NORTH 259,259,CM,NULL,215,218
PRAIRIE SOUTH 260,260,CM,NULL,226,214
QUILEUTE 262,262,CM,NULL,87,71
RIVERSIDE 265,265,CM,NULL,218,240
ROBIN HILL 266,266,CM,NULL,176,195
SUN 269,269,CM,NULL,82,68
SUNLAND NORTH 270,270,CM,NULL,194,292
SUNLAND SOUTH 271,271,CM,NULL,157,168
FORKS 301,301,CM,NULL,131,114
FORKS 302,302,CM,NULL,192,168
SEQUIM 401,401,CM,NULL,108,139
SEQUIM 402,402,CM,NULL,126,127
SEQUIM 403,403,CM,NULL,246,227
SEQUIM 404,404,CM,NULL,270,350
SEQUIM 405,405,CM,NULL,156,237
SEQUIM 406,406,CM,NULL,159,214
