Row Label,PrecinctCode,County,Registered Voters,Repealed,Maintained
Total,-1,IS,NULL,12551,15373
C WHIDBEY 01,150,IS,NULL,203,221
C WHIDBEY 02,151,IS,NULL,329,425
C WHIDBEY 03,152,IS,NULL,305,432
COUPEVILLE,153,IS,NULL,304,411
C WHIDBEY 04,154,IS,NULL,338,402
C WHIDBEY 05,155,IS,NULL,277,436
S WHIDBEY 01,160,IS,NULL,319,478
S WHIDBEY 02,161,IS,NULL,295,436
S WHIDBEY 03,162,IS,NULL,349,444
S WHIDBEY 04,163,IS,NULL,223,474
S WHIDBEY 05,164,IS,NULL,337,455
S WHIDBEY 06,165,IS,NULL,271,433
LANGLEY,166,IS,NULL,158,348
S WHIDBEY 07,167,IS,NULL,286,432
S WHIDBEY 08,168,IS,NULL,221,408
S WHIDBEY 09,169,IS,NULL,326,417
S WHIDBEY 10,170,IS,NULL,268,460
OAK HARBOR 01,201,IS,NULL,289,276
OAK HARBOR 02,202,IS,NULL,226,208
OAK HARBOR 03,203,IS,NULL,245,300
OAK HARBOR 04,204,IS,NULL,292,266
OAK HARBOR 05,205,IS,NULL,288,292
OAK HARBOR 06,206,IS,NULL,244,238
OAK HARBOR 07,207,IS,NULL,286,289
OAK HARBOR 08,208,IS,NULL,255,234
OAK HARBOR 09,209,IS,NULL,75,64
N WHIDBEY 06,251,IS,NULL,172,195
N WHIDBEY 07,252,IS,NULL,229,267
N WHIDBEY 08,253,IS,NULL,161,253
N WHIDBEY 09,254,IS,NULL,183,210
N WHIDBEY 10,255,IS,NULL,95,73
N WHIDBEY 11,256,IS,NULL,43,61
CAMANO 01,301,IS,NULL,224,293
CAMANO 02,302,IS,NULL,316,336
CAMANO 03,303,IS,NULL,282,377
CAMANO 04,304,IS,NULL,357,508
CAMANO 05,305,IS,NULL,366,343
CAMANO 06,306,IS,NULL,319,355
CAMANO 07,307,IS,NULL,252,320
CAMANO 08,308,IS,NULL,234,200
CAMANO 09,309,IS,NULL,315,321
CAMANO 10,310,IS,NULL,217,257
CAMANO 11,311,IS,NULL,279,348
N WHIDBEY 01,351,IS,NULL,346,327
N WHIDBEY 02,352,IS,NULL,311,311
N WHIDBEY 03,353,IS,NULL,269,214
N WHIDBEY 04,354,IS,NULL,384,346
N WHIDBEY 05,355,IS,NULL,188,179
