Row Label,PrecinctCode,County,Registered Voters,Repealed,Maintained
Total,-1,KI,NULL,32325,44602
Total,-1,KI,NULL,32325,44602
BREMERTON 001,100001,KP,NULL,89,139
BREMERTON 002,100002,KP,NULL,93,89
BREMERTON 003,100003,KP,NULL,184,194
BREMERTON 005,100005,KP,NULL,119,149
BREMERTON 006,100006,KP,NULL,119,140
BREMERTON 007,100007,KP,NULL,2,8
BREMERTON 012,100012,KP,NULL,34,62
BREMERTON 013,100013,KP,NULL,171,181
BREMERTON 015,100015,KP,NULL,221,209
BREMERTON 016,100016,KP,NULL,44,54
BREMERTON 022,100022,KP,NULL,150,154
BREMERTON 029,100029,KP,NULL,156,208
BREMERTON 030,100030,KP,NULL,157,211
BREMERTON 031,100031,KP,NULL,78,135
BREMERTON 032,100032,KP,NULL,43,16
BREMERTON 037,100037,KP,NULL,226,314
BREMERTON 040,100040,KP,NULL,161,211
BREMERTON 041,100041,KP,NULL,143,188
BREMERTON 046,100046,KP,NULL,189,214
BREMERTON 051,100051,KP,NULL,24,19
BREMERTON 052,100052,KP,NULL,139,153
BREMERTON 053,100053,KP,NULL,247,292
BREMERTON 054,100054,KP,NULL,110,120
BREMERTON 056,100056,KP,NULL,197,169
BREMERTON 058,100058,KP,NULL,189,229
ILLAHEE 065,100065,KP,NULL,225,285
SYLVAN 066,100066,KP,NULL,192,235
RAINIER 067,100067,KP,NULL,225,285
PERRY 073,100073,KP,NULL,123,145
UELAND 082,100082,KP,NULL,0,0
ROCKY POINT 083,100083,KP,NULL,236,337
RIDGEWAY 084,100084,KP,NULL,68,58
KITSAP LAKE 085(*),100085,KP,NULL,0,0
POWERLINE 086(*),100086,KP,NULL,0,0
BAYVIEW 087,100087,KP,NULL,65,59
BREMERTON 088,100088,KP,NULL,39,34
MARION 090,100090,KP,NULL,39,47
NAVY YARD CITY 095,100095,KP,NULL,203,216
OLYMPIC 099,100099,KP,NULL,15,37
TRIDENT 101,100101,KP,NULL,56,49
FRONTIER 102,100102,KP,NULL,224,302
OLYMPIC VIEW 103,100103,KP,NULL,122,241
BROWNSVILLE 105,100105,KP,NULL,246,367
OLD FRONTIER 106,100106,KP,NULL,239,305
BREMERTON 107,100107,KP,NULL,0,0
BREMERTON 109,100109,KP,NULL,24,16
CHARLAND 110,100110,KP,NULL,159,193
ALPINE 111,100111,KP,NULL,175,214
HERITAGE PARK 112,100112,KP,NULL,123,222
COUNTRY CLUB 113,100113,KP,NULL,149,126
BREMERTON 114,100114,KP,NULL,0,0
CLEAR CREEK 120,100120,KP,NULL,181,243
BUCKLIN 121,100121,KP,NULL,216,268
LUOTO 122,100122,KP,NULL,131,141
COTTONWOOD 125,100125,KP,NULL,202,193
FOREST RIDGE 126,100126,KP,NULL,114,157
WOODMERE 127,100127,KP,NULL,240,292
CENTRAL VALLEY 128,100128,KP,NULL,247,257
WINSTON 129,100129,KP,NULL,84,111
ERLANDS POINT 130,100130,KP,NULL,139,188
REGAL 131,100131,KP,NULL,62,63
FAIRVIEW 135,100135,KP,NULL,111,168
FIRGLADE 137,100137,KP,NULL,148,149
TIBARDIS 139,100139,KP,NULL,107,107
GILBERTON 140,100140,KP,NULL,169,227
RIDGEPOINT 141,100141,KP,NULL,141,201
UNIVERSITY POINT 142,100142,KP,NULL,140,173
KARIOTIS 143,100143,KP,NULL,225,235
CAMBRIDGE 144,100144,KP,NULL,150,162
SPINNAKER 146,100146,KP,NULL,137,168
BARKER CREEK 147,100147,KP,NULL,224,313
SANTA FE 148,100148,KP,NULL,169,214
RIDGETOP 149,100149,KP,NULL,162,184
MEADOWDALE 150,100150,KP,NULL,170,184
SYMINGTON 151,100151,KP,NULL,114,147
PIONEER 152,100152,KP,NULL,222,363
LARSON 153,100153,KP,NULL,248,339
SEABECK 155,100155,KP,NULL,330,337
LOST HIGHWAY 157,100157,KP,NULL,258,239
HOLLY 158,100158,KP,NULL,54,72
BREMERTON 159,100159,KP,NULL,141,110
SILVERDALE 160,100160,KP,NULL,223,262
MORKEN 161,100161,KP,NULL,293,333
APEX 162,100162,KP,NULL,229,331
ANDERSON CREEK 163,100163,KP,NULL,162,234
EAGLE CREST 164,100164,KP,NULL,219,339
SUTTON 165,100165,KP,NULL,148,155
TRACYTON 170,100170,KP,NULL,154,169
VENA 173,100173,KP,NULL,161,246
FUSON 175,100175,KP,NULL,240,190
PORT ORCHARD 200,100200,KP,NULL,115,107
PORT ORCHARD 201,100201,KP,NULL,198,185
PORT ORCHARD 202,100202,KP,NULL,235,264
PORT ORCHARD 203,100203,KP,NULL,126,99
PORT ORCHARD 204,100204,KP,NULL,188,185
PORT ORCHARD 205,100205,KP,NULL,366,556
PORT ORCHARD 206,100206,KP,NULL,0,0
PORT ORCHARD 207,100207,KP,NULL,198,198
PORT ORCHARD 208,100208,KP,NULL,0,0
PORT ORCHARD 209,100209,KP,NULL,0,0
PORT ORCHARD 210,100210,KP,NULL,137,159
CEDAR 211,100211,KP,NULL,232,194
ANNAPOLIS 212,100212,KP,NULL,294,323
BRASCH 213,100213,KP,NULL,228,263
LAKE HELENA 214,100214,KP,NULL,216,216
PORT ORCHARD 215,100215,KP,NULL,0,0
MINTERBROOK 216,100216,KP,NULL,103,126
SPRING CREEK 217,100217,KP,NULL,144,204
BURLEY 218,100218,KP,NULL,228,288
HUNTER 219,100219,KP,NULL,208,206
ALASKA 221,100221,KP,NULL,250,314
WOODRIDGE 222,100222,KP,NULL,145,131
NEBRASKA 223,100223,KP,NULL,213,234
WHISPERING PINES 227,100227,KP,NULL,280,220
FERNWOOD 230,100230,KP,NULL,263,312
GLENWOOD 232,100232,KP,NULL,293,302
HARPER 240,100240,KP,NULL,150,267
YUKON 241,100241,KP,NULL,182,174
WILSON CREEK 242,100242,KP,NULL,177,240
LONG LAKE 245,100245,KP,NULL,155,178
LOCKER 246,100246,KP,NULL,302,325
EBBERT 247,100247,KP,NULL,236,283
LUNDBERG 250,100250,KP,NULL,232,234
CONVERSE 252,100252,KP,NULL,213,197
MANCHESTER 255,100255,KP,NULL,132,248
EVERGREEN 257,100257,KP,NULL,303,349
WILLOCK 258,100258,KP,NULL,180,225
