Row Label,PrecinctCode,County,Registered Voters,Repealed,Maintained
Total,-1,LE,NULL,11965,10034
Adna ,1,LE,NULL,328,252
Agate,2,LE,NULL,91,87
Alpha,3,LE,NULL,255,195
Berwick,4,LE,NULL,238,240
Big Bottom,5,LE,NULL,221,153
Boistfort,6,LE,NULL,73,46
Cinebar,7,LE,NULL,207,98
Claquato,8,LE,NULL,165,169
Cowlitz,9,LE,NULL,316,227
Crego,10,LE,NULL,361,387
Curtis,11,LE,NULL,78,46
Drews Prairie,12,LE,NULL,105,68
Dryad,13,LE,NULL,43,69
Elk Crk,14,LE,NULL,78,41
Emery,15,LE,NULL,114,87
Emery North(*),16,LE,NULL,0,0
Ethel,17,LE,NULL,270,191
Evaline East,18,LE,NULL,79,53
Evaline West,19,LE,NULL,106,84
Fair,20,LE,NULL,0,0
Fords Prairie,21,LE,NULL,201,171
Forest,22,LE,NULL,194,178
Greenwood,23,LE,NULL,6,10
Harmony,24,LE,NULL,177,181
Independence,25,LE,NULL,37,38
Jackson,26,LE,NULL,265,174
Jackson North,27,LE,NULL,0,0
Kelly,28,LE,NULL,0,0
Klickitat,29,LE,NULL,124,101
Lincoln Creek,30,LE,NULL,127,147
Logan,31,LE,NULL,161,175
Mauermann,32,LE,NULL,47,35
Mellen(*),33,LE,NULL,0,0
Meskill,34,LE,NULL,36,27
Mineral,35,LE,NULL,126,75
Newaukum,36,LE,NULL,133,164
Onalaska,37,LE,NULL,365,281
Packwood,38,LE,NULL,57,36
Paradise,39,LE,NULL,23,29
Parcuvia,40,LE,NULL,161,119
Prescott,41,LE,NULL,383,307
Randle East,42,LE,NULL,194,139
Randle West,43,LE,NULL,151,99
Roswell,44,LE,NULL,3,7
Salkum,45,LE,NULL,157,116
Salmon Creek,46,LE,NULL,325,256
Salzer,47,LE,NULL,93,68
Sears,48,LE,NULL,115,131
Seminary Hill,49,LE,NULL,88,99
Silver Creek,50,LE,NULL,168,176
Skookumchuck,51,LE,NULL,173,171
Sommerville,52,LE,NULL,28,31
Stearns Creek,53,LE,NULL,82,54
Stillwater East,54,LE,NULL,49,52
Stillwater West,55,LE,NULL,114,66
Temple,56,LE,NULL,184,123
Union,57,LE,NULL,136,118
Urquhart,58,LE,NULL,102,88
Veness,59,LE,NULL,180,136
Verndale,60,LE,NULL,179,155
Whealdon,61,LE,NULL,124,113
Centralia #1,101,LE,NULL,82,68
Centralia #2,102,LE,NULL,182,197
Centralia #3,103,LE,NULL,85,59
Centralia #4,104,LE,NULL,109,120
Centralia #5,105,LE,NULL,78,79
Centralia #6,106,LE,NULL,178,147
Centralia #7,107,LE,NULL,85,73
Centralia #8,108,LE,NULL,105,90
Centralia #9,109,LE,NULL,211,161
Centralia #10,110,LE,NULL,79,52
Centralia #11,111,LE,NULL,206,165
Centralia #12,112,LE,NULL,223,189
Centralia #13,113,LE,NULL,221,218
Chehalis #1,201,LE,NULL,133,114
Chehalis #2,202,LE,NULL,89,88
Chehalis #3,203,LE,NULL,95,101
Chehalis #4,204,LE,NULL,94,93
Chehalis #5,205,LE,NULL,81,76
Chehalis #6,206,LE,NULL,159,155
Chehalis #7,207,LE,NULL,36,22
Chehalis #8,208,LE,NULL,114,134
Chehalis #9,209,LE,NULL,4,10
Morton,300,LE,NULL,164,104
Mossyrock,400,LE,NULL,83,55
Napavine #1,501,LE,NULL,233,194
Napavine #2,502,LE,NULL,0,0
Napavine #3(*),503,LE,NULL,0,0
Napavine #4,504,LE,NULL,0,0
Napavine #5,505,LE,NULL,0,0
Napavine #6,506,LE,NULL,0,0
Pe Ell,600,LE,NULL,96,81
Toledo,700,LE,NULL,109,63
Vader,800,LE,NULL,85,62
Winlock,900,LE,NULL,146,120
