Row Label,PrecinctCode,County,Registered Voters,Repealed,Maintained
Total,-1,WT,NULL,4898,5212
TEKOA IN,31,WT,NULL,123,99
OAKESDALE IN,32,WT,NULL,106,72
FARMINGTON IN,33,WT,NULL,46,32
GARFIELD IN,34,WT,NULL,111,90
COLTON IN,35,WT,NULL,90,82
UNIONTOWN IN,36,WT,NULL,36,59
ALBION IN,37,WT,NULL,93,71
LACROSSE IN,42,WT,NULL,78,58
ENDICOTT IN,43,WT,NULL,79,38
LAMONT IN,44,WT,NULL,15,5
ST JOHN IN,45,WT,NULL,134,82
MALDEN IN,46,WT,NULL,47,11
ROSALIA IN,47,WT,NULL,128,88
TEKOA 101,101,WT,NULL,34,23
OAKESDALE 102,102,WT,NULL,61,39
FARMINGTON 103,103,WT,NULL,22,8
STEPTOE 104,104,WT,NULL,63,43
GARFIELD 105,105,WT,NULL,54,43
PALOUSE RURAL 106,106,WT,NULL,89,99
PALOUSE 107,107,WT,NULL,174,177
COLTON 108,108,WT,NULL,50,51
UNIONTOWN 109,109,WT,NULL,20,39
PULLMAN RURAL 110,110,WT,NULL,194,220
PULLMAN RURAL 111,111,WT,NULL,51,72
ALBION 112,112,WT,NULL,41,60
PULLMAN CITY 113,113,WT,NULL,61,111
PULLMAN CITY 114,114,WT,NULL,12,20
PULLMAN CITY 115,115,WT,NULL,2,8
PULLMAN CITY 116,116,WT,NULL,215,262
PULLMAN CITY 117,117,WT,NULL,65,98
PULLMAN CITY 118,118,WT,NULL,127,214
PULLMAN CITY 119,119,WT,NULL,112,178
PULLMAN CITY 120,120,WT,NULL,261,417
PULLMAN CITY 121,121,WT,NULL,81,96
PULLMAN CITY 122,122,WT,NULL,66,88
PULLMAN CITY 123,123,WT,NULL,108,162
PULLMAN CITY 124,124,WT,NULL,15,17
PULLMAN CITY 125,125,WT,NULL,12,12
PULLMAN CITY 126,126,WT,NULL,8,23
PULLMAN CITY 127,127,WT,NULL,17,25
PULLMAN CITY 128,128,WT,NULL,34,36
PULLMAN CITY 129,129,WT,NULL,35,58
PULLMAN CITY 130,130,WT,NULL,31,53
PULLMAN CITY 131(*),131,WT,NULL,0,0
PULLMAN CITY 132,132,WT,NULL,0,0
PULLMAN CITY 133(*),133,WT,NULL,0,0
PULLMAN CITY 134,134,WT,NULL,15,17
PULLMAN CITY 135,135,WT,NULL,104,171
COLFAX RURAL 136,136,WT,NULL,79,69
COLFAX RURAL 137,137,WT,NULL,136,112
WILCOX 138,138,WT,NULL,69,61
COLFAX CITY 139,139,WT,NULL,147,90
COLFAX CITY 140,140,WT,NULL,119,104
COLFAX CITY 141,141,WT,NULL,99,81
COLFAX CITY 142,142,WT,NULL,173,143
DUSTY 143,143,WT,NULL,33,18
HAY 144,144,WT,NULL,17,9
HOOPER 145,145,WT,NULL,10,5
LACROSSE 146,146,WT,NULL,55,23
ENDICOTT 147,147,WT,NULL,69,38
LAMONT 148,148,WT,NULL,25,17
ST JOHN 149,149,WT,NULL,132,83
MALDEN 150(*),150,WT,NULL,0,0
ROSALIA 151,151,WT,NULL,36,36
THORNTON 152,152,WT,NULL,32,24
PULLMAN 218,218,WT,NULL,142,241
PULLMAN 228,228,WT,NULL,16,18
PULLMAN 234,234,WT,NULL,29,50
PULLMAN 235,235,WT,NULL,149,260
