Row Label,PrecinctCode,County,Registered Voters,Repealed,Maintained
Total,-1,YA,NULL,25939,19184
0001,1,YA,NULL,0,0
0101,101,YA,NULL,96,58
0103,103,YA,NULL,98,68
0104,104,YA,NULL,122,82
0110,110,YA,NULL,122,97
0111,111,YA,NULL,106,117
0113,113,YA,NULL,126,52
0116,116,YA,NULL,192,215
0118,118,YA,NULL,91,55
0120,120,YA,NULL,127,79
0124,124,YA,NULL,60,33
0126,126,YA,NULL,93,59
0127,127,YA,NULL,182,107
0129,129,YA,NULL,120,70
0130,130,YA,NULL,117,119
0131,131,YA,NULL,150,138
0132,132,YA,NULL,131,155
0133,133,YA,NULL,285,277
0134,134,YA,NULL,322,399
0138,138,YA,NULL,277,267
0139,139,YA,NULL,240,224
0140,140,YA,NULL,141,88
0142,142,YA,NULL,295,149
0150,150,YA,NULL,126,84
0153,153,YA,NULL,168,173
0154,154,YA,NULL,215,152
0155,155,YA,NULL,231,168
0156,156,YA,NULL,122,78
0158,158,YA,NULL,126,60
0162,162,YA,NULL,131,98
0163,163,YA,NULL,239,228
0167,167,YA,NULL,244,252
0168,168,YA,NULL,237,249
0169,169,YA,NULL,253,261
0170,170,YA,NULL,167,148
0173,173,YA,NULL,146,139
0175,175,YA,NULL,107,89
0177,177,YA,NULL,285,200
0179,179,YA,NULL,266,175
0180,180,YA,NULL,145,123
0181,181,YA,NULL,288,198
0182,182,YA,NULL,350,304
0183,183,YA,NULL,191,199
0184,184,YA,NULL,194,125
0185,185,YA,NULL,214,247
0186,186,YA,NULL,316,208
0187,187,YA,NULL,203,207
0188,188,YA,NULL,264,257
0189,189,YA,NULL,155,149
0190,190,YA,NULL,138,108
0301,301,YA,NULL,41,33
0302,302,YA,NULL,142,100
0303,303,YA,NULL,147,77
0304,304,YA,NULL,66,47
0305,305,YA,NULL,7,7
0306,306,YA,NULL,218,121
0307,307,YA,NULL,10,10
0308,308,YA,NULL,0,0
0501,501,YA,NULL,153,85
0701,701,YA,NULL,56,27
0901,901,YA,NULL,89,47
1101,1101,YA,NULL,177,106
1103,1103,YA,NULL,165,119
1301,1301,YA,NULL,120,84
1501,1501,YA,NULL,165,99
1502,1502,YA,NULL,222,183
1503,1503,YA,NULL,194,198
1504,1504,YA,NULL,240,186
1701,1701,YA,NULL,164,68
1702,1702,YA,NULL,13,16
1703,1703,YA,NULL,151,85
1704,1704,YA,NULL,0,0
1705,1705,YA,NULL,194,190
1706,1706,YA,NULL,169,122
1708,1708,YA,NULL,158,64
1901,1901,YA,NULL,90,43
2101,2101,YA,NULL,252,129
2103,2103,YA,NULL,203,105
2301,2301,YA,NULL,154,90
2303,2303,YA,NULL,141,99
2306,2306,YA,NULL,210,131
2501,2501,YA,NULL,175,118
2701,2701,YA,NULL,374,307
3002,3002,YA,NULL,70,27
3004,3004,YA,NULL,11,6
3101,3101,YA,NULL,324,234
3102,3102,YA,NULL,192,112
3103,3103,YA,NULL,141,57
3104,3104,YA,NULL,171,132
3105,3105,YA,NULL,33,14
3106,3106,YA,NULL,194,144
3203,3203,YA,NULL,252,225
3204,3204,YA,NULL,31,23
3205,3205,YA,NULL,295,231
3206,3206,YA,NULL,231,220
3208,3208,YA,NULL,38,23
3301,3301,YA,NULL,179,104
3303,3303,YA,NULL,90,68
3304,3304,YA,NULL,257,136
3305,3305,YA,NULL,221,129
3306,3306,YA,NULL,108,73
3308,3308,YA,NULL,238,131
3309,3309,YA,NULL,151,88
3310,3310,YA,NULL,187,79
3311,3311,YA,NULL,411,264
3313,3313,YA,NULL,80,56
3401,3401,YA,NULL,59,64
3504,3504,YA,NULL,11,4
3601,3601,YA,NULL,21,13
3602,3602,YA,NULL,342,260
3605,3605,YA,NULL,413,259
3701,3701,YA,NULL,177,95
3901,3901,YA,NULL,278,143
3902,3902,YA,NULL,96,53
3903,3903,YA,NULL,423,279
3904,3904,YA,NULL,71,56
3905,3905,YA,NULL,60,52
4001,4001,YA,NULL,83,32
4002,4002,YA,NULL,76,49
4003,4003,YA,NULL,325,181
4005,4005,YA,NULL,135,97
4101,4101,YA,NULL,81,74
4102,4102,YA,NULL,205,172
4104,4104,YA,NULL,165,95
4105,4105,YA,NULL,115,71
4106,4106,YA,NULL,204,118
4108,4108,YA,NULL,130,132
4109,4109,YA,NULL,297,192
4111,4111,YA,NULL,241,191
4112,4112,YA,NULL,312,234
4114,4114,YA,NULL,72,56
4115,4115,YA,NULL,124,84
4303,4303,YA,NULL,87,43
4401,4401,YA,NULL,117,90
4402,4402,YA,NULL,123,108
4501,4501,YA,NULL,70,33
4503,4503,YA,NULL,25,15
4504,4504,YA,NULL,146,132
4601,4601,YA,NULL,72,108
4602,4602,YA,NULL,109,66
4603,4603,YA,NULL,256,180
4604,4604,YA,NULL,89,89
4605,4605,YA,NULL,2,2
4606,4606,YA,NULL,216,148
4608,4608,YA,NULL,69,58
4609,4609,YA,NULL,113,69
4615,4615,YA,NULL,167,119
4616,4616,YA,NULL,84,57
4618,4618,YA,NULL,139,114
4623,4623,YA,NULL,30,7
4624(*),4624,YA,NULL,0,0
