Row Label,PrecinctCode,County,Registered Voters,Terry M Tanner
Total,-1,BE,NULL,34017
Hanford 4,96,BE,NULL,0
Hanford 3,97,BE,NULL,0
Hanford 2,98,BE,NULL,0
Hanford 1,99,BE,NULL,0
450,450,BE,NULL,242
455,455,BE,NULL,189
460,460,BE,NULL,170
465,465,BE,NULL,207
470,470,BE,NULL,162
Carley,1020,BE,NULL,0
Onion,1021,BE,NULL,0
Crow Butte,1022,BE,NULL,23
Horse Heaven,1023,BE,NULL,31
Columbia,1060,BE,NULL,0
Black Rock,1061,BE,NULL,1
Expansion,1090,BE,NULL,0
Salmon,1091,BE,NULL,34
Paterson,1240,BE,NULL,13
Roe,1241,BE,NULL,11
Rattlesnake,1290,BE,NULL,39
Ida,1291,BE,NULL,0
Ridge,1292,BE,NULL,0
Reese,1360,BE,NULL,23
Pearson,1362,BE,NULL,3
Sacagawea,1363,BE,NULL,1
Wheat,1364,BE,NULL,0
Tumble Weed,1365,BE,NULL,34
Cook,1400,BE,NULL,11
Dot,1402,BE,NULL,107
McBee,1403,BE,NULL,1
Weidle,1404,BE,NULL,35
Reata,1406,BE,NULL,166
Elk,1407,BE,NULL,0
Griffin,1408,BE,NULL,4
Goose Ridge,1409,BE,NULL,44
Cone,1412,BE,NULL,128
Vineyard,1413,BE,NULL,0
Sunny,1414,BE,NULL,45
Badger,1420,BE,NULL,150
Chandler,1422,BE,NULL,27
W1 - P645,1645,BE,NULL,48
W1 - P646,1646,BE,NULL,74
W1 - P650,1650,BE,NULL,239
W1 - P651,1651,BE,NULL,42
W1 - P655,1655,BE,NULL,126
W1 - P656,1656,BE,NULL,107
W1 - P657,1657,BE,NULL,166
W1 - P660,1660,BE,NULL,188
W1-P663,1663,BE,NULL,165
W1 - P664,1664,BE,NULL,320
W1 - P665,1665,BE,NULL,262
W1 - P667,1667,BE,NULL,105
W1 - P668,1668,BE,NULL,318
W1 - P669,1669,BE,NULL,134
W1 - P670,1670,BE,NULL,184
W1 - P674,1674,BE,NULL,138
W1 - P675,1675,BE,NULL,92
W1 - P676,1676,BE,NULL,284
W1 - P680,1680,BE,NULL,248
W1 - P681,1681,BE,NULL,193
W1 - P682,1682,BE,NULL,279
W1 - P683,1683,BE,NULL,181
W1 - P685,1685,BE,NULL,255
W1 - P686,1686,BE,NULL,196
W1 - P690,1690,BE,NULL,256
W1 - P691,1691,BE,NULL,38
Buena Vista,2401,BE,NULL,326
Prosser North,2403,BE,NULL,201
South,2404,BE,NULL,148
Riverside,2405,BE,NULL,223
Walnut Grove,2406,BE,NULL,132
Susie,2407,BE,NULL,17
Apricot,2408,BE,NULL,53
Bobbie,2409,BE,NULL,0
W2 - P560,2560,BE,NULL,109
W2 - P565,2565,BE,NULL,93
W2 - P570,2570,BE,NULL,179
W2-P574,2574,BE,NULL,110
W2 - P575,2575,BE,NULL,84
W2 - P580,2580,BE,NULL,124
W2 - P585,2585,BE,NULL,103
W2 - P590,2590,BE,NULL,153
W2 - P595,2595,BE,NULL,145
W2 - P600,2600,BE,NULL,105
W2 - P601,2601,BE,NULL,111
W2 - P605,2605,BE,NULL,143
W2 - P610,2610,BE,NULL,130
W2 - P615,2615,BE,NULL,59
W2 - P620,2620,BE,NULL,139
W2 - P625,2625,BE,NULL,207
W2 - P626,2626,BE,NULL,124
W2 - P630,2630,BE,NULL,191
W2 - P633,2633,BE,NULL,196
W2 - P634,2634,BE,NULL,258
W2 - P635,2635,BE,NULL,245
W2 - P636,2636,BE,NULL,197
W2 - P637,2637,BE,NULL,236
W2 - P638,2638,BE,NULL,234
W2 - P639,2639,BE,NULL,128
W2 - P640,2640,BE,NULL,186
W2 - P641,2641,BE,NULL,135
Benton North,3001,BE,NULL,261
Benton South,3002,BE,NULL,189
Benton East,3003,BE,NULL,0
Legion,3101,BE,NULL,175
Kiona,3102,BE,NULL,277
Roza,3103,BE,NULL,0
Yakima,3104,BE,NULL,3
Demoss,3105,BE,NULL,10
Edgewater,3106,BE,NULL,149
Cherry,3107,BE,NULL,227
W3 - P500,3500,BE,NULL,38
W3 - P505,3505,BE,NULL,146
W3 - P510,3510,BE,NULL,112
W3-P511,3511,BE,NULL,18
W3 - P515,3515,BE,NULL,114
W3-P516,3516,BE,NULL,11
W3 - P520,3520,BE,NULL,82
W3 - P525,3525,BE,NULL,116
W3 - P530,3530,BE,NULL,120
W3 - P535,3535,BE,NULL,93
W3 - P540,3540,BE,NULL,198
W3 - P545,3545,BE,NULL,115
W3 - P550,3550,BE,NULL,202
W3 - P551,3551,BE,NULL,186
W3 - P552,3552,BE,NULL,213
W3 - P553,3553,BE,NULL,190
W3 - P555,3555,BE,NULL,173
W3 - P556,3556,BE,NULL,271
W3 - P557,3557,BE,NULL,231
W3 - P558,3558,BE,NULL,272
W3 - P559,3559,BE,NULL,260
W3 - P560,3560,BE,NULL,97
WR 1,4001,BE,NULL,105
WR 2,4002,BE,NULL,128
WR 3,4003,BE,NULL,108
WR 4,4004,BE,NULL,262
WR 5,4005,BE,NULL,79
WR 6,4006,BE,NULL,240
WR 7,4007,BE,NULL,241
WR 8,4008,BE,NULL,250
WR 9,4009,BE,NULL,157
WR 10,4010,BE,NULL,19
WR 11,4011,BE,NULL,201
WR12,4012,BE,NULL,236
WR13,4013,BE,NULL,157
WR14,4014,BE,NULL,264
WR15,4015,BE,NULL,181
WR 16,4016,BE,NULL,144
WR 17,4017,BE,NULL,150
Enterprise,4101,BE,NULL,121
Harrington,4102,BE,NULL,231
Red Mountain,4103,BE,NULL,176
Cascade,5602,BE,NULL,186
Clements,5603,BE,NULL,37
Finley,5606,BE,NULL,288
Hawthorne,5608,BE,NULL,135
Hedges,5609,BE,NULL,160
Jewel,5613,BE,NULL,27
Kennewick Valley,5615,BE,NULL,200
Umatilla,5619,BE,NULL,89
Vista,5621,BE,NULL,91
Washington,5622,BE,NULL,74
Yellowstone,5623,BE,NULL,108
Oak,5624,BE,NULL,101
Celilo,5625,BE,NULL,228
Randy,5626,BE,NULL,73
El Rancho,5627,BE,NULL,280
