Row Label,PrecinctCode,County,Registered Voters,Jeff Hall,Pat Tucker
Total,-1,BE,NULL,23284,5778
Hanford 4,96,BE,NULL,0,0
Hanford 3,97,BE,NULL,0,0
Hanford 2,98,BE,NULL,0,0
Hanford 1,99,BE,NULL,0,0
450,450,BE,NULL,232,68
455,455,BE,NULL,209,36
460,460,BE,NULL,217,38
465,465,BE,NULL,243,48
470,470,BE,NULL,166,42
Carley(*),1020,BE,NULL,0,0
Onion(*),1021,BE,NULL,0,0
Crow Butte,1022,BE,NULL,19,16
Horse Heaven,1023,BE,NULL,33,4
Columbia(*),1060,BE,NULL,0,0
Black Rock(*),1061,BE,NULL,0,0
Expansion(*),1090,BE,NULL,0,0
Salmon,1091,BE,NULL,34,17
Paterson,1240,BE,NULL,9,12
Roe,1241,BE,NULL,9,6
Rattlesnake,1290,BE,NULL,48,14
Ida,1291,BE,NULL,0,0
Ridge,1292,BE,NULL,0,0
Reese,1360,BE,NULL,29,9
Pearson(*),1362,BE,NULL,0,0
Sacagawea(*),1363,BE,NULL,0,0
Wheat,1364,BE,NULL,0,0
Tumble Weed,1365,BE,NULL,38,9
Cook,1400,BE,NULL,12,3
Dot,1402,BE,NULL,96,30
McBee(*),1403,BE,NULL,0,0
Weidle,1404,BE,NULL,31,10
Reata,1406,BE,NULL,183,28
Elk,1407,BE,NULL,0,0
Griffin(*),1408,BE,NULL,0,0
Goose Ridge,1409,BE,NULL,51,7
Cone,1412,BE,NULL,117,42
Vineyard(*),1413,BE,NULL,0,0
Sunny,1414,BE,NULL,59,3
Badger,1420,BE,NULL,177,37
Chandler,1422,BE,NULL,33,3
W1 - P645,1645,BE,NULL,39,18
W1 - P646,1646,BE,NULL,64,23
W1 - P650,1650,BE,NULL,248,57
W1 - P651,1651,BE,NULL,37,20
W1 - P655,1655,BE,NULL,131,23
W1 - P656,1656,BE,NULL,105,24
W1 - P657,1657,BE,NULL,169,31
W1 - P660,1660,BE,NULL,178,64
W1-P663,1663,BE,NULL,172,34
W1 - P664,1664,BE,NULL,328,70
W1 - P665,1665,BE,NULL,260,42
W1 - P667,1667,BE,NULL,71,49
W1 - P668,1668,BE,NULL,328,60
W1 - P669,1669,BE,NULL,135,30
W1 - P670,1670,BE,NULL,174,46
W1 - P674,1674,BE,NULL,144,36
W1 - P675,1675,BE,NULL,108,14
W1 - P676,1676,BE,NULL,269,73
W1 - P680,1680,BE,NULL,266,57
W1 - P681,1681,BE,NULL,178,43
W1 - P682,1682,BE,NULL,299,70
W1 - P683,1683,BE,NULL,191,39
W1 - P685,1685,BE,NULL,265,62
W1 - P686,1686,BE,NULL,202,57
W1 - P690,1690,BE,NULL,260,70
W1 - P691,1691,BE,NULL,31,7
Buena Vista,2401,BE,NULL,343,86
