Row Label,PrecinctCode,County,Registered Voters,Andy Miller
Total,-1,BE,NULL,35821
Hanford 4,96,BE,NULL,0
Hanford 3,97,BE,NULL,0
Hanford 2,98,BE,NULL,0
Hanford 1,99,BE,NULL,0
450,450,BE,NULL,246
455,455,BE,NULL,199
460,460,BE,NULL,181
465,465,BE,NULL,219
470,470,BE,NULL,167
Carley,1020,BE,NULL,0
Onion,1021,BE,NULL,0
Crow Butte,1022,BE,NULL,22
Horse Heaven,1023,BE,NULL,30
Columbia,1060,BE,NULL,0
Black Rock,1061,BE,NULL,1
Expansion,1090,BE,NULL,2
Salmon,1091,BE,NULL,38
Paterson,1240,BE,NULL,13
Roe,1241,BE,NULL,11
Rattlesnake,1290,BE,NULL,42
Ida,1291,BE,NULL,0
Ridge,1292,BE,NULL,0
Reese,1360,BE,NULL,19
Pearson,1362,BE,NULL,3
Sacagawea,1363,BE,NULL,1
Wheat,1364,BE,NULL,0
Tumble Weed,1365,BE,NULL,32
Cook,1400,BE,NULL,9
Dot,1402,BE,NULL,100
McBee,1403,BE,NULL,2
Weidle,1404,BE,NULL,27
Reata,1406,BE,NULL,186
Elk,1407,BE,NULL,0
Griffin,1408,BE,NULL,4
Goose Ridge,1409,BE,NULL,50
Cone,1412,BE,NULL,114
Vineyard,1413,BE,NULL,0
Sunny,1414,BE,NULL,54
Badger,1420,BE,NULL,140
Chandler,1422,BE,NULL,28
W1 - P645,1645,BE,NULL,58
W1 - P646,1646,BE,NULL,76
W1 - P650,1650,BE,NULL,225
W1 - P651,1651,BE,NULL,45
W1 - P655,1655,BE,NULL,124
W1 - P656,1656,BE,NULL,111
W1 - P657,1657,BE,NULL,171
W1 - P660,1660,BE,NULL,201
W1-P663,1663,BE,NULL,168
W1 - P664,1664,BE,NULL,352
W1 - P665,1665,BE,NULL,276
W1 - P667,1667,BE,NULL,103
W1 - P668,1668,BE,NULL,336
W1 - P669,1669,BE,NULL,149
W1 - P670,1670,BE,NULL,188
W1 - P674,1674,BE,NULL,140
W1 - P675,1675,BE,NULL,85
W1 - P676,1676,BE,NULL,312
W1 - P680,1680,BE,NULL,264
W1 - P681,1681,BE,NULL,194
W1 - P682,1682,BE,NULL,310
W1 - P683,1683,BE,NULL,206
W1 - P685,1685,BE,NULL,291
W1 - P686,1686,BE,NULL,222
W1 - P690,1690,BE,NULL,286
W1 - P691,1691,BE,NULL,30
Buena Vista,2401,BE,NULL,329
Prosser North,2403,BE,NULL,202
South,2404,BE,NULL,154
Riverside,2405,BE,NULL,221
Walnut Grove,2406,BE,NULL,145
Susie,2407,BE,NULL,20
Apricot,2408,BE,NULL,58
Bobbie,2409,BE,NULL,0
W2 - P560,2560,BE,NULL,121
W2 - P565,2565,BE,NULL,93
W2 - P570,2570,BE,NULL,187
W2-P574,2574,BE,NULL,119
W2 - P575,2575,BE,NULL,92
W2 - P580,2580,BE,NULL,141
W2 - P585,2585,BE,NULL,107
W2 - P590,2590,BE,NULL,149
W2 - P595,2595,BE,NULL,152
W2 - P600,2600,BE,NULL,107
W2 - P601,2601,BE,NULL,113
W2 - P605,2605,BE,NULL,151
W2 - P610,2610,BE,NULL,153
W2 - P615,2615,BE,NULL,60
W2 - P620,2620,BE,NULL,142
W2 - P625,2625,BE,NULL,233
W2 - P626,2626,BE,NULL,117
W2 - P630,2630,BE,NULL,203
W2 - P633,2633,BE,NULL,212
W2 - P634,2634,BE,NULL,294
W2 - P635,2635,BE,NULL,247
W2 - P636,2636,BE,NULL,219
W2 - P637,2637,BE,NULL,249
W2 - P638,2638,BE,NULL,229
W2 - P639,2639,BE,NULL,129
W2 - P640,2640,BE,NULL,191
W2 - P641,2641,BE,NULL,142
Benton North,3001,BE,NULL,263
Benton South,3002,BE,NULL,188
Benton East,3003,BE,NULL,0
Legion,3101,BE,NULL,191
Kiona,3102,BE,NULL,280
Roza,3103,BE,NULL,0
Yakima,3104,BE,NULL,3
Demoss,3105,BE,NULL,14
Edgewater,3106,BE,NULL,156
Cherry,3107,BE,NULL,234
W3 - P500,3500,BE,NULL,46
W3 - P505,3505,BE,NULL,143
W3 - P510,3510,BE,NULL,106
W3-P511,3511,BE,NULL,19
W3 - P515,3515,BE,NULL,127
W3-P516,3516,BE,NULL,11
W3 - P520,3520,BE,NULL,79
W3 - P525,3525,BE,NULL,129
W3 - P530,3530,BE,NULL,121
W3 - P535,3535,BE,NULL,95
W3 - P540,3540,BE,NULL,212
W3 - P545,3545,BE,NULL,117
W3 - P550,3550,BE,NULL,210
W3 - P551,3551,BE,NULL,201
W3 - P552,3552,BE,NULL,212
W3 - P553,3553,BE,NULL,197
W3 - P555,3555,BE,NULL,179
W3 - P556,3556,BE,NULL,284
W3 - P557,3557,BE,NULL,235
W3 - P558,3558,BE,NULL,247
W3 - P559,3559,BE,NULL,258
W3 - P560,3560,BE,NULL,115
WR 1,4001,BE,NULL,113
WR 2,4002,BE,NULL,135
WR 3,4003,BE,NULL,93
WR 4,4004,BE,NULL,265
WR 5,4005,BE,NULL,82
WR 6,4006,BE,NULL,267
WR 7,4007,BE,NULL,251
WR 8,4008,BE,NULL,277
WR 9,4009,BE,NULL,158
WR 10,4010,BE,NULL,14
WR 11,4011,BE,NULL,209
WR12,4012,BE,NULL,228
WR13,4013,BE,NULL,160
WR14,4014,BE,NULL,276
WR15,4015,BE,NULL,188
WR 16,4016,BE,NULL,147
WR 17,4017,BE,NULL,149
Enterprise,4101,BE,NULL,144
Harrington,4102,BE,NULL,242
Red Mountain,4103,BE,NULL,174
Cascade,5602,BE,NULL,186
Clements,5603,BE,NULL,49
Finley,5606,BE,NULL,294
Hawthorne,5608,BE,NULL,134
Hedges,5609,BE,NULL,147
Jewel,5613,BE,NULL,27
Kennewick Valley,5615,BE,NULL,198
Umatilla,5619,BE,NULL,92
Vista,5621,BE,NULL,93
Washington,5622,BE,NULL,75
Yellowstone,5623,BE,NULL,117
Oak,5624,BE,NULL,107
Celilo,5625,BE,NULL,224
Randy,5626,BE,NULL,86
El Rancho,5627,BE,NULL,287
Mills,5628,BE,NULL,255
Ivey,5629,BE,NULL,148
Canyon,5630,BE,NULL,195
Miller,5631,BE,NULL,0
Candy,5632,BE,NULL,5
French,5633,BE,NULL,24
Shockley,5634,BE,NULL,4
Liberty,5635,BE,NULL,9
Gage,5636,BE,NULL,5
