Row Label,PrecinctCode,County,Registered Voters,Keith W. Goehner,Chuck Slowe
Total,-1,CH,NULL,14049,3865
100,100,CH,NULL,5,2
110,110,CH,NULL,206,52
111,111,CH,NULL,48,17
112,112,CH,NULL,14,5
113,113,CH,NULL,35,11
114,114,CH,NULL,251,72
115,115,CH,NULL,30,3
116,116,CH,NULL,96,23
120,120,CH,NULL,192,44
121,121,CH,NULL,201,42
122,122,CH,NULL,108,20
123,123,CH,NULL,33,3
124,124,CH,NULL,48,13
125,125,CH,NULL,400,66
126,126,CH,NULL,51,22
127,127,CH,NULL,95,28
128,128,CH,NULL,47,5
129,129,CH,NULL,153,28
131,131,CH,NULL,34,11
132,132,CH,NULL,22,7
133,133,CH,NULL,266,36
134,134,CH,NULL,372,113
135,135,CH,NULL,357,99
136,136,CH,NULL,4,2
140,140,CH,NULL,81,35
141,141,CH,NULL,8,2
142,142,CH,NULL,23,6
143,143,CH,NULL,6,3
144,144,CH,NULL,19,2
145,145,CH,NULL,17,4
146,146,CH,NULL,59,23
147,147,CH,NULL,300,99
148,148,CH,NULL,128,45
149,149,CH,NULL,175,35
150,150,CH,NULL,27,18
151(*),151,CH,NULL,0,0
152,152,CH,NULL,3,3
153,153,CH,NULL,459,120
154,154,CH,NULL,403,91
155,155,CH,NULL,141,53
156,156,CH,NULL,40,14
157,157,CH,NULL,330,86
158,158,CH,NULL,149,56
159(*),159,CH,NULL,0,0
161,161,CH,NULL,15,11
162,162,CH,NULL,22,5
163,163,CH,NULL,13,6
164,164,CH,NULL,125,41
165,165,CH,NULL,65,36
171,171,CH,NULL,4,6
172,172,CH,NULL,11,2
173,173,CH,NULL,13,2
174,174,CH,NULL,179,77
175,175,CH,NULL,331,99
181,181,CH,NULL,246,69
182,182,CH,NULL,209,64
183,183,CH,NULL,124,35
190,190,CH,NULL,22,8
210,210,CH,NULL,223,56
220,220,CH,NULL,272,62
310,310,CH,NULL,148,38
320,320,CH,NULL,237,45
330,330,CH,NULL,208,67
410,410,CH,NULL,292,59
420,420,CH,NULL,314,67
430,430,CH,NULL,410,81
440,440,CH,NULL,415,108
450,450,CH,NULL,347,93
460,460,CH,NULL,300,93
480,480,CH,NULL,334,118
490,490,CH,NULL,533,134
510,510,CH,NULL,169,64
520,520,CH,NULL,524,107
530,530,CH,NULL,341,107
540,540,CH,NULL,289,84
560,560,CH,NULL,302,95
580,580,CH,NULL,244,64
590,590,CH,NULL,320,94
610,610,CH,NULL,203,83
710,710,CH,NULL,201,60
720,720,CH,NULL,286,86
730,730,CH,NULL,278,114
1149,1149,CH,NULL,29,3
1150(*),1150,CH,NULL,0,0
1151(*),1151,CH,NULL,0,0
