Row Label,PrecinctCode,County,Registered Voters,Roy S. Fore
Total,-1,CH,NULL,13234
100,100,CH,NULL,6
110,110,CH,NULL,158
111,111,CH,NULL,53
112,112,CH,NULL,16
113,113,CH,NULL,37
114,114,CH,NULL,211
115,115,CH,NULL,17
116,116,CH,NULL,77
120,120,CH,NULL,143
121,121,CH,NULL,144
122,122,CH,NULL,83
123,123,CH,NULL,22
124,124,CH,NULL,34
125,125,CH,NULL,308
126,126,CH,NULL,40
127,127,CH,NULL,65
128,128,CH,NULL,32
129,129,CH,NULL,111
131,131,CH,NULL,31
132,132,CH,NULL,20
133,133,CH,NULL,189
134,134,CH,NULL,299
135,135,CH,NULL,308
136,136,CH,NULL,4
140,140,CH,NULL,103
141,141,CH,NULL,6
142,142,CH,NULL,26
143,143,CH,NULL,3
144,144,CH,NULL,17
145,145,CH,NULL,17
146,146,CH,NULL,56
147,147,CH,NULL,294
148,148,CH,NULL,129
149,149,CH,NULL,151
150,150,CH,NULL,32
151,151,CH,NULL,3
152,152,CH,NULL,4
153,153,CH,NULL,432
154,154,CH,NULL,368
155,155,CH,NULL,137
156,156,CH,NULL,38
157,157,CH,NULL,290
158,158,CH,NULL,144
159,159,CH,NULL,5
161,161,CH,NULL,21
162,162,CH,NULL,21
163,163,CH,NULL,16
164,164,CH,NULL,104
165,165,CH,NULL,73
171,171,CH,NULL,8
172,172,CH,NULL,10
173,173,CH,NULL,10
174,174,CH,NULL,209
175,175,CH,NULL,358
181,181,CH,NULL,265
182,182,CH,NULL,226
183,183,CH,NULL,124
190,190,CH,NULL,19
210,210,CH,NULL,197
220,220,CH,NULL,229
310,310,CH,NULL,124
320,320,CH,NULL,178
330,330,CH,NULL,209
410,410,CH,NULL,244
420,420,CH,NULL,287
430,430,CH,NULL,355
440,440,CH,NULL,407
450,450,CH,NULL,351
460,460,CH,NULL,341
480,480,CH,NULL,342
490,490,CH,NULL,514
510,510,CH,NULL,193
520,520,CH,NULL,488
530,530,CH,NULL,378
540,540,CH,NULL,291
560,560,CH,NULL,335
580,580,CH,NULL,230
590,590,CH,NULL,305
610,610,CH,NULL,217
710,710,CH,NULL,219
720,720,CH,NULL,290
730,730,CH,NULL,347
1149,1149,CH,NULL,28
1150,1150,CH,NULL,6
1151,1151,CH,NULL,2
