Row Label,PrecinctCode,County,Registered Voters,Douglas J. Shae
Total,-1,CH,NULL,14720
100,100,CH,NULL,6
110,110,CH,NULL,185
111,111,CH,NULL,57
112,112,CH,NULL,17
113,113,CH,NULL,34
114,114,CH,NULL,236
115,115,CH,NULL,23
116,116,CH,NULL,86
120,120,CH,NULL,180
121,121,CH,NULL,174
122,122,CH,NULL,100
123,123,CH,NULL,24
124,124,CH,NULL,39
125,125,CH,NULL,345
126,126,CH,NULL,46
127,127,CH,NULL,73
128,128,CH,NULL,41
129,129,CH,NULL,127
131,131,CH,NULL,37
132,132,CH,NULL,24
133,133,CH,NULL,222
134,134,CH,NULL,345
135,135,CH,NULL,337
136,136,CH,NULL,4
140,140,CH,NULL,104
141,141,CH,NULL,7
142,142,CH,NULL,29
143,143,CH,NULL,2
144,144,CH,NULL,19
145,145,CH,NULL,18
146,146,CH,NULL,69
147,147,CH,NULL,336
148,148,CH,NULL,144
149,149,CH,NULL,168
150,150,CH,NULL,36
151,151,CH,NULL,3
152,152,CH,NULL,3
153,153,CH,NULL,484
154,154,CH,NULL,418
155,155,CH,NULL,151
156,156,CH,NULL,42
157,157,CH,NULL,336
158,158,CH,NULL,159
159,159,CH,NULL,7
161,161,CH,NULL,25
162,162,CH,NULL,21
163,163,CH,NULL,18
164,164,CH,NULL,118
165,165,CH,NULL,82
171,171,CH,NULL,8
172,172,CH,NULL,12
173,173,CH,NULL,13
174,174,CH,NULL,233
175,175,CH,NULL,396
181,181,CH,NULL,298
182,182,CH,NULL,251
183,183,CH,NULL,143
190,190,CH,NULL,26
210,210,CH,NULL,208
220,220,CH,NULL,247
310,310,CH,NULL,135
320,320,CH,NULL,213
330,330,CH,NULL,228
410,410,CH,NULL,287
420,420,CH,NULL,310
430,430,CH,NULL,413
440,440,CH,NULL,451
450,450,CH,NULL,375
460,460,CH,NULL,355
480,480,CH,NULL,380
490,490,CH,NULL,561
510,510,CH,NULL,207
520,520,CH,NULL,545
530,530,CH,NULL,413
540,540,CH,NULL,324
560,560,CH,NULL,361
580,580,CH,NULL,256
590,590,CH,NULL,327
610,610,CH,NULL,238
710,710,CH,NULL,230
720,720,CH,NULL,320
730,730,CH,NULL,362
1149,1149,CH,NULL,25
1150,1150,CH,NULL,6
1151,1151,CH,NULL,2
