Row Label,PrecinctCode,County,Registered Voters,Approved,Rejected
Total,-1,KI,NULL,2358,2865
Total,-1,KI,NULL,2358,2865
BOTHELL 31,10141598,SN,NULL,176,208
BOTHELL 32,10141599,SN,NULL,113,115
BOTHELL 33,10141600,SN,NULL,138,156
BOTHELL 34,10141601,SN,NULL,191,179
BOTHELL 35,10141602,SN,NULL,124,145
BOTHELL 36,10141603,SN,NULL,130,149
BOTHELL 37,10141604,SN,NULL,189,205
BOTHELL 38,10141605,SN,NULL,133,170
BOTHELL 39,10141606,SN,NULL,94,152
BOTHELL 40,10141607,SN,NULL,164,213
BOTHELL 41,10141608,SN,NULL,154,206
BOTHELL 42,10141609,SN,NULL,171,236
BOTHELL 43,10141610,SN,NULL,100,151
BOTHELL 44,10141611,SN,NULL,121,128
BOTHELL 45,10141612,SN,NULL,89,83
BOTHELL 46,10141613,SN,NULL,111,183
BOTHELL 47,10141644,SN,NULL,160,186
