Row Label,PrecinctCode,County,Registered Voters,Yes,No
Total,-1,PI,NULL,22236,19229
27-404,27404,PI,NULL,99,69
27-405,27405,PI,NULL,260,301
27-406,27406,PI,NULL,335,404
27-407,27407,PI,NULL,257,259
27-408,27408,PI,NULL,277,286
27-409,27409,PI,NULL,278,246
27-410,27410,PI,NULL,286,265
27-411,27411,PI,NULL,316,383
27-412,27412,PI,NULL,237,255
27-413,27413,PI,NULL,264,279
27-414,27414,PI,NULL,263,326
27-415,27415,PI,NULL,259,344
27-416,27416,PI,NULL,282,288
27-417,27417,PI,NULL,296,287
27-418,27418,PI,NULL,263,255
27-419,27419,PI,NULL,261,282
27-420,27420,PI,NULL,319,323
27-421,27421,PI,NULL,264,198
27-422,27422,PI,NULL,318,359
27-423,27423,PI,NULL,318,285
27-424,27424,PI,NULL,266,285
27-425,27425,PI,NULL,252,255
27-426,27426,PI,NULL,202,303
27-427,27427,PI,NULL,278,220
27-428,27428,PI,NULL,278,169
27-429,27429,PI,NULL,274,210
27-430,27430,PI,NULL,289,185
27-431,27431,PI,NULL,102,101
27-432,27432,PI,NULL,247,232
27-433,27433,PI,NULL,261,228
27-434,27434,PI,NULL,221,221
27-435,27435,PI,NULL,250,249
27-436,27436,PI,NULL,289,183
27-437,27437,PI,NULL,254,172
27-438,27438,PI,NULL,275,138
27-439,27439,PI,NULL,276,163
27-440,27440,PI,NULL,284,177
27-441,27441,PI,NULL,233,151
27-442,27442,PI,NULL,179,145
27-443,27443,PI,NULL,200,156
27-444,27444,PI,NULL,233,191
27-445,27445,PI,NULL,232,166
27-446,27446,PI,NULL,226,169
27-447,27447,PI,NULL,225,195
27-448,27448,PI,NULL,8,12
27-449,27449,PI,NULL,247,209
27-450,27450,PI,NULL,270,208
27-451,27451,PI,NULL,210,164
27-452,27452,PI,NULL,220,181
27-453,27453,PI,NULL,183,99
27-454,27454,PI,NULL,265,188
27-455,27455,PI,NULL,211,158
27-456,27456,PI,NULL,184,135
27-457,27457,PI,NULL,229,148
27-458,27458,PI,NULL,176,114
27-459,27459,PI,NULL,156,111
27-460,27460,PI,NULL,295,221
27-461,27461,PI,NULL,329,262
27-462,27462,PI,NULL,287,240
27-463,27463,PI,NULL,216,177
27-464,27464,PI,NULL,246,194
27-465,27465,PI,NULL,231,176
27-466,27466,PI,NULL,258,147
27-467,27467,PI,NULL,234,207
27-468,27468,PI,NULL,234,162
28-501,28501,PI,NULL,290,322
28-502,28502,PI,NULL,251,347
28-503,28503,PI,NULL,294,260
28-504,28504,PI,NULL,305,257
28-505,28505,PI,NULL,286,377
28-506,28506,PI,NULL,301,272
28-507,28507,PI,NULL,248,222
28-508,28508,PI,NULL,145,104
28-509,28509,PI,NULL,0,0
29-601,29601,PI,NULL,216,136
29-602,29602,PI,NULL,167,138
29-603,29603,PI,NULL,240,130
29-604,29604,PI,NULL,226,145
29-605,29605,PI,NULL,182,143
29-606,29606,PI,NULL,250,185
29-607,29607,PI,NULL,264,207
29-608,29608,PI,NULL,188,153
29-609,29609,PI,NULL,149,128
29-610,29610,PI,NULL,199,176
29-611,29611,PI,NULL,58,40
29-612,29612,PI,NULL,135,80
29-613,29613,PI,NULL,235,200
29-614,29614,PI,NULL,230,220
29-615,29615,PI,NULL,245,209
29-616,29616,PI,NULL,222,175
29-617,29617,PI,NULL,200,189
29-618,29618,PI,NULL,183,132
29-619,29619,PI,NULL,206,165
29-620(*),29620,PI,NULL,0,0
29-621(*),29621,PI,NULL,0,0
29-622,29622,PI,NULL,166,125
29-623,29623,PI,NULL,63,18
29-624,29624,PI,NULL,0,0
29-625(*),29625,PI,NULL,0,0
29-626,29626,PI,NULL,8,2
29-627,29627,PI,NULL,0,0
