Row Label,PrecinctCode,County,Registered Voters,Peter Van Nortwick,Darren S. Wertz
Total,-1,CR,NULL,69260,44261
100,100,CR,NULL,279,316
102,102,CR,NULL,262,184
104,104,CR,NULL,319,247
106,106,CR,NULL,255,242
108,108,CR,NULL,281,257
110,110,CR,NULL,261,327
112,112,CR,NULL,31,23
113,113,CR,NULL,142,148
120,120,CR,NULL,288,348
130,130,CR,NULL,275,300
147,147,CR,NULL,258,199
150,150,CR,NULL,154,169
153,153,CR,NULL,216,162
160,160,CR,NULL,194,229
170,170,CR,NULL,194,232
175,175,CR,NULL,191,181
180,180,CR,NULL,188,226
190,190,CR,NULL,327,272
200,200,CR,NULL,254,305
220,220,CR,NULL,189,219
225,225,CR,NULL,464,281
240,240,CR,NULL,462,236
245,245,CR,NULL,417,190
250,250,CR,NULL,352,273
255,255,CR,NULL,301,224
257,257,CR,NULL,270,267
290,290,CR,NULL,331,201
294,294,CR,NULL,221,137
296,296,CR,NULL,208,179
298,298,CR,NULL,204,131
325,325,CR,NULL,247,169
327,327,CR,NULL,380,210
330,330,CR,NULL,314,240
335,335,CR,NULL,225,195
337,337,CR,NULL,270,228
338,338,CR,NULL,309,227
340,340,CR,NULL,299,244
350,350,CR,NULL,264,190
360,360,CR,NULL,316,266
370,370,CR,NULL,238,164
390,390,CR,NULL,355,286
395,395,CR,NULL,86,88
400,400,CR,NULL,162,152
410,410,CR,NULL,343,309
415,415,CR,NULL,236,177
420,420,CR,NULL,312,215
423,423,CR,NULL,220,191
424,424,CR,NULL,374,224
425,425,CR,NULL,260,159
426,426,CR,NULL,454,267
430,430,CR,NULL,217,168
432,432,CR,NULL,241,158
434,434,CR,NULL,266,135
435,435,CR,NULL,261,152
436,436,CR,NULL,198,122
440,440,CR,NULL,326,252
441,441,CR,NULL,316,235
444,444,CR,NULL,416,298
445,445,CR,NULL,425,269
446,446,CR,NULL,378,153
447,447,CR,NULL,460,243
448,448,CR,NULL,434,247
449,449,CR,NULL,467,281
450,450,CR,NULL,442,246
451,451,CR,NULL,330,218
452,452,CR,NULL,319,204
453,453,CR,NULL,303,218
455,455,CR,NULL,257,153
456,456,CR,NULL,499,260
460,460,CR,NULL,473,287
470,470,CR,NULL,439,277
480,480,CR,NULL,471,312
483,483,CR,NULL,517,281
485,485,CR,NULL,292,140
487,487,CR,NULL,166,109
490,490,CR,NULL,297,152
491,491,CR,NULL,29,20
500,500,CR,NULL,382,252
502,502,CR,NULL,298,212
503,503,CR,NULL,262,174
505,505,CR,NULL,435,258
510,510,CR,NULL,245,151
511,511,CR,NULL,17,14
515,515,CR,NULL,427,229
520,520,CR,NULL,210,125
521,521,CR,NULL,5,7
522(*),522,CR,NULL,0,0
523(*),523,CR,NULL,0,0
524,524,CR,NULL,41,29
525,525,CR,NULL,235,147
527,527,CR,NULL,333,163
528,528,CR,NULL,377,181
530,530,CR,NULL,165,97
535,535,CR,NULL,492,245
536,536,CR,NULL,232,115
537,537,CR,NULL,136,81
538,538,CR,NULL,227,72
540,540,CR,NULL,465,210
543,543,CR,NULL,409,187
545,545,CR,NULL,280,143
550,550,CR,NULL,466,237
553,553,CR,NULL,351,163
555,555,CR,NULL,431,245
560,560,CR,NULL,405,161
563,563,CR,NULL,378,219
565,565,CR,NULL,282,178
566,566,CR,NULL,219,147
570,570,CR,NULL,363,205
571,571,CR,NULL,354,164
572,572,CR,NULL,491,214
573,573,CR,NULL,478,220
574,574,CR,NULL,13,14
575,575,CR,NULL,125,47
576,576,CR,NULL,5,2
577,577,CR,NULL,544,205
578,578,CR,NULL,32,23
579,579,CR,NULL,14,6
580,580,CR,NULL,254,145
581,581,CR,NULL,170,99
582,582,CR,NULL,304,137
583,583,CR,NULL,314,138
584,584,CR,NULL,345,157
585,585,CR,NULL,466,199
586,586,CR,NULL,301,165
587,587,CR,NULL,325,151
588,588,CR,NULL,205,104
590,590,CR,NULL,485,258
591,591,CR,NULL,533,262
592,592,CR,NULL,466,265
593,593,CR,NULL,428,202
594,594,CR,NULL,11,8
595,595,CR,NULL,224,123
596(*),596,CR,NULL,0,0
597,597,CR,NULL,61,14
598,598,CR,NULL,14,4
600,600,CR,NULL,218,86
603,603,CR,NULL,280,101
605,605,CR,NULL,427,144
606,606,CR,NULL,76,37
610,610,CR,NULL,541,242
613,613,CR,NULL,208,71
615,615,CR,NULL,195,82
617,617,CR,NULL,374,183
618,618,CR,NULL,430,197
620,620,CR,NULL,441,205
624,624,CR,NULL,81,45
625,625,CR,NULL,390,212
626,626,CR,NULL,322,189
627,627,CR,NULL,320,221
628,628,CR,NULL,300,267
629,629,CR,NULL,283,208
630,630,CR,NULL,217,206
631,631,CR,NULL,346,247
632,632,CR,NULL,178,117
633,633,CR,NULL,269,218
634,634,CR,NULL,280,202
635,635,CR,NULL,246,168
636,636,CR,NULL,281,177
638,638,CR,NULL,267,203
639,639,CR,NULL,251,218
640,640,CR,NULL,294,239
641,641,CR,NULL,128,95
642,642,CR,NULL,175,83
643,643,CR,NULL,287,201
644,644,CR,NULL,344,238
645,645,CR,NULL,392,271
646,646,CR,NULL,159,109
647,647,CR,NULL,257,135
648,648,CR,NULL,282,173
649,649,CR,NULL,281,184
650,650,CR,NULL,294,221
651,651,CR,NULL,227,160
652,652,CR,NULL,253,234
653,653,CR,NULL,238,210
654,654,CR,NULL,230,141
655,655,CR,NULL,257,218
656,656,CR,NULL,167,126
658,658,CR,NULL,314,187
659,659,CR,NULL,320,226
660,660,CR,NULL,298,254
662,662,CR,NULL,342,223
663,663,CR,NULL,176,201
664,664,CR,NULL,315,233
667,667,CR,NULL,292,136
668,668,CR,NULL,336,261
669,669,CR,NULL,366,168
670,670,CR,NULL,321,265
672,672,CR,NULL,260,198
673,673,CR,NULL,362,242
674,674,CR,NULL,284,190
675,675,CR,NULL,260,129
677,677,CR,NULL,371,204
678,678,CR,NULL,248,168
679,679,CR,NULL,201,156
680,680,CR,NULL,293,175
681,681,CR,NULL,240,205
682,682,CR,NULL,261,219
683,683,CR,NULL,294,215
685,685,CR,NULL,86,66
686,686,CR,NULL,249,153
687,687,CR,NULL,290,202
688,688,CR,NULL,252,217
689,689,CR,NULL,314,247
690,690,CR,NULL,359,223
691,691,CR,NULL,309,222
692,692,CR,NULL,350,226
693,693,CR,NULL,180,139
694,694,CR,NULL,95,105
695,695,CR,NULL,356,223
696,696,CR,NULL,414,224
697,697,CR,NULL,417,270
698,698,CR,NULL,376,145
699,699,CR,NULL,318,179
700,700,CR,NULL,69,30
710,710,CR,NULL,129,108
720,720,CR,NULL,271,156
900,900,CR,NULL,321,194
903,903,CR,NULL,298,247
905,905,CR,NULL,381,206
910,910,CR,NULL,281,219
912,912,CR,NULL,250,203
913,913,CR,NULL,394,233
914,914,CR,NULL,373,184
917,917,CR,NULL,226,150
920,920,CR,NULL,302,167
925,925,CR,NULL,336,151
930,930,CR,NULL,361,203
935,935,CR,NULL,385,196
940,940,CR,NULL,308,218
947,947,CR,NULL,286,168
950,950,CR,NULL,308,224
951,951,CR,NULL,261,232
953,953,CR,NULL,133,107
957,957,CR,NULL,95,29
958,958,CR,NULL,58,34
959,959,CR,NULL,23,8
960,960,CR,NULL,423,229
961,961,CR,NULL,60,37
962,962,CR,NULL,299,144
963,963,CR,NULL,257,162
964,964,CR,NULL,396,185
965,965,CR,NULL,375,168
966,966,CR,NULL,277,101
967,967,CR,NULL,243,109
968,968,CR,NULL,295,159
969,969,CR,NULL,172,144
985,985,CR,NULL,248,211
