Row Label,PrecinctCode,County,Registered Voters,Greg Kimsey
Total,-1,CR,NULL,96854
100,100,CR,NULL,473
102,102,CR,NULL,389
104,104,CR,NULL,476
106,106,CR,NULL,409
108,108,CR,NULL,449
110,110,CR,NULL,463
112,112,CR,NULL,39
113,113,CR,NULL,233
120,120,CR,NULL,509
130,130,CR,NULL,455
147,147,CR,NULL,369
150,150,CR,NULL,265
153,153,CR,NULL,327
160,160,CR,NULL,326
170,170,CR,NULL,349
175,175,CR,NULL,309
180,180,CR,NULL,346
190,190,CR,NULL,503
200,200,CR,NULL,460
220,220,CR,NULL,337
225,225,CR,NULL,656
240,240,CR,NULL,599
245,245,CR,NULL,523
250,250,CR,NULL,525
255,255,CR,NULL,461
257,257,CR,NULL,456
290,290,CR,NULL,449
294,294,CR,NULL,304
296,296,CR,NULL,336
298,298,CR,NULL,290
325,325,CR,NULL,366
327,327,CR,NULL,511
330,330,CR,NULL,474
335,335,CR,NULL,364
337,337,CR,NULL,411
338,338,CR,NULL,451
340,340,CR,NULL,459
350,350,CR,NULL,394
360,360,CR,NULL,474
370,370,CR,NULL,338
390,390,CR,NULL,540
395,395,CR,NULL,141
400,400,CR,NULL,268
410,410,CR,NULL,528
415,415,CR,NULL,353
420,420,CR,NULL,465
423,423,CR,NULL,353
424,424,CR,NULL,544
425,425,CR,NULL,355
426,426,CR,NULL,629
430,430,CR,NULL,337
432,432,CR,NULL,351
434,434,CR,NULL,351
435,435,CR,NULL,348
436,436,CR,NULL,277
440,440,CR,NULL,487
441,441,CR,NULL,470
444,444,CR,NULL,594
445,445,CR,NULL,589
446,446,CR,NULL,488
447,447,CR,NULL,615
448,448,CR,NULL,604
449,449,CR,NULL,631
450,450,CR,NULL,582
451,451,CR,NULL,476
452,452,CR,NULL,439
453,453,CR,NULL,433
455,455,CR,NULL,362
456,456,CR,NULL,651
460,460,CR,NULL,682
470,470,CR,NULL,640
480,480,CR,NULL,672
483,483,CR,NULL,703
485,485,CR,NULL,361
487,487,CR,NULL,230
490,490,CR,NULL,384
491,491,CR,NULL,47
500,500,CR,NULL,536
502,502,CR,NULL,441
503,503,CR,NULL,370
505,505,CR,NULL,584
510,510,CR,NULL,340
511,511,CR,NULL,30
515,515,CR,NULL,594
520,520,CR,NULL,281
521,521,CR,NULL,8
522,522,CR,NULL,179
523,523,CR,NULL,20
524,524,CR,NULL,54
525,525,CR,NULL,322
527,527,CR,NULL,430
528,528,CR,NULL,459
530,530,CR,NULL,208
535,535,CR,NULL,628
536,536,CR,NULL,297
537,537,CR,NULL,191
538,538,CR,NULL,276
540,540,CR,NULL,566
543,543,CR,NULL,505
545,545,CR,NULL,357
550,550,CR,NULL,575
553,553,CR,NULL,477
555,555,CR,NULL,578
560,560,CR,NULL,502
563,563,CR,NULL,523
565,565,CR,NULL,398
566,566,CR,NULL,318
570,570,CR,NULL,490
571,571,CR,NULL,451
572,572,CR,NULL,632
573,573,CR,NULL,605
574,574,CR,NULL,23
575,575,CR,NULL,165
576,576,CR,NULL,6
577,577,CR,NULL,672
578,578,CR,NULL,41
579,579,CR,NULL,20
580,580,CR,NULL,345
581,581,CR,NULL,236
582,582,CR,NULL,380
583,583,CR,NULL,374
584,584,CR,NULL,444
585,585,CR,NULL,580
586,586,CR,NULL,415
587,587,CR,NULL,408
588,588,CR,NULL,266
590,590,CR,NULL,653
591,591,CR,NULL,664
592,592,CR,NULL,598
593,593,CR,NULL,534
594,594,CR,NULL,15
595,595,CR,NULL,293
596,596,CR,NULL,2
