Row Label,PrecinctCode,County,Registered Voters,Scott G. Weber,Deanna Pauli-Hammond
Total,-1,CR,NULL,67450,49127
100,100,CR,NULL,206,430
102,102,CR,NULL,223,226
104,104,CR,NULL,278,327
106,106,CR,NULL,207,317
108,108,CR,NULL,220,343
110,110,CR,NULL,219,415
112,112,CR,NULL,27,29
113,113,CR,NULL,124,175
120,120,CR,NULL,264,412
130,130,CR,NULL,216,395
147,147,CR,NULL,263,216
150,150,CR,NULL,131,214
153,153,CR,NULL,209,175
160,160,CR,NULL,169,266
170,170,CR,NULL,169,290
175,175,CR,NULL,184,197
180,180,CR,NULL,185,254
190,190,CR,NULL,302,336
200,200,CR,NULL,214,374
220,220,CR,NULL,177,234
225,225,CR,NULL,370,406
240,240,CR,NULL,423,293
245,245,CR,NULL,357,254
250,250,CR,NULL,305,357
255,255,CR,NULL,258,283
257,257,CR,NULL,269,296
290,290,CR,NULL,289,256
294,294,CR,NULL,207,165
296,296,CR,NULL,207,196
298,298,CR,NULL,186,165
325,325,CR,NULL,245,179
327,327,CR,NULL,381,234
330,330,CR,NULL,312,256
335,335,CR,NULL,238,200
337,337,CR,NULL,276,244
338,338,CR,NULL,329,221
340,340,CR,NULL,278,290
350,350,CR,NULL,239,230
360,360,CR,NULL,304,294
370,370,CR,NULL,221,198
390,390,CR,NULL,337,318
395,395,CR,NULL,79,101
400,400,CR,NULL,153,169
410,410,CR,NULL,332,357
415,415,CR,NULL,210,215
420,420,CR,NULL,280,278
423,423,CR,NULL,215,207
424,424,CR,NULL,357,264
425,425,CR,NULL,259,168
426,426,CR,NULL,428,310
430,430,CR,NULL,196,203
432,432,CR,NULL,247,173
434,434,CR,NULL,245,171
435,435,CR,NULL,255,166
436,436,CR,NULL,175,150
440,440,CR,NULL,311,283
441,441,CR,NULL,339,217
444,444,CR,NULL,371,363
445,445,CR,NULL,393,314
446,446,CR,NULL,364,183
447,447,CR,NULL,436,287
448,448,CR,NULL,402,287
449,449,CR,NULL,410,346
450,450,CR,NULL,398,303
451,451,CR,NULL,312,242
