Row Label,PrecinctCode,County,Registered Voters,Nicholas (Nick) Henderson,Scott Hammond
Total,-1,KS,NULL,6274,5578
CLE ELUM 1,1,KS,NULL,147,42
CLE ELUM 2,2,KS,NULL,98,14
CLE ELUM 3,3,KS,NULL,48,20
CLE ELUM 4,4,KS,NULL,217,41
DENMARK,5,KS,NULL,237,200
EAST SANDERS,6,KS,NULL,181,144
EASTON,7,KS,NULL,257,85
ELLENSBURG 1,8,KS,NULL,16,34
ELLENSBURG 2,9,KS,NULL,17,56
ELLENSBURG 4,11,KS,NULL,11,33
ELLENSBURG 5,12,KS,NULL,26,59
ELLENSBURG 6,13,KS,NULL,20,36
ELLENSBURG 7,14,KS,NULL,22,31
ELLENSBURG 8,15,KS,NULL,33,47
ELLENSBURG 9,16,KS,NULL,22,65
ELLENSBURG 10,17,KS,NULL,58,83
ELLENSBURG 11,18,KS,NULL,50,84
ELLENSBURG 12,19,KS,NULL,41,81
ELLENSBURG 13,20,KS,NULL,32,72
ELLENSBURG 14,21,KS,NULL,53,82
ELLENSBURG 15,22,KS,NULL,73,83
ELLENSBURG 16,23,KS,NULL,80,155
ELLENSBURG 17,24,KS,NULL,83,113
ELLENSBURG 18,25,KS,NULL,6,25
ELLENSBURG 19,26,KS,NULL,93,203
ELLENSBURG 20,27,KS,NULL,27,50
ELLENSBURG 21,28,KS,NULL,51,68
ELLENSBURG 22,29,KS,NULL,75,96
ELLENSBURG 23,30,KS,NULL,75,135
ELLENSBURG 24,31,KS,NULL,166,203
HYAK,32,KS,NULL,51,37
KITTITAS 1,33,KS,NULL,63,68
MANASTASH,34,KS,NULL,129,138
MOUNTAIN,35,KS,NULL,100,45
NORTH CENTRAL,36,KS,NULL,136,138
NORTH ELLENSBURG,37,KS,NULL,206,222
PARK,38,KS,NULL,180,147
PEOH POINT,39,KS,NULL,234,79
RIDGEWAY,40,KS,NULL,248,226
ROSLYN 1,41,KS,NULL,109,68
ROSLYN 2,42,KS,NULL,83,61
DRY CREEK,43,KS,NULL,193,173
WESTSIDE,44,KS,NULL,304,105
ROSLYN OUTLYING,45,KS,NULL,47,9
SANDERS,46,KS,NULL,65,79
SOUTH CLE ELUM,47,KS,NULL,152,30
SOUTH ELLENSBURG,48,KS,NULL,181,241
SWAUK,50,KS,NULL,136,66
TEANAWAY,51,KS,NULL,217,90
THORP,52,KS,NULL,166,134
VANTAGE,53,KS,NULL,12,12
FAIRVIEW,54,KS,NULL,100,110
NORTHEAST FAIRVIEW,55,KS,NULL,146,189
THRALL,56,KS,NULL,144,161
DAMMAN,58,KS,NULL,142,193
KACHESS,59,KS,NULL,65,35
KITTITAS 2,60,KS,NULL,85,60
ELLENSBURG 25,61,KS,NULL,153,186
RONALD,62,KS,NULL,112,36
