Row Label,PrecinctCode,County,Registered Voters,Darla McKay
Total,-1,AS,NULL,5974
ANATONE,1,AS,NULL,115
RURAL ASOTIN,3,AS,NULL,136
W ASOTIN,4,AS,NULL,149
SWALLOWS NEST,5,AS,NULL,356
ASOTIN #1,101,AS,NULL,183
ASOTIN #2,102,AS,NULL,190
CLARKSTON #1,201,AS,NULL,151
CLARKSTON #2,202,AS,NULL,194
CLARKSTON #3,203,AS,NULL,176
CLARKSTON #4,204,AS,NULL,202
CLARKSTON #5,205,AS,NULL,123
CLARKSTON #6,206,AS,NULL,212
CLARKSTON #7,207,AS,NULL,128
CLARKSTON #8,208,AS,NULL,181
CLARKSTON HTS #1,301,AS,NULL,277
CLARKSTON HTS #2,302,AS,NULL,450
CLARKSTON HTS #3,303,AS,NULL,102
CLARKSTON HTS #4,304,AS,NULL,256
CLARKSTON HTS #5,305,AS,NULL,448
CLARKSTON HTS #6,306,AS,NULL,402
CLARKSTON HTS #7,307,AS,NULL,313
SOUTH CLARKSTON #1,401,AS,NULL,213
SOUTH CLARKSTON #2,402,AS,NULL,283
WEST CLARKSTON #1,501,AS,NULL,237
WEST CLARKSTON #2,502,AS,NULL,227
WEST CLARKSTON #3,503,AS,NULL,270
