Row Label,PrecinctCode,County,Registered Voters,Marie Eggart
Total,-1,AS,NULL,5985
ANATONE,1,AS,NULL,115
RURAL ASOTIN,3,AS,NULL,135
W ASOTIN,4,AS,NULL,151
SWALLOWS NEST,5,AS,NULL,352
ASOTIN #1,101,AS,NULL,186
ASOTIN #2,102,AS,NULL,183
CLARKSTON #1,201,AS,NULL,149
CLARKSTON #2,202,AS,NULL,194
CLARKSTON #3,203,AS,NULL,180
CLARKSTON #4,204,AS,NULL,206
CLARKSTON #5,205,AS,NULL,125
CLARKSTON #6,206,AS,NULL,211
CLARKSTON #7,207,AS,NULL,128
CLARKSTON #8,208,AS,NULL,180
CLARKSTON HTS #1,301,AS,NULL,269
CLARKSTON HTS #2,302,AS,NULL,456
CLARKSTON HTS #3,303,AS,NULL,101
CLARKSTON HTS #4,304,AS,NULL,257
CLARKSTON HTS #5,305,AS,NULL,451
CLARKSTON HTS #6,306,AS,NULL,405
CLARKSTON HTS #7,307,AS,NULL,311
SOUTH CLARKSTON #1,401,AS,NULL,219
SOUTH CLARKSTON #2,402,AS,NULL,279
WEST CLARKSTON #1,501,AS,NULL,243
WEST CLARKSTON #2,502,AS,NULL,231
WEST CLARKSTON #3,503,AS,NULL,268
