Row Label,PrecinctCode,County,Registered Voters,Sissi Bruch,Bill Peach
Total,-1,CM,NULL,13087,13997
PORT ANGELES 101,101,CM,NULL,183,189
PORT ANGELES 102,102,CM,NULL,338,226
PORT ANGELES 103,103,CM,NULL,321,308
PORT ANGELES 104,104,CM,NULL,275,149
PORT ANGELES 105,105,CM,NULL,312,249
PORT ANGELES 106,106,CM,NULL,236,224
PORT ANGELES 107,107,CM,NULL,368,263
PORT ANGELES 108,108,CM,NULL,178,122
PORT ANGELES 109,109,CM,NULL,408,302
PORT ANGELES 110,110,CM,NULL,70,76
PORT ANGELES 111,111,CM,NULL,337,310
PORT ANGELES 112,112,CM,NULL,174,184
PORT ANGELES 113,113,CM,NULL,167,214
AGNEW 201,201,CM,NULL,197,212
BEAVER 204,204,CM,NULL,87,276
BELLEVIEW 205,205,CM,NULL,237,272
BELL HILL 207,207,CM,NULL,216,291
BLACK DIAMOND 208,208,CM,NULL,141,187
BLUE MOUNTAIN 209,209,CM,NULL,248,276
BLUFFS 210,210,CM,NULL,117,164
BLYN 211,211,CM,NULL,206,224
BOGACHIEL 212,212,CM,NULL,45,130
CARLSBORG 214,214,CM,NULL,164,211
CLALLAM BAY 215,215,CM,NULL,114,139
CLARK 216,216,CM,NULL,97,90
CLINE 217,217,CM,NULL,287,224
COYOTE 218,218,CM,NULL,284,272
DEER PARK 220,220,CM,NULL,239,303
DIAMOND POINT 221,221,CM,NULL,244,246
DUNGENESS EAST 222,222,CM,NULL,288,322
DUNGENESS WEST 223,223,CM,NULL,134,133
DRY CREEK 224,224,CM,NULL,226,212
EAGLE 226,226,CM,NULL,166,218
ELK 229,229,CM,NULL,64,61
ELWHA 230,230,CM,NULL,66,91
FAIRVIEW 232,232,CM,NULL,235,315
FRESHWATER BAY 233,233,CM,NULL,305,358
HAPPY VALLEY 237,237,CM,NULL,116,161
JAMESTOWN 240,240,CM,NULL,185,151
JOYCE 241,241,CM,NULL,258,340
LOST MOUNTAIN 245,245,CM,NULL,135,180
MILLER PENINSULA 246,246,CM,NULL,161,114
MACLEAY 247,247,CM,NULL,249,264
MADISON CREEK 248,248,CM,NULL,80,110
MONTERRA 249,249,CM,NULL,230,267
MOUNT ANGELES 250,250,CM,NULL,177,153
MOUNT PLEASANT 251,251,CM,NULL,211,244
NEAH BAY 252,252,CM,NULL,168,35
OBRIEN 253,253,CM,NULL,174,252
OLYMPIC 254,254,CM,NULL,164,193
PORT WILLIAMS 258,258,CM,NULL,154,137
PRAIRIE NORTH 259,259,CM,NULL,213,245
PRAIRIE SOUTH 260,260,CM,NULL,212,268
QUILEUTE 262,262,CM,NULL,76,98
RIVERSIDE 265,265,CM,NULL,255,227
ROBIN HILL 266,266,CM,NULL,176,220
SUN 269,269,CM,NULL,42,117
SUNLAND NORTH 270,270,CM,NULL,255,278
SUNLAND SOUTH 271,271,CM,NULL,152,185
FORKS 301,301,CM,NULL,91,174
FORKS 302,302,CM,NULL,114,281
SEQUIM 401,401,CM,NULL,140,123
SEQUIM 402,402,CM,NULL,144,127
SEQUIM 403,403,CM,NULL,269,225
SEQUIM 404,404,CM,NULL,305,354
SEQUIM 405,405,CM,NULL,198,218
SEQUIM 406,406,CM,NULL,209,213
