Row Label,PrecinctCode,County,Registered Voters,Lorrie Sampson,Dave Baskin
Total,-1,ST,NULL,9710,5650
ADDY,1,ST,NULL,221,159
CAMAS,3,ST,NULL,207,110
CAMAS PRAIRIE,4,ST,NULL,131,63
COLUMBIA,5,ST,NULL,282,171
COLVILLE VALLEY,6,ST,NULL,345,249
DAISY,7,ST,NULL,119,63
ECHO,8,ST,NULL,225,167
EVANS,9,ST,NULL,147,77
HUNTERS,10,ST,NULL,249,95
KELLY HILL,11,ST,NULL,62,44
LOON LAKE 1,12,ST,NULL,303,119
LOON LAKE 2,13,ST,NULL,158,80
MILL CREEK,14,ST,NULL,90,73
NARCISSE,15,ST,NULL,234,233
ONION CREEK,16,ST,NULL,92,37
RICE,19,ST,NULL,118,67
ROCK CUT,20,ST,NULL,53,24
SUMMIT,21,ST,NULL,130,110
FIRST THOUGHT,22,ST,NULL,31,23
WELLPINIT,24,ST,NULL,94,44
WILLIAMS VALLEY,25,ST,NULL,297,127
TUM TUM 1,26,ST,NULL,145,63
TUM TUM 2,27,ST,NULL,280,113
WALKERS PRAIRIE,28,ST,NULL,167,87
STONE LODGE,29,ST,NULL,213,118
TUM TUM 3,39,ST,NULL,292,171
TUM TUM 4,40,ST,NULL,177,104
TUM TUM 5,41,ST,NULL,203,111
MEYERS FALLS 1,42,ST,NULL,179,119
MEYERS FALLS 2,43,ST,NULL,268,202
QUARTZITE 1,44,ST,NULL,328,204
QUARTZITE 2,45,ST,NULL,183,90
VALLEY 1,46,ST,NULL,48,12
VALLEY 2,47,ST,NULL,147,62
ARDEN 1,48,ST,NULL,173,145
ARDEN 2,49,ST,NULL,208,155
CLAYTON 1,50,ST,NULL,144,78
CLAYTON 2,51,ST,NULL,237,138
ORIN 1,52,ST,NULL,145,121
ORIN 2,53,ST,NULL,173,154
WAITTS LAKE,54,ST,NULL,218,115
ECHO VALLEY,55,ST,NULL,139,69
CHEWELAH 1,101,ST,NULL,156,109
CHEWELAH 2,102,ST,NULL,78,53
CHEWELAH 3,103,ST,NULL,126,77
CHEWELAH FORE,104,ST,NULL,103,46
COLVILLE 1,105,ST,NULL,90,50
COLVILLE 2,106,ST,NULL,114,64
COLVILLE 3,107,ST,NULL,127,64
COLVILLE 4,108,ST,NULL,279,109
COLVILLE 5,109,ST,NULL,210,114
COLVILLE 6,110,ST,NULL,148,57
COLVILLE 7,111,ST,NULL,136,70
KETTLE FALLS 1,114,ST,NULL,217,105
KETTLE FALLS 2,115,ST,NULL,131,72
MARCUS,116,ST,NULL,43,24
NORTHPORT,117,ST,NULL,57,45
SPRINGDALE,118,ST,NULL,40,25
