Row Label,PrecinctCode,County,Registered Voters,Mark C. Brown
Total,-1,IS,NULL,21860
C WHIDBEY 01,150,IS,NULL,349
C WHIDBEY 02,151,IS,NULL,637
C WHIDBEY 03,152,IS,NULL,572
COUPEVILLE,153,IS,NULL,553
C WHIDBEY 04,154,IS,NULL,580
C WHIDBEY 05,155,IS,NULL,524
S WHIDBEY 01,160,IS,NULL,584
S WHIDBEY 02,161,IS,NULL,532
S WHIDBEY 03,162,IS,NULL,607
S WHIDBEY 04,163,IS,NULL,450
S WHIDBEY 05,164,IS,NULL,518
S WHIDBEY 06,165,IS,NULL,501
LANGLEY,166,IS,NULL,301
S WHIDBEY 07,167,IS,NULL,480
S WHIDBEY 08,168,IS,NULL,364
S WHIDBEY 09,169,IS,NULL,488
S WHIDBEY 10,170,IS,NULL,461
OAK HARBOR 01,201,IS,NULL,512
OAK HARBOR 02,202,IS,NULL,401
OAK HARBOR 03,203,IS,NULL,496
OAK HARBOR 04,204,IS,NULL,483
OAK HARBOR 05,205,IS,NULL,515
OAK HARBOR 06,206,IS,NULL,417
OAK HARBOR 07,207,IS,NULL,496
OAK HARBOR 08,208,IS,NULL,425
OAK HARBOR 09,209,IS,NULL,123
N WHIDBEY 06,251,IS,NULL,304
N WHIDBEY 07,252,IS,NULL,428
N WHIDBEY 08,253,IS,NULL,353
N WHIDBEY 09,254,IS,NULL,328
N WHIDBEY 10,255,IS,NULL,150
N WHIDBEY 11,256,IS,NULL,87
CAMANO 01,301,IS,NULL,373
CAMANO 02,302,IS,NULL,526
CAMANO 03,303,IS,NULL,507
CAMANO 04,304,IS,NULL,685
CAMANO 05,305,IS,NULL,586
CAMANO 06,306,IS,NULL,494
CAMANO 07,307,IS,NULL,478
CAMANO 08,308,IS,NULL,337
CAMANO 09,309,IS,NULL,507
CAMANO 10,310,IS,NULL,377
CAMANO 11,311,IS,NULL,491
N WHIDBEY 01,351,IS,NULL,569
N WHIDBEY 02,352,IS,NULL,545
N WHIDBEY 03,353,IS,NULL,434
N WHIDBEY 04,354,IS,NULL,616
N WHIDBEY 05,355,IS,NULL,316
