Row Label,PrecinctCode,County,Registered Voters,Gabriel Spencer
Total,-1,SM,NULL,2920
BEAR PRAIRIE,100,SM,NULL,108
MT. PLEASANT,101,SM,NULL,116
SKYE,102,SM,NULL,128
UPPER WASHOUGAL,103,SM,NULL,124
LEWIS RIVER,104,SM,NULL,14
CAPE HORN,105,SM,NULL,149
SKAMANIA,106,SM,NULL,174
CASCADES,201,SM,NULL,8
NORTH BONNEVILLE,202,SM,NULL,251
ROCK CREEK,203,SM,NULL,117
MAPLE VIEW,204,SM,NULL,206
NORTH STEVENSON,205,SM,NULL,152
SOUTH STEVENSON,206,SM,NULL,43
NELSON CREEK,207,SM,NULL,85
CARSON CREEK,208,SM,NULL,176
STABLER,300,SM,NULL,212
WIND RIVER,303,SM,NULL,159
HOT SPRINGS NORTH,304,SM,NULL,73
HOT SPRINGS SOUTH,305,SM,NULL,126
WIND MOUNTAIN,307,SM,NULL,78
CHENOWITH,309,SM,NULL,116
UNDERWOOD NORTH,310,SM,NULL,164
UNDERWOOD SOUTH,311,SM,NULL,141
