Row Label,PrecinctCode,County,Registered Voters,Yes,No
Total,-1,AS,NULL,6133,1504
ANATONE,1,AS,NULL,96,52
RURAL ASOTIN,3,AS,NULL,121,56
W ASOTIN,4,AS,NULL,144,33
SWALLOWS NEST,5,AS,NULL,359,98
ASOTIN #1,101,AS,NULL,200,29
ASOTIN #2,102,AS,NULL,204,41
CLARKSTON #1,201,AS,NULL,164,29
CLARKSTON #2,202,AS,NULL,220,37
CLARKSTON #3,203,AS,NULL,200,40
CLARKSTON #4,204,AS,NULL,216,56
CLARKSTON #5,205,AS,NULL,142,30
CLARKSTON #6,206,AS,NULL,217,44
CLARKSTON #7,207,AS,NULL,132,34
CLARKSTON #8,208,AS,NULL,183,52
CLARKSTON HTS #1,301,AS,NULL,267,66
CLARKSTON HTS #2,302,AS,NULL,454,109
CLARKSTON HTS #3,303,AS,NULL,97,29
CLARKSTON HTS #4,304,AS,NULL,267,44
CLARKSTON HTS #5,305,AS,NULL,451,139
CLARKSTON HTS #6,306,AS,NULL,419,98
CLARKSTON HTS #7,307,AS,NULL,292,103
SOUTH CLARKSTON #1,401,AS,NULL,198,71
SOUTH CLARKSTON #2,402,AS,NULL,309,51
WEST CLARKSTON #1,501,AS,NULL,242,52
WEST CLARKSTON #2,502,AS,NULL,233,58
WEST CLARKSTON #3,503,AS,NULL,306,53
