Row Label,PrecinctCode,County,Registered Voters,Mark Nichols,William Payne
Total,-1,CM,NULL,12399,11308
PORT ANGELES 101,101,CM,NULL,190,156
PORT ANGELES 102,102,CM,NULL,271,241
PORT ANGELES 103,103,CM,NULL,334,239
PORT ANGELES 104,104,CM,NULL,212,150
PORT ANGELES 105,105,CM,NULL,250,256
PORT ANGELES 106,106,CM,NULL,217,199
PORT ANGELES 107,107,CM,NULL,315,239
PORT ANGELES 108,108,CM,NULL,139,116
PORT ANGELES 109,109,CM,NULL,345,270
PORT ANGELES 110,110,CM,NULL,67,68
PORT ANGELES 111,111,CM,NULL,316,258
PORT ANGELES 112,112,CM,NULL,183,146
PORT ANGELES 113,113,CM,NULL,197,139
AGNEW 201,201,CM,NULL,194,161
BEAVER 204,204,CM,NULL,214,101
BELLEVIEW 205,205,CM,NULL,257,215
BELL HILL 207,207,CM,NULL,217,233
BLACK DIAMOND 208,208,CM,NULL,154,134
BLUE MOUNTAIN 209,209,CM,NULL,231,227
BLUFFS 210,210,CM,NULL,121,130
BLYN 211,211,CM,NULL,182,189
BOGACHIEL 212,212,CM,NULL,94,59
CARLSBORG 214,214,CM,NULL,168,163
CLALLAM BAY 215,215,CM,NULL,125,94
CLARK 216,216,CM,NULL,102,58
CLINE 217,217,CM,NULL,218,211
COYOTE 218,218,CM,NULL,234,243
DEER PARK 220,220,CM,NULL,251,235
DIAMOND POINT 221,221,CM,NULL,195,217
DUNGENESS EAST 222,222,CM,NULL,251,281
DUNGENESS WEST 223,223,CM,NULL,98,140
DRY CREEK 224,224,CM,NULL,241,153
EAGLE 226,226,CM,NULL,163,200
ELK 229,229,CM,NULL,52,55
ELWHA 230,230,CM,NULL,76,57
FAIRVIEW 232,232,CM,NULL,263,245
FRESHWATER BAY 233,233,CM,NULL,359,226
HAPPY VALLEY 237,237,CM,NULL,92,134
JAMESTOWN 240,240,CM,NULL,121,150
JOYCE 241,241,CM,NULL,267,249
LOST MOUNTAIN 245,245,CM,NULL,128,157
MILLER PENINSULA 246,246,CM,NULL,108,107
MACLEAY 247,247,CM,NULL,222,221
MADISON CREEK 248,248,CM,NULL,99,77
MONTERRA 249,249,CM,NULL,216,203
MOUNT ANGELES 250,250,CM,NULL,154,135
MOUNT PLEASANT 251,251,CM,NULL,198,216
NEAH BAY 252,252,CM,NULL,90,62
OBRIEN 253,253,CM,NULL,198,180
OLYMPIC 254,254,CM,NULL,147,155
PORT WILLIAMS 258,258,CM,NULL,127,115
PRAIRIE NORTH 259,259,CM,NULL,195,198
PRAIRIE SOUTH 260,260,CM,NULL,187,226
QUILEUTE 262,262,CM,NULL,76,71
RIVERSIDE 265,265,CM,NULL,209,190
ROBIN HILL 266,266,CM,NULL,168,173
SUN 269,269,CM,NULL,80,64
SUNLAND NORTH 270,270,CM,NULL,250,233
SUNLAND SOUTH 271,271,CM,NULL,163,139
FORKS 301,301,CM,NULL,156,84
FORKS 302,302,CM,NULL,206,136
SEQUIM 401,401,CM,NULL,119,105
SEQUIM 402,402,CM,NULL,111,119
SEQUIM 403,403,CM,NULL,207,202
SEQUIM 404,404,CM,NULL,268,311
SEQUIM 405,405,CM,NULL,174,194
SEQUIM 406,406,CM,NULL,167,198
