Row Label,PrecinctCode,County,Registered Voters,Denis P. Tracy
Total,-1,WT,NULL,7444
TEKOA IN,31,WT,NULL,181
OAKESDALE IN,32,WT,NULL,155
FARMINGTON IN,33,WT,NULL,54
GARFIELD IN,34,WT,NULL,156
COLTON IN,35,WT,NULL,161
UNIONTOWN IN,36,WT,NULL,79
ALBION IN,37,WT,NULL,123
LACROSSE IN,42,WT,NULL,96
ENDICOTT IN,43,WT,NULL,93
LAMONT IN,44,WT,NULL,20
ST JOHN IN,45,WT,NULL,171
MALDEN IN,46,WT,NULL,38
ROSALIA IN,47,WT,NULL,169
TEKOA 101,101,WT,NULL,51
OAKESDALE 102,102,WT,NULL,81
FARMINGTON 103,103,WT,NULL,28
STEPTOE 104,104,WT,NULL,93
GARFIELD 105,105,WT,NULL,75
PALOUSE RURAL 106,106,WT,NULL,148
PALOUSE 107,107,WT,NULL,241
COLTON 108,108,WT,NULL,89
UNIONTOWN 109,109,WT,NULL,60
PULLMAN RURAL 110,110,WT,NULL,309
PULLMAN RURAL 111,111,WT,NULL,91
ALBION 112,112,WT,NULL,101
PULLMAN CITY 113,113,WT,NULL,111
PULLMAN CITY 114,114,WT,NULL,18
PULLMAN CITY 115,115,WT,NULL,7
PULLMAN CITY 116,116,WT,NULL,328
PULLMAN CITY 117,117,WT,NULL,118
PULLMAN CITY 118,118,WT,NULL,222
PULLMAN CITY 119,119,WT,NULL,158
PULLMAN CITY 120,120,WT,NULL,429
PULLMAN CITY 121,121,WT,NULL,113
PULLMAN CITY 122,122,WT,NULL,85
PULLMAN CITY 123,123,WT,NULL,166
PULLMAN CITY 124,124,WT,NULL,22
PULLMAN CITY 125,125,WT,NULL,15
PULLMAN CITY 126,126,WT,NULL,15
PULLMAN CITY 127,127,WT,NULL,24
PULLMAN CITY 128,128,WT,NULL,44
PULLMAN CITY 129,129,WT,NULL,45
PULLMAN CITY 130,130,WT,NULL,50
PULLMAN CITY 131,131,WT,NULL,4
PULLMAN CITY 132,132,WT,NULL,0
PULLMAN CITY 133,133,WT,NULL,0
PULLMAN CITY 134,134,WT,NULL,16
PULLMAN CITY 135,135,WT,NULL,150
COLFAX RURAL 136,136,WT,NULL,128
COLFAX RURAL 137,137,WT,NULL,208
WILCOX 138,138,WT,NULL,120
COLFAX CITY 139,139,WT,NULL,205
COLFAX CITY 140,140,WT,NULL,188
COLFAX CITY 141,141,WT,NULL,160
COLFAX CITY 142,142,WT,NULL,280
DUSTY 143,143,WT,NULL,43
HAY 144,144,WT,NULL,24
HOOPER 145,145,WT,NULL,18
LACROSSE 146,146,WT,NULL,68
ENDICOTT 147,147,WT,NULL,85
LAMONT 148,148,WT,NULL,36
ST JOHN 149,149,WT,NULL,167
MALDEN 150,150,WT,NULL,7
ROSALIA 151,151,WT,NULL,67
THORNTON 152,152,WT,NULL,45
PULLMAN 218,218,WT,NULL,248
PULLMAN 228,228,WT,NULL,16
PULLMAN 234,234,WT,NULL,55
PULLMAN 235,235,WT,NULL,273
