Row Label,PrecinctCode,County,Registered Voters,Kendle E Allen,Ken Barker
Total,-1,ST,NULL,10139,5557
ADDY,1,ST,NULL,218,180
CAMAS,3,ST,NULL,178,143
CAMAS PRAIRIE,4,ST,NULL,95,107
COLUMBIA,5,ST,NULL,271,214
COLVILLE VALLEY,6,ST,NULL,454,152
DAISY,7,ST,NULL,123,60
ECHO,8,ST,NULL,289,108
EVANS,9,ST,NULL,143,74
HUNTERS,10,ST,NULL,235,117
KELLY HILL,11,ST,NULL,65,49
LOON LAKE 1,12,ST,NULL,255,181
LOON LAKE 2,13,ST,NULL,140,97
MILL CREEK,14,ST,NULL,100,64
NARCISSE,15,ST,NULL,310,155
ONION CREEK,16,ST,NULL,73,54
RICE,19,ST,NULL,117,76
ROCK CUT,20,ST,NULL,48,26
SUMMIT,21,ST,NULL,151,94
FIRST THOUGHT,22,ST,NULL,29,27
WELLPINIT,24,ST,NULL,64,70
WILLIAMS VALLEY,25,ST,NULL,267,170
TUM TUM 1,26,ST,NULL,129,86
TUM TUM 2,27,ST,NULL,286,115
WALKERS PRAIRIE,28,ST,NULL,122,127
STONE LODGE,29,ST,NULL,227,115
TUM TUM 3,39,ST,NULL,359,114
TUM TUM 4,40,ST,NULL,185,97
TUM TUM 5,41,ST,NULL,233,88
MEYERS FALLS 1,42,ST,NULL,196,106
MEYERS FALLS 2,43,ST,NULL,336,151
QUARTZITE 1,44,ST,NULL,353,190
QUARTZITE 2,45,ST,NULL,149,132
VALLEY 1,46,ST,NULL,30,23
VALLEY 2,47,ST,NULL,131,89
ARDEN 1,48,ST,NULL,227,95
ARDEN 2,49,ST,NULL,256,120
CLAYTON 1,50,ST,NULL,116,114
CLAYTON 2,51,ST,NULL,227,158
ORIN 1,52,ST,NULL,209,68
ORIN 2,53,ST,NULL,224,115
WAITTS LAKE,54,ST,NULL,193,140
ECHO VALLEY,55,ST,NULL,153,62
CHEWELAH 1,101,ST,NULL,142,121
CHEWELAH 2,102,ST,NULL,88,52
CHEWELAH 3,103,ST,NULL,116,90
CHEWELAH FORE,104,ST,NULL,100,52
COLVILLE 1,105,ST,NULL,90,49
COLVILLE 2,106,ST,NULL,143,48
COLVILLE 3,107,ST,NULL,147,50
COLVILLE 4,108,ST,NULL,292,100
COLVILLE 5,109,ST,NULL,219,108
COLVILLE 6,110,ST,NULL,154,45
COLVILLE 7,111,ST,NULL,141,70
KETTLE FALLS 1,114,ST,NULL,255,85
KETTLE FALLS 2,115,ST,NULL,162,51
MARCUS,116,ST,NULL,36,34
NORTHPORT,117,ST,NULL,52,52
SPRINGDALE,118,ST,NULL,36,27
