Row Label,PrecinctCode,County,Registered Voters,Rob Chase,Amy Biviano
Total,-1,SP,NULL,82556,63954
PCT 3000,3000,SP,NULL,3,4
PCT 3100,3100,SP,NULL,161,182
PCT 3101,3101,SP,NULL,146,159
PCT 3102,3102,SP,NULL,108,124
PCT 3103,3103,SP,NULL,130,142
PCT 3104,3104,SP,NULL,185,203
PCT 3105,3105,SP,NULL,122,203
PCT 3106,3106,SP,NULL,173,170
PCT 3107,3107,SP,NULL,175,207
PCT 3108,3108,SP,NULL,148,136
PCT 3109,3109,SP,NULL,153,180
PCT 3110,3110,SP,NULL,133,150
PCT 3111,3111,SP,NULL,142,142
PCT 3112,3112,SP,NULL,10,9
PCT 3113,3113,SP,NULL,202,201
PCT 3114,3114,SP,NULL,191,211
PCT 3115,3115,SP,NULL,194,195
PCT 3116,3116,SP,NULL,204,216
PCT 3117,3117,SP,NULL,123,156
PCT 3118,3118,SP,NULL,115,160
PCT 3119,3119,SP,NULL,142,187
PCT 3120,3120,SP,NULL,156,211
PCT 3121,3121,SP,NULL,185,171
PCT 3122,3122,SP,NULL,189,281
PCT 3123,3123,SP,NULL,173,164
PCT 3124,3124,SP,NULL,174,202
PCT 3125,3125,SP,NULL,153,193
PCT 3126,3126,SP,NULL,44,36
PCT 3127,3127,SP,NULL,123,231
PCT 3128,3128,SP,NULL,155,209
PCT 3200,3200,SP,NULL,114,236
PCT 3201,3201,SP,NULL,157,336
PCT 3202,3202,SP,NULL,96,170
PCT 3203,3203,SP,NULL,144,275
PCT 3204,3204,SP,NULL,113,223
PCT 3205,3205,SP,NULL,143,246
PCT 3206,3206,SP,NULL,93,248
PCT 3207,3207,SP,NULL,90,137
PCT 3208,3208,SP,NULL,191,233
PCT 3209,3209,SP,NULL,248,267
PCT 3210,3210,SP,NULL,135,283
PCT 3211,3211,SP,NULL,145,299
PCT 3212,3212,SP,NULL,133,246
PCT 3213,3213,SP,NULL,182,350
PCT 3214,3214,SP,NULL,193,271
PCT 3215,3215,SP,NULL,120,187
