Row Label,PrecinctCode,County,Registered Voters,Rick Larsen,B.J. Guillot
Total,-1,IS,NULL,17268,13303
C WHIDBEY 01,150,IS,NULL,213,242
C WHIDBEY 02,151,IS,NULL,475,363
C WHIDBEY 03,152,IS,NULL,444,328
COUPEVILLE,153,IS,NULL,518,278
C WHIDBEY 04,154,IS,NULL,450,338
C WHIDBEY 05,155,IS,NULL,482,305
S WHIDBEY 01,160,IS,NULL,570,285
S WHIDBEY 02,161,IS,NULL,566,258
S WHIDBEY 03,162,IS,NULL,590,304
S WHIDBEY 04,163,IS,NULL,548,227
S WHIDBEY 05,164,IS,NULL,652,245
S WHIDBEY 06,165,IS,NULL,495,300
LANGLEY,166,IS,NULL,478,108
S WHIDBEY 07,167,IS,NULL,542,282
S WHIDBEY 08,168,IS,NULL,505,181
S WHIDBEY 09,169,IS,NULL,521,292
S WHIDBEY 10,170,IS,NULL,533,260
OAK HARBOR 01,201,IS,NULL,288,322
OAK HARBOR 02,202,IS,NULL,209,253
OAK HARBOR 03,203,IS,NULL,316,280
OAK HARBOR 04,204,IS,NULL,327,280
OAK HARBOR 05,205,IS,NULL,319,312
OAK HARBOR 06,206,IS,NULL,281,233
OAK HARBOR 07,207,IS,NULL,382,267
OAK HARBOR 08,208,IS,NULL,283,246
OAK HARBOR 09,209,IS,NULL,58,93
N WHIDBEY 06,251,IS,NULL,200,190
N WHIDBEY 07,252,IS,NULL,270,278
N WHIDBEY 08,253,IS,NULL,199,256
N WHIDBEY 09,254,IS,NULL,213,207
N WHIDBEY 10,255,IS,NULL,79,97
N WHIDBEY 11,256,IS,NULL,55,54
CAMANO 01,301,IS,NULL,328,229
CAMANO 02,302,IS,NULL,364,359
CAMANO 03,303,IS,NULL,391,311
CAMANO 04,304,IS,NULL,467,487
CAMANO 05,305,IS,NULL,398,381
CAMANO 06,306,IS,NULL,384,338
CAMANO 07,307,IS,NULL,319,312
CAMANO 08,308,IS,NULL,225,242
CAMANO 09,309,IS,NULL,362,339
CAMANO 10,310,IS,NULL,293,235
CAMANO 11,311,IS,NULL,375,317
N WHIDBEY 01,351,IS,NULL,290,427
N WHIDBEY 02,352,IS,NULL,268,398
N WHIDBEY 03,353,IS,NULL,240,287
N WHIDBEY 04,354,IS,NULL,328,452
N WHIDBEY 05,355,IS,NULL,175,225
